安崇阮,an'chong'ruan
安从诲,an'cong'hui
安仁,an'ren
安师建,an'shi'jian
安思谦,an'si'qian
安重霸,an'zhong'ba
白鹿,bai'lu
褒王,bao'wang
卞震,bian'zhen
豳王,bin'wang
曹彬,cao'bin
曹光实,cao'guang'shi
曹翰,cao'han
册礼使,ce'li'shi
常谦,chang'qian
常再荣,chang'zai'rong
陈璠,chen'fan
陈及之,chen'ji'zhi
陈敬瑄,chen'jing'xuan
陈陶,chen'tao
陈翔,chen'xiang
陈乂,chen'yi
程崇雅,cheng'chong'ya
成都,cheng'du
程奉珽,cheng'feng'ting
成汭,cheng'rui
成州,cheng'zhou
崇华公主,chong'hua'gong'zhu
崇勋府,chong'xun'fu
楚王,chu'wang
崔善,cui'shan
崔无斁,cui'wu'yi
崔彦进,cui'yan'jin
邓元明,deng'yuan'ming
刁光,diao'guang
丁元和,ding'yuan'he
丁知俊,ding'zhi'jun
董光演,dong'guang'yan
董光业,dong'guang'ye
东西两川,dong'xi'liang'chuan
董延浩,dong'yan'hao
董璋,dong'zhang
窦行实,dou'xing'shi
都延昌,dou'yan'chang
窦雍,dou'yong
杜从法,du'cong'fa
杜光庭,du'guang'ting
杜何,du'he
杜敬安,du'jing'an
杜齯龟,du'ni'gui
杜仁杰,du'ren'jie
杜有迁,du'you'qian
段凝,duan'ning
段融,duan'rong
段义宗尔,duan'yi'zong'er
多岳,duo'yue
范仁恕,fan'ren'shu
范文通,fan'wen'tong
范延光,fan'yan'guang
范禹偁,fan'yu'chen
房从真,fang'cong'zhen
房谔,fang'e
费存,fei'cun
飞龙使,fei'long'shi
费师懃,fei'shi'qin
费宗陶,fei'zong'tao
冯晖,feng'hui
冯见鬼,feng'jian'gui
冯倦,feng'juan
冯涓,feng'juan
冯廷谔,feng'ting'e
冯行袭,feng'xing'xi
凤仪公主,feng'yi'gong'zhu
冯瓒,feng'zan
凤州,feng'zhou
福庆公主,fu'qing'gong'zhu
符昭,fu'zhao
高保融,gao'bao'rong
高保勖,gao'bao'xu
高从诲,gao'cong'hui
高从遇,gao'cong'yu
高道兴,gao'dao'xing
高讽,gao'feng
高皇后,gao'huang'hou
高季昌,gao'ji'chang
高继冲,gao'ji'chong
高季兴,gao'ji'xing
高敬柔,gao'jing'rou
高彦俦,gao'yan'chou
高知言,gao'zhi'yan
高烛,gao'zhu
更无一个是男儿,geng'wu'yi'ge'shi'nan'er
顾承郾,gu'cheng'yan
古今韵会,gu'jin'yun'hui
顾敻,gu'xiong
顾彦晖,gu'yan'hui
顾彦朗,gu'yan'lang
顾瑶,gu'yao
顾在珣,gu'zai'xun
关宏业,guan'hong'ye
光大,guang'da
郭崇韬,guo'chong'tao
韩保升,han'bao'sheng
韩保贞,han'bao'zhen
韩保正,han'bao'zheng
韩悰,han'cong
韩继勋,han'ji'xun
韩建,han'jian
翰林图画院,han'lin'tu'hua'yuan
韩伸,han'shen
韩王,han'wang
韩偓,han'wo
韩武,han'wu
韩昭,han'zhao
汉州张顼,han'zhou'zhang'xu
何重建,he'chong'jian
何光远,he'guang'yuan
贺瓌,he'gui
何康,he'kang
何奎,he'kui
何随,he'sui
何雄,he'xiong
何义阳,he'yi'yang
何瓒,he'zan
合州王仁威,he'zhou'wang'ren'wei
黑牛出圈棕绳断,hei'niu'chu'quan'zong'sheng'duan
侯翮,hou'he
侯宏实,hou'hong'shi
侯弘实,hou'hong'shi
后蜀,hou'shu
侯益,hou'yi
户部盐铁度支,hu'bu'yan'tie'du'zhi
胡秀林,hu'xiu'lin
胡韫,hu'yun
花草树木图,hua'cao'shu'mu'tu
画红楼,hua'hong'lou
花间词派,hua'jian'ci'pai
花间集,hua'jian'ji
花蕊夫人,hua'rui'fu'ren
黄崇嘏,huang'chong'gu
黄居宝,huang'ju'bao
黄居采,huang'ju'cai
黄居实,huang'ju'shi
黄筌,huang'quan
黄荃,huang'quan
黄万户,huang'wan'hu
季镐,ji'gao
吉谏,ji'jian
纪祥,ji'xiang
鸡踪桥,ji'zong'qiao
贾鄂,jia'e
嘉王,jia'wang
嘉阳江黄龙,jia'yang'jiang'huang'long
嘉州朱实,jia'zhou'zhu'shi
简州兵变,jian'zhou'bing'bian
姜道隐,jiang'dao'yin
蒋诏恭,jiang'zhao'gong
姜志,jiang'zhi
姜郅,jiang'zhi
结绮,jie'qi
阶州,jie'zhou
金飞山,jin'fei'shan
金皇后,jin'huang'hou
晋晖,jin'hui
金牛道,jin'niu'dao
锦绣缎绸,jin'xiu'duan'chou
景焕,jing'huan
景进,jing'jin
景润澄,jing'run'cheng
九章衣,jiu'zhang'yi
莒王,ju'wang
句惟立,ju'wei'li
句中正,ju'zhong'zheng
绝食,jue'shi
康文通,kang'wen'tong
康延孝,kang'yan'xiao
康延泽,kang'yan'ze
孔循,kong'xun
宽边大帽,kuan'bian'da'mao
夔州,kui'zhou
阆州,lang'zhou
李稠,li'chou
李从厚,li'cong'hou
李从袭,li'cong'xi
李存瓌,li'cun'gui
李道安,li'dao'an
李夫人,li'fu'ren
李龟祯,li'gui'zhen
李行周,li'hang'zhou
李昊,li'hao
李纮,li'hong
李勣,li'ji
李继宏,li'ji'hong
李继岌,li'ji'ji
李继麟,li'ji'lin
李继密,li'ji'mi
李继宁,li'ji'ning
李继溥,li'ji'pu
李继勋,li'ji'xun
李继曮,li'ji'yan
李继雍,li'ji'yong
李继忠,li'ji'zhong
李简,li'jian
李进,li'jin
李景,li'jing
李敬周,li'jing'zhou
李筠,li'jun
李匡远,li'kuang'yuan
李令德,li'ling'de
李茂贞,li'mao'zhen
李起,li'qi
李虔徽,li'qian'hui
李让,li'rang
李仁表,li'ren'biao
李仁罕,li'ren'han
李仁矩,li'ren'ju
李如实,li'ru'shi
李绍琛,li'shao'chen
李绍宏,li'shao'hong
李绍钦,li'shao'qin
李绍文,li'shao'wen
李绅,li'shen
李晟,li'sheng
李师泰,li'shi'tai
李思敬,li'si'jing
李嗣源,li'si'yuan
李太后,li'tai'hou
李瑭,li'tang
李廷安,li'ting'an
李廷圭,li'ting'gui
李绾,li'wan
李文才,li'wen'cai
李洵,li'xun
李珣,li'xun
李严,li'yan
李彦稠,li'yan'chou
李彦德,li'yan'de
李延珪,li'yan'gui
李延厚,li'yan'hou
李彦琦,li'yan'qi
李彦威,li'yan'wei
李彦珣,li'yan'xun
李彦昭,li'yan'zhao
李愚,li'yu
李肇,li'zhao
李昭仪,li'zhao'yi
利州,li'zhou
黎州,li'zhou
李周辂,li'zhou'lu
利州制置使,li'zhou'zhi'zhi'shi
李遵懿,li'zun'yi
梁守珍,liang'shou'zhen
梁震,liang'zhen
