宝威,bao'wei
宝圩,bao'xu
北岸,bei'an
北岸大桥,bei'an'da'qiao
北京大桥,bei'jing'da'qiao
北京路,bei'jing'lu
播扬,bo'yang
长堤,chang'di
长岐,chang'qi
笪桥,da'qiao
大参林,da'shen'lin
东岸大庙,dong'an'da'miao
东岸宫,dong'an'gong
东堤,dong'di
东湖,dong'hu
东山,dong'shan
富尔达,fu'er'da
福万家,fu'wan'jia
福喜来,fu'xi'lai
官桥,guan'qiao
广伦山,guang'lun'shan
河东,he'dong
合江,he'jiang
河西,he'xi
化州大桥,hua'zhou'da'qiao
化州街,hua'zhou'jie
鸡头岭,ji'tou'ling
鉴江,jian'jiang
鉴江大桥,jian'jiang'da'qiao
江湖,jiang'hu
金都,jin'du
金满楼,jin'man'lou
旧飞马,jiu'fei'ma
橘城大药房,ju'cheng'da'yao'fang
桔城路,ju'cheng'lu
橘州市场,ju'zhou'shi'chang
肯麦基,ken'mai'ji
老干局,lao'gan'ju
丽登,li'deng
丽岗,li'gang
良光,liang'guang
林尘,lin'chen
麦肯基,mai'ken'ji
茂化,mao'hua
美利路,mei'li'lu
米街,mi'jie
名仕阁,ming'shi'ge
南盛,nan'sheng
蓬莱阁,peng'lai'ge
平定,ping'ding
三观塘,san'guan'tang
三十米街,san'shi'mi'jie
上郭,shang'guo
上佳,shang'jia
上街垌,shang'jie'dong
石湾,shi'wan
十五米街,shi'wu'mi'jie
水月庵,shui'yue'an
桃源居,tao'yuan'ju
同庆,tong'qing
为南路,wei'nan'lu
文楼,wen'lou
文仙坡,wen'xian'po
西堤,xi'di
夏宝,xia'bao
下郭,xia'guo
下街垌,xia'jie'dong
新安,xin'an
新飞马,xin'fei'ma
沿江路,yan'jiang'lu
杨梅,yang'mei
益街坊,yi'jie'fang
兆康,zhao'kang
中垌,zhong'dong
