弧顶三分,hu'ding'san'fen
弧顶中距离跳投,hu'ding'zhong'ju'li'tiao'tou
拿到防守篮板,na'dao'fang'shou'lan'ban
拿到进攻篮板,na'dao'jin'gong'lan'ban
右侧底角三分,you'ce'di'jiao'san'fen
右侧度三分,you'ce'du'san'fen
右侧中距离跳投,you'ce'zhong'ju'li'tiao'tou
左侧底角三分,zuo'ce'di'jiao'san'fen
左侧度三分,zuo'ce'du'san'fen
左侧中距离跳投,zuo'ce'zhong'ju'li'tiao'tou
