阿巴泰,a'ba'tai
张勇,zhang'yong
张遇春,zhang'yu'chun
张禹爵,zhang'yu'jue
张玉良,zhang'yu'liang
张运兰,zhang'yun'lan
张照,zhang'zhao
张镇方,zhang'zhen'fang
张之洞,zhang'zhi'dong
张之万,zhang'zhi'wan
张宗禹,zhang'zong'yu
赵宏恩,zhao'hong'en
赵怀业,zhao'huai'ye
兆惠,zhao'hui
赵良栋,zhao'liang'dong
赵梦麟,zhao'meng'lin
赵世显,zhao'shi'xian
赵舒翘,zhao'shu'qiao
昭武,zhao'wu
折尔肯,zhe'er'ken
镇远,zhen'yuan
郑敦谨,zheng'dun'jin
郑国鸿,zheng'guo'hong
郑蛟麟,zheng'jiao'lin
郑经,zheng'jing
郑克塽,zheng'ke'shuang
郑克臧,zheng'ke'zang
郑魁士,zheng'kui'shi
郑泰,zheng'tai
郑袭,zheng'xi
智顺王,zhi'shun'wang
致远,zhi'yuan
仲永檀,zhong'yong'tan
周鼎臣,zhou'ding'chen
周凤山,zhou'feng'shan
周馥,zhou'fu
周家恩,zhou'jia'en
周宽世,zhou'kuan'shi
周培公,zhou'pei'gong
周盛波,zhou'sheng'bo
周盛传,zhou'sheng'chuan
周胜富,zhou'sheng'fu
周胜坤,zhou'sheng'kun
周天爵,zhou'tian'jue
周天受,zhou'tian'shou
周文嘉,zhou'wen'jia
朱昌祚,zhu'chang'zuo
珠尔默特策布登,zhu'er'mo'te'ce'bu'deng
珠尔默特那木札勒,zhu'er'mo'te'na'mu'zha'le
朱国治,zhu'guo'zhi
朱宏升,zhu'hong'sheng
朱洪章,zhu'hong'zhang
珠鲁讷,zhu'lu'ne
朱品隆,zhu'pin'long
诸申,zhu'shen
朱轼,zhu'shi
朱孙贻,zhu'sun'yi
朱万良,zhu'wan'liang
朱锡琨,zhu'xi'kun
朱兴隆,zhu'xing'long
朱衣点,zhu'yi'dian
庄大田,zhuang'da'tian
庄培因,zhuang'pei'yin
庄有恭,zhuang'you'gong
卓布泰,zhuo'bu'tai
邹储贤,zou'chu'xian
左宝贵,zuo'bao'gui
佐久间左马太,zuo'jiu'jian'zuo'ma'tai
佐藤正,zuo'teng'zheng
左宗棠,zuo'zong'tang
