阿巴泰,a'ba'tai
噶厦,ga'xia
甘文焜,gan'wen'kun
缸瓦寨,gang'wa'zhai
刚毅,gang'yi
高斌,gao'bin
高大杰,gao'da'jie
高恒,gao'heng
高晋,gao'jin
高连升,gao'lian'sheng
高林,gao'lin
高仆,gao'pu
高善继,gao'shan'ji
高显辰,gao'xian'chen
郜永宽,gao'yong'kuan
格登山,ge'deng'shan
格尔芬,ge'er'fen
戈洛文,ge'luo'wen
葛云飞,ge'yun'fei
耿精忠,geng'jing'zhong
龚得树,gong'de'shu
龚念慈,gong'nian'ci
拱卫军,gong'wei'jun
龚照玙,gong'zhao'yu
龚照瑗,gong'zhao'yuan
古尔布什,gu'er'bu'shi
古隆贤,gu'long'xian
固山额真,gu'shan'e'zhen
固始汗,gu'shi'han
顾实汗,gu'shi'han
刮耳崖,gua'er'ya
关天培,guan'tian'pei
官文,guan'wen
观音保,guan'yin'bao
广丙,guang'bing
广甲,guang'jia
广略贝勒,guang'lue'bei'le
光绪,guang'xu
广乙,guang'yi
桂太郎,gui'tai'lang
郭昌,guo'chang
郭松林,guo'song'lin
郭嵩焘,guo'song'tao
国泰,guo'tai
郭一裕,guo'yi'yu
郭壮图,guo'zhuang'tu
哈达哈,ha'da'ha
哈元生,ha'yuan'sheng
哈占,ha'zhan
海望,hai'wang
韩大任,han'da'ren
韩正国,han'zheng'guo
豪格,hao'ge
何必胜,he'bi'sheng
何桂清,he'gui'qing
何和礼,he'he'li
何璟,he'jing
和琳,he'lin
和其衷,he'qi'zhong
和珅,he'shen
贺世贤,he'shi'xian
和通泊,he'tong'bo
何文庆,he'wen'qing
赫业,he'ye
黑云鹤,hei'yun'he
恒瑞,heng'rui
恒文,heng'wen
弘昌,hong'chang
洪承畴,hong'cheng'chou
洪春魁,hong'chun'kui
洪春元,hong'chun'yuan
弘昐,hong'fen
弘晖,hong'hui
弘晈,hong'jiao
洪全福,hong'quan'fu
洪仁达,hong'ren'da
洪仁发,hong'ren'fa
洪仁玕,hong'ren'gan
洪任辉,hong'ren'hui
洪仁政,hong'ren'zheng
弘时,hong'shi
弘晳,hong'xi
弘晓,hong'xiao
洪秀全,hong'xiu'quan
弘曕,hong'yan
弘昀,hong'yun
弘昼,hong'zhou
侯世禄,hou'shi'lu
侯士维,hou'shi'wei
侯裕田,hou'yu'tian
扈尔汉,hu'er'han
胡国柱,hu'guo'zhu
胡林翼,hu'lin'yi
胡兴仁,hu'xing'ren
胡以晃,hu'yi'huang
胡中和,hu'zhong'he
胡中藻,hu'zhong'zao
华尔,hua'er
怀顺王,huai'shun'wang
黄呈忠,huang'cheng'zhong
黄虎臣,huang'hu'chen
黄建勋,huang'jian'xun
黄金山炮台,huang'jin'shan'pao'tai
黄少春,huang'shao'chun
黄仕简,huang'shi'jian
黄仕林,huang'shi'lin
皇太极,huang'tai'ji
黄廷桂,huang'ting'gui
黄文金,huang'wen'jin
黄文英,huang'wen'ying
黄翼升,huang'yi'sheng
黄益芸,huang'yi'yun
黄玉昆,huang'yu'kun
皇舆全图,huang'yu'quan'tu
黄毓生,huang'yu'sheng
黄再兴,huang'zai'xing
黄子隆,huang'zi'long
黄宗汉,huang'zong'han
惠龄,hui'ling
霍集占,huo'ji'zhan
嵇曾筠,ji'ceng'jun
济度,ji'du
济尔哈朗,ji'er'ha'lang
吉尔杭阿,ji'er'hang'a
吉林崖,ji'lin'ya
吉庆元,ji'qing'yuan
吉文元,ji'wen'yuan
吉祥寺,ji'xiang'si
济远,ji'yuan
纪昀,ji'yun
嘉庆,jia'qing
嘉顺皇后,jia'shun'huang'hou
姜弼,jiang'bi
江朝栋,jiang'chao'dong
姜桂题,jiang'gui'ti
江国霖,jiang'guo'lin
姜弘立,jiang'hong'li
蒋凝学,jiang'ning'xue
蒋溥,jiang'pu
蒋全迪,jiang'quan'di
蒋益澧,jiang'yi'li
蒋毓英,jiang'yu'ying
江忠义,jiang'zhong'yi
江忠源,jiang'zhong'yuan
蒋州,jiang'zhou
江自康,jiang'zi'kang
焦佑瀛,jiao'you'ying
杰书,jie'shu
金榜,jin'bang
靳辅,jin'fu
金光,jin'guang
金光祖,jin'guang'zu
金国琛,jin'guo'chen
经远,jing'yuan
靖远,jing'yuan
九白之贡,jiu'bai'zhi'gong
觉昌安,jue'chang'an
觉华岛,jue'hua'dao
喀尔吉善,ka'er'ji'shan
喀尔钦,ka'er'qin
康慈,kang'ci
康国器,kang'guo'qi
康济,kang'ji
康济鼐,kang'ji'nai
康熙,kang'xi
克勤郡王,ke'qin'jun'wang
孔有德,kong'you'de
孔元章,kong'yuan'zhang
匡源,kuang'yuan
奎林,kui'lin
魁伦,kui'lun
揆叙,kui'xu
坤舆全图,kun'yu'quan'tu
喇布,la'bu
拉布敦,la'bu'dun
拉藏汗,la'cang'han
赖汉英,lai'han'ying
赖和木图拉,lai'he'mu'tu'la
赖塔,lai'ta
赖文光,lai'wen'guang
赖文鸿,lai'wen'hong
赖裕新,lai'yu'xin
来远,lai'yuan
蓝元枚,lan'yuan'mei
郎卡,lang'ka
郎延相,lang'yan'xiang
劳崇光,lao'chong'guang
勒尔谨,le'er'jin
勒尔锦,le'er'jin
勒克德浑,le'ke'de'hun
勒乌围,le'wu'wei
李本琛,li'ben'chen
李秉诚,li'bing'cheng
李秉衡,li'bing'heng
李朝斌,li'chao'bin
李臣典,li'chen'dian
李光地,li'guang'di
李光久,li'guang'jiu
李瀚章,li'han'zhang
李和,li'he
李鹤年,li'he'nian
李鹤章,li'he'zhang
李鸿藻,li'hong'zao
李鸿章,li'hong'zhang
立见尚文,li'jian'shang'wen
李开芳,li'kai'fang
李恺顺,li'kai'shun
李孟群,li'meng'qun
李明成,li'ming'cheng
李能通,li'neng'tong
李荣保,li'rong'bao
李容发,li'rong'fa
李如柏,li'ru'bai
李如桢,li'ru'zhen
李尚扬,li'shang'yang
李世贤,li'shi'xian
李侍尧,li'shi'yao
李文安,li'wen'an
李秀成,li'xiu'cheng
李煦,li'xu
李续宾,li'xu'bin
李续宜,li'xu'yi
李永芳,li'yong'fang
李元度,li'yuan'du
李蕴泰,li'yun'tai
李昭庆,li'zhao'qing
李之芳,li'zhi'fang
连顺,lian'shun
练业坤,lian'ye'kun
良卿,liang'qing
廖发寿,liao'fa'shou
辽南条约,liao'nan'tiao'yue
林凤祥,lin'feng'xiang
林国祥,lin'guo'xiang
林履中,lin'lv'zhong
林启荣,lin'qi'rong
林绍璋,lin'shao'zhang
林爽文,lin'shuang'wen
林泰曾,lin'tai'ceng
林兴珠,lin'xing'zhu
林颖启,lin'ying'qi
林永升,lin'yong'sheng
林则徐,lin'ze'xu
令妃,ling'fei
刘傲,liu'ao
刘秉璋,liu'bing'zhang
刘步蟾,liu'bu'chan
刘玱琳,liu'cang'lin
刘长佑,liu'chang'you
刘超佩,liu'chao'pei
刘得功,liu'de'gong
刘典,liu'dian
刘官芳,liu'guan'fang
刘国轩,liu'guo'xuan
刘锦棠,liu'jin'tang
刘坤一,liu'kun'yi
刘茂暇,liu'mao'xia
刘铭传,liu'ming'chuan
刘庆汉,liu'qing'han
刘渠,liu'qu
刘蓉,liu'rong
刘盛休,liu'sheng'xiu
刘盛藻,liu'sheng'zao
刘澍德,liu'shu'de
刘松山,liu'song'shan
刘腾鸿,liu'teng'hong
刘綎,liu'ting
刘统勋,liu'tong'xun
刘墉,liu'yong
刘永福,liu'yong'fu
刘玉林,liu'yu'lin
刘岳昭,liu'yue'zhao
刘韵珂,liu'yun'ke
刘藻,liu'zao
刘肇钧,liu'zhao'jun
隆布鼐,long'bu'nai
隆科多,long'ke'duo
隆文,long'wen
隆禧,long'xi
卢焯,lu'chao
卢见曾,lu'jian'ceng
陆建瀛,lu'jian'ying
陆顺德,lu'shun'de
卢震,lu'zhen
骆秉章,luo'bing'zhang
罗卜藏扎什,luo'bu'cang'zha'shen
罗大纲,luo'da'gang
骆国忠,luo'guo'zhong
罗绕典,luo'rao'dian
罗桑嘉措,luo'sang'jia'cuo
罗森,luo'sen
罗一贵,luo'yi'gui
罗泽南,luo'ze'nan
罗遵殿,luo'zun'dian
吕本元,lv'ben'yuan
吕留良,lv'liu'liang
马宝,ma'bao
马得功,ma'de'gong
马金叙,ma'jin'xu
马林,ma'lin
马奇,ma'qi
马斯喀,ma'si'ka
马武,ma'wu
马新贻,ma'xin'yi
马雄,ma'xiong
马玉昆,ma'yu'kun
迈柱,mai'zhu
满达海,man'da'hai
莽古尔泰,mang'gu'er'tai
莽古济格格,mang'gu'ji'ge'ge
毛鸿宾,mao'hong'bin
毛有铭,mao'you'ming
梅勒章京,mei'le'zhang'jing
梅文鼎,mei'wen'ding
米思翰,mi'si'han
绵恺,mian'kai
绵忻,mian'xin
绵榆,mian'yu
闵鹗元,min'e'yuan
明德,ming'de
明亮,ming'liang
明仁,ming'ren
明珠,ming'zhu
莫洛,mo'luo
摩天岭,mo'tian'ling
牡丹台,mu'dan'tai
穆尔哈齐,mu'er'ha'qi
木果木,mu'guo'mu
穆里玛,mu'li'ma
慕天颜,mu'tian'yan
穆图善,mu'tu'shan
穆荫,mu'yin
穆彰阿,mu'zhang'a
那彦成,na'yan'cheng
纳延泰,na'yan'tai
乃木希典,nai'mu'xi'dian
南怀仁,nan'huai'ren
讷亲,ne'qin
嫩哲格格,nen'zhe'ge'ge
聂桂林,nie'gui'lin
聂士成,nie'shi'cheng
牛昶昞,niu'chang'bing
牛鉴,niu'jian
努尔哈赤,nu'er'ha'chi
潘鼎新,pan'ding'xin
潘世恩,pan'shi'en
潘宗颜,pan'zong'yan
彭春,peng'chun
彭大顺,peng'da'shun
彭玉麟,peng'yu'lin
平远,ping'yuan
颇罗鼐,po'luo'nai
璞鼎查,pu'ding'cha
普尔普,pu'er'pu
溥杰,pu'jie
浦霖,pu'lin
溥伟,pu'wei
溥仪,pu'yi
祁寯藻,qi'jun'zao
耆龄,qi'ling
琦善,qi'shan
耆英,qi'ying
钱度,qian'du
钱沣,qian'feng
钱桂仁,qian'gui'ren
乾隆,qian'long
钱棨,qian'qi
秦大成,qin'da'cheng
秦定三,qin'ding'san
钦定西藏章程,qin'ding'xi'zang'zhang'cheng
勤敏,qin'min
秦日纲,qin'ri'gang
庆成,qing'cheng
庆复,qing'fu
庆桂,qing'gui
庆麟,qing'lin
邱宝仁,qiu'bao'ren
丘逢甲,qiu'feng'jia
屈大均,qu'da'jun
全州和约,quan'zhou'he'yue
任承恩,ren'cheng'en
仁寿皇太后,ren'shou'huang'tai'hou
仁宪皇太后,ren'xian'huang'tai'hou
任柱,ren'zhu
荣成湾,rong'cheng'wan
荣禄,rong'lu
瑞昌,rui'chang
瑞澂,rui'cheng
萨布素,sa'bu'su
萨哈廉,sa'ha'lian
萨镇冰,sa'zhen'bing
赛尚阿,sai'shang'a
三方布置策,san'fang'bu'zhi'ce
桑结嘉措,sang'jie'jia'cuo
色布腾巴尔珠尔,se'bu'teng'ba'er'zhu'er
色布腾巴勒珠尔,se'bu'teng'ba'le'zhu'er
僧格,seng'ge
僧格林沁,seng'ge'lin'qin
僧格桑,seng'ge'sang
沙喇,sha'la
莎罗奔,sha'luo'ben
山地元治,shan'di'yuan'zhi
山根信成,shan'gen'xin'cheng
山口素臣,shan'kou'su'chen
山县有朋,shan'xian'you'peng
尚可喜,shang'ke'xi
尚善,shang'shan
尚之节,shang'zhi'jie
尚之孝,shang'zhi'xiao
尚之信,shang'zhi'xin
邵友濂,shao'you'lian
沈葆桢,shen'bao'zhen
沈初,shen'chu
沈桂芬,shen'gui'fen
石达开,shi'da'kai
世铎,shi'duo
石凤魁,shi'feng'kui
施琅,shi'lang
石柳邓,shi'liu'deng
史荣椿,shi'rong'chun
石三保,shi'san'bao
史贻直,shi'yi'zhi
石镇常,shi'zhen'chang
石镇吉,shi'zhen'ji
石镇仑,shi'zhen'lun
石祯祥,shi'zhen'xiang
舒常,shu'chang
舒尔哈齐,shu'er'ha'qi
舒赫德,shu'he'de
淑勒贝勒,shu'le'bei'le
舒亮,shu'liang
顺承郡王,shun'cheng'jun'wang
顺治,shun'zhi
硕塞,shuo'sai
宋得胜,song'de'sheng
宋国永,song'guo'yong
松筠,song'jun
宋庆,song'qing
苏埕,su'cheng
苏克萨哈,su'ke'sa'ha
苏纳海,su'na'hai
苏四十三,su'si'shi'san
苏天福,su'tian'fu
苏元春,su'yuan'chun
孙得功,sun'de'gong
孙景燧,sun'jing'sui
孙葵心,sun'kui'xin
孙士毅,sun'shi'yi
孙显寅,sun'xian'yin
孙延龄,sun'yan'ling
索额图,suo'e'tu
索尼,suo'ni
索诺木,suo'nuo'mu
索诺木策凌,suo'nuo'mu'ce'ling
塔克世,ta'ke'shi
塔齐布,ta'qi'bu
谭清远,tan'qing'yuan
谭绍光,tan'shao'guang
谭胜达,tan'sheng'da
谭体元,tan'ti'yuan
谭星,tan'xing
谭延襄,tan'yan'xiang
唐本有,tang'ben'you
汤斌,tang'bin
唐殿魁,tang'dian'kui
汤古代,tang'gu'dai
唐景崧,tang'jing'song
汤聘,tang'pin
唐仁廉,tang'ren'lian
汤若望,tang'ruo'wang
唐训方,tang'xun'fang
唐训义,tang'xun'yi
唐正才,tang'zheng'cai
陶恩培,tao'en'pei
田文镜,tian'wen'jing
田五,tian'wu
田兴怒,tian'xing'nu
田庄台,tian'zhuang'tai
铁良,tie'liang
佟国纲,tong'guo'gang
