百标那楼村,bai'biao'na'lou'cun
百家汇,bai'jia'hui
百林桥,bai'lin'qiao
百平站,bai'ping'zhan
百桥新村,bai'qiao'xin'cun
百色高中,bai'se'gao'zhong
百色货运中心,bai'se'huo'yun'zhong'xin
百色铝厂,bai'se'lv'chang
百色起义纪念碑,bai'se'qi'yi'ji'nian'bei
百色起义纪念馆,bai'se'qi'yi'ji'nian'guan
百色市医院侧门,bai'se'shi'yi'yuan'ce'men
百色学院,bai'se'xue'yuan
百色职业学院职业中专,bai'se'zhi'ye'xue'yuan'zhi'ye'zhong'zhuan
百色综合港,bai'se'zong'he'gang
百胜街菜市场,bai'sheng'jie'cai'shi'chang
财校,cai'xiao
车辆检测站,che'liang'jian'ce'zhan
城北自来水厂,cheng'bei'zi'lai'shui'chang
澄碧湖风景区,cheng'bi'hu'feng'jing'qu
城东盘百公路口,cheng'dong'pan'bai'gong'lu'kou
川惠国际广场,chuan'hui'guo'ji'guang'chang
大华厂,da'hua'chang
大同,da'tong
大翁加油站,da'weng'jia'you'zhan
氮肥厂,dan'fei'chang
电机厂宿舍,dian'ji'chang'su'she
电力招待所,dian'li'zhao'dai'suo
电信大楼,dian'xin'da'lou
东旦小区,dong'dan'xiao'qu
东合叉路口,dong'he'cha'lu'kou
东合小学,dong'he'xiao'xue
东笋菜市,dong'sun'cai'shi
东笋电站,dong'sun'dian'zhan
二建公司,er'jian'gong'si
附属医院,fu'shu'yi'yuan
附小,fu'xiao
福源苑,fu'yuan'yuan
公务员小区,gong'wu'yuan'xiao'qu
供销大厦,gong'xiao'da'sha
恒升大酒店,heng'sheng'da'jiu'dian
红军码头,hong'jun'ma'tou
火车站,huo'che'zhan
机动车交易场,ji'dong'che'jiao'yi'chang
机动车交易市场,ji'dong'che'jiao'yi'shi'chang
纪念碑,ji'nian'bei
建华厂,jian'hua'chang
建华厂路口,jian'hua'chang'lu'kou
江滨二路,jiang'bin'er'lu
江滨一路,jiang'bin'yi'lu
交警大队,jiao'jing'da'dui
交警一大队,jiao'jing'yi'da'dui
交通学校,jiao'tong'xue'xiao
教育宾馆,jiao'yu'bin'guan
金三角,jin'san'jiao
金三角转盘,jin'san'jiao'zhuan'pan
进站大道路口,jin'zhan'da'dao'lu'kou
酒厂,jiu'chang
军分区停车场,jun'fen'qu'ting'che'chang
栲胶厂,kao'jiao'chang
栲胶厂路口,kao'jiao'chang'lu'kou
矿山机械厂,kuang'shan'ji'xie'chang
拉域大桥东,la'yu'da'qiao'dong
拉域大桥南,la'yu'da'qiao'nan
拉域市场,la'yu'shi'chang
荔枝园,li'zhi'yuan
林科所,lin'ke'suo
林科所宿舍,lin'ke'suo'su'she
六塘,liu'tang
毛巾厂,mao'jin'chang
民师,min'shi
民师附小,min'shi'fu'xiao
民族村,min'zu'cun
民族师专,min'zu'shi'zhuan
民族庄园,min'zu'zhuang'yuan
蘑菇亭,mo'gu'ting
那毕桥头,na'bi'qiao'tou
那禄路口,na'lu'lu'kou
平圩新桥,ping'wei'xin'qiao
汽车总站,qi'che'zong'zhan
祈福高中后门,qi'fu'gao'zhong'hou'men
桥南,qiao'nan
三合,san'he
森林广场,sen'lin'guang'chang
商校,shang'xiao
社保大厦,she'bao'da'sha
市电影公司,shi'dian'ying'gong'si
市公共汽车公司,shi'gong'gong'qi'che'gong'si
市粮食局,shi'liang'shi'ju
市委干部培训中心,shi'wei'gan'bu'pei'xun'zhong'xin
市医院大门,shi'yi'yuan'da'men
市一中,shi'yi'zhong
市政办证大厅,shi'zheng'ban'zheng'da'ting
水电工程处,shui'dian'gong'cheng'chu
水库叉路口,shui'ku'cha'lu'kou
水库大门,shui'ku'da'men
水库尾,shui'ku'wei
水上餐厅,shui'shang'can'ting
遂洞公路站,sui'dong'gong'lu'zhan
糖厂,tang'chang
糖厂路口,tang'chang'lu'kou
问心庙,wen'xin'miao
西南商贸城,xi'nan'shang'mao'cheng
西园路路口,xi'yuan'lu'lu'kou
下塘,xia'tang
协合医院,xie'he'yi'yuan
协和医院,xie'he'yi'yuan
新兴电影院,xin'xing'dian'ying'yuan
新兴转盘,xin'xing'zhuan'pan
幸福花园,xing'fu'hua'yuan
秀丽花园,xiu'li'hua'yuan
岩洋,yan'yang
阳圩卫生院,yang'xu'wei'sheng'yuan
阳圩镇政府,yang'xu'zhen'zheng'fu
懿彬山庄,yi'bin'shan'zhuang
逸夫小学,yi'fu'xiao'xue
银都,yin'du
银都大酒店,yin'du'da'jiu'dian
银都工行办公楼,yin'du'gong'hang'ban'gong'lou
迎龙山公园,ying'long'shan'gong'yuan
永乐乡府,yong'le'xiang'fu
右江报社,you'jiang'bao'she
右江报社印刷厂,you'jiang'bao'she'yin'shua'chang
右江附院,you'jiang'fu'yuan
右江区地税局办证大厅,you'jiang'qu'di'shui'ju'ban'zheng'da'ting
右江区国税局,you'jiang'qu'guo'shui'ju
右江区政府,you'jiang'qu'zheng'fu
右江日报社,you'jiang'ri'bao'she
右江砖瓦厂,you'jiang'zhuan'wa'chang
右医附院,you'yi'fu'yuan
裕和山庄,yu'he'shan'zhuang
粤东会馆,yue'dong'hui'guan
纸厂,zhi'chang
中山二路转盘,zhong'shan'er'lu'zhuan'pan
中铁二局物资分公司,zhong'tie'er'ju'wu'zi'fen'gong'si
砖厂路口,zhuan'chang'lu'kou
