阿扎,a'zha
扒了窝,ba'le'wo
刨皮子,bao'pi'zi
壁蛇子,bi'she'zi
鳖腥,bie'xing
博脆,bo'cui
搏命,bo'ming
钵子,bo'zi
嘈哦,cao'o
差嗲子,cha'dia'zi
炒角,chao'jiao
吃价,chi'jia
戳打木娘,chuo'da'mu'niang
戳搭西,chuo'da'xi
错骂,cuo'ma
搓曼,cuo'man
搭到了头,da'dao'le'tou
打短命咯,da'duan'ming'ge
打个都包,da'ge'dou'bao
哒厚,da'hou
哒粘,da'zhan
哒壮,da'zhuang
得转,de'zhuan
哋卵,di'luan
哋我个卵呐,di'wo'ge'luan'na
嗲子大,dia'zi'da
跌拨了,die'bo'le
订不了,ding'bu'liao
町清咯,ding'qing'ge
东软,dong'ruan
懂眼,dong'yan
斗把,dou'ba
兜老尿,dou'lao'niao
肚紫,du'zi
短到,duan'dao
发毛,fa'mao
飞滚,fei'gun
风快咯,feng'kuai'ge
佛论咯,fo'lun'ge
佛头颠脑,fo'tou'dian'nao
嘎骨力,ga'gu'li
噶里,ga'li
嘎且了佛,ga'qie'le'fo
嘎刹糕,ga'sha'gao
嘎脱了卵,ga'tuo'le'luan
嘎脱了馊,ga'tuo'le'sou
嘎子,ga'zi
告化哩,gao'hua'li
告呀子,gao'ya'zi
个摸,ge'mo
刮淡,gua'dan
过劲,guo'jin
蛤蟆,ha'ma
蛤蟆林子,ha'ma'lin'zi
寒斤子,han'jin'zi
好候,hao'hou
好哩哩个,hao'li'li'ge
好罗,hao'luo
好哑咯人,hao'ya'ge'ren
合丘,he'qiu
盒臊咯,he'sao'ge
黑里,hei'li
猴子,hou'zi
划叉子,hua'cha'zi
惑得汹,huo'de'xiong
几多,ji'duo
嘉劳子,jia'lao'zi
奸雀子,jian'qiao'zi
焦干,jiao'gan
脚骨力清痛,jiao'gu'li'qing'tong
结棍,jie'gun
精灵,jing'ling
纠鼓励搭酸,jiu'gu'li'da'suan
揪韧,jiu'ren
纠酸,jiu'suan
纠圆,jiu'yuan
桔绿,ju'lv
克气,ke'qi
壳细个,ke'xi'ge
壳硬,ke'ying
库到,ku'dao
捆告,kun'gao
腊滑咯,la'hua'ge
腊湿,la'shi
琅坑,lang'keng
啷样,lang'yang
老弟,lao'di
老坐,lao'zuo
俩八老子,liang'ba'lao'zi
龙样,long'yang
路皮,lu'pi
孪到,luan'dao
挛死结,luan'si'jie
裸连,luo'lian
摞善咯,luo'shan'ge
唛夹哩,ma'jia'li
毛讶子,mao'ya'zi
冇有,mao'you
冇有挡,mao'you'dang
灭顾达黑,mie'gu'da'hei
篾乌咯,mie'wu'ge
磨老鼓子,mo'lao'gu'zi
木头,mu'tou
男客火哩,nan'ke'huo'li
嫩好罗,nen'hao'luo
逆头,ni'tou
蹑下子,nie'xia'zi
宁得哩,ning'de'li
拧拧缩缩,ning'ning'suo'suo
女客火哩,nv'ke'huo'li
女崽子,nv'zai'zi
帕雀,pa'que
乓松,pang'song
彭家桥倒了墙,peng'jia'qiao'dao'le'qiang
捧香咯,peng'xiang'ge
劈死结,pi'si'jie
劈鲜,pi'xian
飘轻,piao'qing
撇脱,pie'tuo
平张,ping'zhang
器到,qi'dao
戚骨,qi'gu
恰噶,qia'ga
掐了波,qia'le'bo
恰斋,qia'zhai
撬牙高,qiao'ya'gao
切归,qie'gui
切了货,qie'le'huo
全箭,quan'jian
雀病哇哩,que'bing'wa'li
雀博,que'bo
三十亚晚,san'shi'ya'wan
瑟平咯,se'ping'ge
森黄,sen'huang
沙开,sha'kai
煞辣咯,sha'la'ge
奢薄,she'bao
身跟里,shen'gen'li
哂哩,shen'li
神头,shen'tou
梭泡,suo'pao
谈驮,tan'tuo
摊西,tan'xi
堂哇里,tang'wa'li
特试,te'shi
滕跟里,teng'gen'li
驮了搭子,tuo'le'da'zi
脱了卵,tuo'le'luan
脱莽,tuo'mang
脱太咯,tuo'tai'ge
脱重,tuo'zhong
哇不彰,wa'bu'zhang
哇洒,wa'sa
玩脑浆,wan'nao'jiang
龌龊,wo'chuo
屋里,wu'li
屋子,wu'zi
习得,xi'de
犀利,xi'li
细伢子,xi'ya'zi
侠皮,xia'pi
闲鸡,xian'ji
鲜甜,xian'tian
线细,xian'xi
晓得,xiao'de
刑劲病,xing'jing'bing
腥水,xing'shui
宣红,xuan'hong
雪白,xue'bai
穴货,xue'huo
学堂哩,xue'tang'li
呀里,ya'li
呀晚,ya'wan
檐老鼠子,yan'lao'shu'zi
夜晚边子,ye'wan'bian'zi
耶西挎烂,ye'xi'kua'lan
一剁,yi'duo
一径里走,yi'jing'li'zou
一刻隙,yi'ke'xi
一贴,yi'tie
一砣,yi'tuo
一杂,yi'za
赢倒,ying'dao
元宝,yuan'bao
在块哩,zai'kuai'li
崽俚子,zai'li'zi
造恶,zao'e
造角,zao'jiao
扎戏,zha'xi
着革,zhe'ge
桌顾拧真,zhuo'gu'ning'zhen
走翘步街,zou'qiao'bu'jie
作习子,zuo'xi'zi
作兴,zuo'xing
