阿味,a'wei
艾绒,ai'rong
艾条,ai'tiao
艾叶,ai'ye
艾叶炭,ai'ye'tan
巴戟天,ba'ji'tian
巴戟天炙,ba'ji'tian'zhi
八角茴香,ba'jiao'hui'xiang
八角茴香大茴香,ba'jiao'hui'xiang'da'hui'xiang
菝契,ba'qi
白扁豆,bai'bian'dou
百部,bai'bu
白丑,bai'chou
白丁香,bai'ding'xiang
白豆蔻,bai'dou'kou
白矾,bai'fan
白果,bai'guo
白果仁,bai'guo'ren
白果仁炒,bai'guo'ren'chao
百合,bai'he
百合花,bai'he'hua
白胡椒,bai'hu'jiao
白花菜子,bai'hua'cai'zi
白花蛇草,bai'hua'she'cao
白花蛇舌草,bai'hua'she'she'cao
败酱草,bai'jiang'cao
白芥子炒,bai'jie'zi'chao
白蔹,bai'lian
白莲子肉,bai'lian'zi'rou
白茅根,bai'mao'gen
白梅花,bai'mei'hua
白起石,bai'qi'shi
白前,bai'qian
白屈菜,bai'qu'cai
白芍,bai'shao
白石英,bai'shi'ying
白石脂,bai'shi'zhi
白头翁,bai'tou'weng
白薇,bai'wei
白鲜皮片,bai'xian'pi'pian
白燕盏,bai'yan'zhan
白英,bai'ying
白云香白胶香,bai'yun'xiang'bai'jiao'xiang
白芷,bai'zhi
白芷粉,bai'zhi'fen
白术,bai'zhu
白术炒,bai'zhu'chao
柏子仁,bai'zi'ren
半边莲,ban'bian'lian
斑褐孔菌,ban'he'kong'jun
斑褐孔菌片,ban'he'kong'jun'pian
斑蝥,ban'mao
半夏曲,ban'xia'qu
半枝莲,ban'zhi'lian
保健茶,bao'jian'cha
北豆根,bei'dou'gen
北沙参,bei'sha'shen
荜菝,bi'ba
荜拨,bi'bo
荜澄茄,bi'cheng'qie
蓖麻子,bi'ma'zi
扁蓄,bian'xu
萹蓄,bian'xu
鳖甲,bie'jia
鳖甲醋,bie'jia'cu
槟榔,bing'lang
槟榔片,bing'lang'pian
薄荷,bo'he
薄荷冰,bo'he'bing
薄荷凉茶,bo'he'liang'cha
薄荷叶,bo'he'ye
补骨脂盐,bu'gu'zhi'yan
不老草,bu'lao'cao
彩菊花,cai'ju'hua
蚕蛾,can'e
苍耳子,cang'er'zi
草豆蔻,cao'dou'kou
草果仁,cao'guo'ren
侧柏炭,ce'bai'tan
侧柏叶,ce'bai'ye
柴胡,chai'hu
蝉蜕,chan'tui
常山,chang'shan
炒白扁豆,chao'bai'bian'dou
炒扁豆炒白扁豆,chao'bian'dou'chao'bai'bian'dou
炒槟榔,chao'bing'lang
炒苍术片,chao'cang'zhu'pian
炒川楝子,chao'chuan'lian'zi
炒椿根皮,chao'chun'gen'pi
炒稻芽,chao'dao'ya
炒地榆,chao'di'yu
炒谷芽,chao'gu'ya
炒黑丑,chao'hei'chou
炒槐花,chao'huai'hua
炒鸡内金,chao'ji'nei'jin
炒鸡内金粉,chao'ji'nei'jin'fen
炒僵蚕,chao'jiang'can
炒桔核,chao'ju'he
炒决明子,chao'jue'ming'zi
炒苦杏仁,chao'ku'xing'ren
炒莱菔子,chao'lai'fu'zi
炒麦芽,chao'mai'ya
炒蔓荆子,chao'man'jing'zi
炒芡实,chao'qian'shi
炒青皮,chao'qing'pi
炒山药,chao'shan'yao
炒神曲,chao'shen'qu
炒苏子,chao'su'zi
炒桃仁,chao'tao'ren
超细灵芝粉,chao'xi'ling'zhi'fen
超细鹿茸粉,chao'xi'lu'rong'fen
超细西洋参粉,chao'xi'xi'yang'shen'fen
炒小茴,chao'xiao'hui
炒薏米,chao'yi'mi
炒枳壳,chao'zhi'ke
炒枳实,chao'zhi'shi
炒栀子,chao'zhi'zi
车前草,che'qian'cao
陈皮,chen'pi
陈皮丝炭,chen'pi'si'tan
沉香,chen'xiang
沉香粬,chen'xiang'qu
赤茯苓,chi'fu'ling
赤芍,chi'shao
赤石脂,chi'shi'zhi
赤小豆,chi'xiao'dou
虫草菌粉,chong'cao'jun'fen
虫草菌丝粉,chong'cao'jun'si'fen
重楼,chong'lou
茺蔚子,chong'wei'zi
抽葫芦,chou'hu'lu
楮实子,chu'shi'zi
褚实子,chu'shi'zi
川贝粉,chuan'bei'fen
川贝母粉,chuan'bei'mu'fen
穿肠草,chuan'chang'cao
川黄柏,chuan'huang'bai
川牛膝,chuan'niu'xi
穿山龙,chuan'shan'long
穿心莲,chuan'xin'lian
川芎,chuan'xiong
垂盆草,chui'pen'cao
椿根皮,chun'gen'pi
纯珍珠粉,chun'zhen'zhu'fen
磁石,ci'shi
刺五加,ci'wu'jia
葱子,cong'zi
醋艾炭,cu'ai'tan
醋柴胡,cu'chai'hu
醋穿山甲,cu'chuan'shan'jia
醋莪术,cu'e'zhu
醋龟甲,cu'gui'jia
醋鸡内金粉,cu'ji'nei'jin'fen
醋五味子,cu'wu'wei'zi
醋延胡索,cu'yan'hu'suo
大榧子,da'fei'zi
大枫子,da'feng'zi
大腹皮,da'fu'pi
大海马,da'hai'ma
大红袍花椒,da'hong'pao'hua'jiao
大黄片,da'huang'pian
大黄炭,da'huang'tan
大茴香,da'hui'xiang
大蓟,da'ji
大将军,da'jiang'jun
大青山灵芝,da'qing'shan'ling'zhi
大青盐,da'qing'yan
大青叶,da'qing'ye
大血藤,da'xue'teng
大叶金钱草广金钱草,da'ye'jin'qian'cao'guang'jin'qian'cao
大枣,da'zao
大皂角,da'zao'jiao
玳玳花,dai'dai'hua
黛蛤散,dai'ge'san
玳瑁,dai'mao
玳瑁粉,dai'mao'fen
淡豆豉,dan'dou'chi
胆矾,dan'fan
淡附片,dan'fu'pian
胆南星,dan'nan'xing
丹皮,dan'pi
丹参,dan'shen
丹参粉,dan'shen'fen
淡竹叶,dan'zhu'ye
当归,dang'gui
当归粉,dang'gui'fen
当归酒,dang'gui'jiu
当归片,dang'gui'pian
当归尾,dang'gui'wei
党参,dang'shen
刀豆,dao'dou
倒扣草,dao'kou'cao
稻芽,dao'ya
灯心草,deng'xin'cao
灯盏细辛,deng'zhan'xi'xin
地枫,di'feng
地肤子,di'fu'zi
地骨皮,di'gu'pi
地黄生,di'huang'sheng
地锦草,di'jin'cao
地龙,di'long
地龙酒,di'long'jiu
地榆,di'yu
地榆炭,di'yu'tan
刁海龙,diao'hai'long
丁香,ding'xiang
冬虫夏草,dong'chong'xia'cao
冻干龙眼肉,dong'gan'long'yan'rou
冻干柠檬片,dong'gan'ning'meng'pian
冬瓜皮,dong'gua'pi
冬瓜子,dong'gua'zi
冬葵子,dong'kui'zi
冬凌草,dong'ling'cao
