巴不留得,ba'bu'liu'de
扒蹅,ba'cha
扒蹅子命,ba'cha'zi'ming
白子,bai'zi
半拉橛子,ban'la'jue'zi
包坟,bao'fen
苞谷,bao'gu
被褡子,bei'da'zi
被褥子,bei'ru'zi
背生子儿,bei'sheng'zi'er
本碱,ben'jian
褊攉,bian'huo
鳖虎子,bie'hu'zi
不得地,bu'de'di
不咋味儿,bu'za'wei'er
不在了,bu'zai'le
草驴,cao'lv
差劲,cha'jin
岔裤,cha'ku
差气,cha'qi
抻剂子,chen'ji'zi
吃妈,chi'ma
吃妈头,chi'ma'tou
眵目糊,chi'mu'hu
齿实,chi'shi
冲喜,chong'xi
虫蚁子,chong'yi'zi
促织,cu'zhi
搓板,cuo'ban
大椒,da'jiao
打墓,da'mu
刀刀,dao'dao
捣咕捣咕,dao'gu'dao'gu
倒劲,dao'jing
得劲,de'jin
地锅,di'guo
钉铃搭挂,ding'ling'da'gua
丢了,diu'le
肚跻子,du'ji'zi
肚目脐子,du'mu'qi'zi
躲老瘴,duo'lao'zhang
额勒盖子,e'le'gai'zi
额勒头子,e'le'tou'zi
恶念人,e'nian'ren
恶水,e'shui
恶诉,e'su
耳朵边子,er'duo'bian'zi
耳朵唇子,er'duo'chun'zi
二胡,er'hu
二米子饭,er'mi'zi'fan
二模头饭,er'mo'tou'fan
贩蛋,fan'dan
孵小鸡儿,fu'xiao'ji'er
胳肢窝,ga'zhi'wo
盖袋页子,gai'dai'ye'zi
干饭疙巴,gan'fan'ge'ba
干哕,gan'yue
胳膊拐子,ge'bo'guai'zi
胳跛劓,ge'bo'yi
疙瘩汤,ge'da'tang
胳拉窝,ge'la'wo
胳拉肢,ge'la'zhi
虼蚤,ge'zao
格粘人,ge'zhan'ren
哽声,geng'sheng
狗鳖,gou'bie
鼓顶拍子,gu'ding'pai'zi
咕哝咕哝,gu'nong'gu'nong
拐子,guai'zi
灌肠,guan'chang
管护,guan'hu
光滚,guang'gun
闺女,gui'nv
锅壳啷子,guo'ke'lang'zi
锅脸,guo'lian
锅拍子,guo'pai'zi
过去了,guo'qu'le
哈痒,ha'yang
汗子,han'zi
黑雀子,hei'qiao'zi
横,heng
后个,hou'ge
后脑勺,hou'nao'shao
后脑窝子,hou'nao'wo'zi
猴头,hou'tou
胡拉,hu'la
煳了,hu'le
糊了,hu'le
葫芦管儿,hu'lu'guan'er
滑蛋,hua'dan
黄不哜的,huang'bu'ji'de
黄不哜哜的,huang'bu'ji'ji'de
毁了,hui'le
火明虫,huo'ming'chong
脊梁沟子,ji'liang'gou'zi
家后,jia'hou
江米,jiang'mi
截老瘴,jie'lao'zhang
解灵柩,jie'ling'jiu
褯子,jie'zi
介子,jie'zi
今儿,jin'er
筋壮,jin'zhuang
静板,jing'ban
酒米,jiu'mi
开花豆儿,kai'hua'dou'er
坎夹子,kan'jia'zi
坎肩儿,kan'jian'er
坷拉头子,ke'la'tou'zi
骒马,ke'ma
咳嗓子嗡,ke'sang'zi'weng
吭声,keng'sheng
库弄纹,ku'nong'wen
枯缩,ku'suo
枯缩纹,ku'suo'wen
辣菜疙瘩,la'cai'ge'da
拉头子,la'tou'zi
辣子,la'zi
郎猫,lang'mao
老鸹蛋皮子,lao'gua'dan'pi'zi
老拐子,lao'guai'zi
老犍,lao'jian
老叫驴,lao'jiao'lv
老了,lao'le
老生子,lao'sheng'zi
老洼子,lao'wa'zi
楞拉巴哜的,leng'la'ba'ji'de
楞拉瓜哜的,leng'la'gua'ji'de
利亮,li'liang
脸布,lian'bu
莲花豆儿,lian'hua'dou'er
淋肩子,lin'jian'zi
溜光,liu'guang
马岔裤,ma'cha'ku
马糊,ma'hu
麻糊汤,ma'hu'tang
麻溜,ma'liu
麻雀蛋皮儿,ma'que'dan'pi'er
麻雀蛋皮子,ma'que'dan'pi'zi
妈穗子,ma'sui'zi
妈头,ma'tou
妈头子,ma'tou'zi
麦秸莛子,mai'jie'ting'zi
麦莛儿,mai'ting'er
牤牛,mang'niu
猫耳朵,mao'er'duo
帽壳子,mao'ke'zi
茅坑,mao'keng
毛头孑,mao'tou'jie
毛团,mao'tuan
毛娃,mao'wa
蠓虫子,meng'chong'zi
米茶,mi'cha
米猫,mi'mao
米油子,mi'you'zi
面疙瘩茶,mian'ge'da'cha
面糊儿,mian'hu'er
面糊涂,mian'hu'tu
面鱼茶,mian'yu'cha
明儿个,ming'er'ge
明个,ming'ge
木屐子,mu'ji'zi
拿捻人,na'nian'ren
拿捏,na'nie
拿糖作醋,na'tang'zuo'cu
奶穗,nai'sui
喃咕嘀咕,nan'gu'di'gu
喃喃咕咕,nan'nan'gu'gu
脑袋瓜儿,nao'dai'gua'er
脑袋瓜子,nao'dai'gua'zi
脑门子,nao'men'zi
脑膜勺,nao'mo'shao
泥屐子,ni'ji'zi
年头里,nian'tou'li
脓脓,nong'nong
拍喝,pai'he
胖臭,pang'chou
皮的,pi'de
皮儿,pi'er
皮闺女,pi'gui'nv
撇拉子,pie'la'zi
铺底,pu'di
前儿个,qian'er'ge
前个,qian'ge
秦椒,qin'jiao
蛐蛐儿,qu'qu'er
全乎人,quan'hu'ren
认生,ren'sheng
茸垢,rong'gou
腮帮子,sai'bang'zi
腮鼓肚子,sai'gu'du'zi
嗓葫芦管儿,sang'hu'lu'guan'er
骚马,sao'ma
傻不愣登的,sha'bu'leng'deng'de
骟羯子,shan'jie'zi
上冻,shang'dong
糁子,shen'zi
生姜,sheng'jiang
手箍子,shou'gu'zi
手巾,shou'jin
手脶脶,shou'luo'luo
秫秸,shu'jie
树权子,shu'quan'zi
秫秫,shu'shu
树桠子,shu'ya'zi
双身子了,shuang'shen'zi'le
双生,shuang'sheng
双生子,shuang'sheng'zi
水筲,shui'shao
水羊,shui'yang
斯气了,si'qi'le
送老瘴,song'lao'zhang
送祝米,song'zhu'mi
笋菜,sun'cai
抬杠,tai'gang
胎孩,tai'hai
舔肥,tian'fei
天灵盖,tian'ling'gai
甜秫秸,tian'shu'jie
头后巴子,tou'hou'ba'zi
头子,tou'zi
秃叉子,tu'cha'zi
土坷拉,tu'ke'la
推板,tui'ban
腿裤子,tui'ku'zi
崴老,wai'lao
亡蛋,wang'dan
旺子,wang'zi
苇瓮子,wei'weng'zi
莴瓜,wo'gua
倭瓜,wo'gua
蜗拉头儿,wo'la'tou'er
莴笋,wo'sun
倭倭,wo'wo
