爱士卒,ai'shi'zu
安得广厦千万间,an'de'guang'sha'qian'wan'jian
安陵君不听寡人,an'ling'jun'bu'ting'gua'ren
安陵君其许寡人,an'ling'jun'qi'xu'gua'ren
安陵君受地于先王而守之,an'ling'jun'shou'di'yu'xian'wang'er'shou'zhi
安陵君因使唐雎使于秦,an'ling'jun'yin'shi'tang'ju'shi'yu'qin
安陵君曰大王加惠,an'ling'jun'yue'da'wang'jia'hui
岸芷汀兰,an'zhi'ting'lan
安知我不知鱼之乐,an'zhi'wo'bu'zhi'yu'zhi'le
安知鱼之乐,an'zhi'yu'zhi'le
八百里分麾下炙,ba'bai'li'fen'hui'xia'zhi
拔剑四顾心茫然,ba'jian'si'gu'xin'mang'ran
把酒临风其喜洋洋者矣,ba'jiu'lin'feng'qi'xi'yang'yang'zhe'yi
把酒问青天,ba'jiu'wen'qing'tian
巴山楚水凄凉地,ba'shan'chu'shui'qi'liang'de
八月秋高风怒号,ba'yue'qiu'gao'feng'nu'hao
百废具兴,bai'fei'ju'xing
白虹贯日,bai'hong'guan'ri
白居易,bai'ju'yi
百里奚举于市,bai'li'xi'ju'yu'shi
百姓多闻其贤,bai'xing'duo'wen'qi'xian
百姓孰敢不箪含壶浆,bai'xing'shu'gan'bu'dan'han'hu'jiang
白雪歌送武判官归京,bai'xue'ge'song'wu'pan'guan'gui'jing
半夜凉初透,ban'ye'liang'chu'tou
保其岩阻,bao'qi'yan'zu
抱子在其旁,bao'zi'zai'qi'pang
北定中原,bei'ding'zhong'yuan
北斗阑干南斗斜,bei'dou'lan'gan'nan'dou'xie
北方有侮臣者,bei'fang'you'wu'chen'zhe
北风卷地白草折,bei'feng'juan'di'bai'cao'zhe
背灼炎天光,bei'zhuo'yan'tian'guang
必能裨补阙漏,bi'neng'bi'bu'que'lou
必能使行阵和睦,bi'neng'shi'hang'zhen'he'mu
必取宋,bi'qu'song
必为有窃疾矣,bi'wei'you'qie'ji'yi
陛下亦宜自谋,bi'xia'yi'yi'zi'mou
必先苦其心志,bi'xian'ku'qi'xin'zhi
必有得天时者矣,bi'you'de'tian'shi'zhe'yi
比至陈,bi'zhi'chen
扁鹊出,bian'que'chu
扁鹊复见,bian'que'fu'jian
扁鹊见蔡桓公,bian'que'jian'cai'huan'gong
扁鹊望桓侯而还走,bian'que'wang'huan'hou'er'hai'zou
扁鹊曰,bian'que'yue
扁鹊曰疾在腠理,bian'que'yue'ji'zai'cou'li
便欣然忘食,bian'xin'ran'wang'shi
鬓微霜,bin'wei'shuang
丙辰中秋,bing'chen'zhong'qiu
兵革非不坚利也,bing'ge'fei'bu'jian'li'ye
兵革既未息,bing'ge'ji'wei'xi
兵甲已足,bing'jia'yi'zu
冰皮始解,bing'pi'shi'jie
并杀两尉,bing'sha'liang'wei
病树前头万木春,bing'shu'qian'tou'wan'mu'chun
波澜不惊,bo'lan'bu'jing
薄暮冥冥,bo'mu'ming'ming
波色乍明,bo'se'zha'ming
波涛如怒,bo'tao'ru'nu
薄雾浓云愁永昼,bo'wu'nong'yun'chou'yong'zhou
卜者知其指意,bo'zhe'zhi'qi'zhi'yi
不蔽风日,bu'bi'feng'ri
不必若余之手录,bu'bi'ruo'yu'zhi'shou'lu
不当立,bu'dang'li
不敢出一言以复,bu'gan'chu'yi'yan'yi'fu
不敢销逾约,bu'gan'xiao'yu'yue
不过欲杀臣,bu'guo'yu'sha'chen
不汲汲于富贵,bu'ji'ji'yu'fu'gui
不尽长江滚滚流,bu'jin'chang'jiang'gun'gun'liu
不可久居,bu'ke'jiu'ju
不可屈致也,bu'ke'qu'zhi'ye
不可谓强,bu'ke'wei'qiang
不可谓仁,bu'ke'wei'ren
不可谓智,bu'ke'wei'zhi
不可谓知类,bu'ke'wei'zhi'lei
不可谓忠,bu'ke'wei'zhong
不可知其源,bu'ke'zhi'qi'yuan
不慕荣利,bu'mu'rong'li
不能常得,bu'neng'chang'de
不能绝也,bu'neng'jue'ye
不戚戚于贫贱,bu'qi'qi'yu'pin'jian
布衾多年冷似铁,bu'qin'duo'nian'leng'si'tie
不求甚解,bu'qiu'shen'jie
不求闻达于诸侯,bu'qiu'wen'da'yu'zhu'hou
卜算子咏梅,bu'suan'zi'yong'mei
不效则治臣之罪,bu'xiao'ze'zhi'chen'zhi'zui
不以己悲,bu'yi'ji'bei
不宜偏私,bu'yi'pian'si
不宜妄自菲薄,bu'yi'wang'zi'fei'bo
不以物喜,bu'yi'wu'xi
不宜异同,bu'yi'yi'tong
布衣之怒,bu'yi'zhi'nu
不应有恨,bu'ying'you'hen
不治将恐深,bu'zhi'jiang'kong'shen
不治将益深,bu'zhi'jiang'yi'shen
不知口体之奉不若人也,bu'zhi'kou'ti'zhi'feng'bu'ruo'ren'ye
不知其能千里而食也,bu'zhi'qi'neng'qian'li'er'shi'ye
不知所言,bu'zhi'suo'yan
不知天上宫阙,bu'zhi'tian'shang'gong'que
采菊东篱下,cai'ju'dong'li'xia
才美不外见,cai'mei'bu'wai'jian
采桑径里逢迎,cai'sang'jing'li'feng'ying
苍然白发,cang'ran'bai'fa
仓鹰击于殿上,cang'ying'ji'yu'dian'shang
曹操比于袁绍,cao'cao'bi'yu'yuan'shao
曹刘,cao'liu
策之不以其道,ce'zhi'bu'yi'qi'dao
参差披拂,cen'ci'pi'fu
岑参,cen'shen
曾不吝情去留,ceng'bu'lin'qing'qu'liu
曾不事农桑,ceng'bu'shi'nong'sang
曾益其所不能,ceng'yi'qi'suo'bu'neng
察纳雅言,cha'na'ya'yan
蝉则千转不穷,chan'ze'qian'zhuan'bu'qiong
肠断白苹洲,chang'duan'bai'ping'zhou
长风破浪会有时,chang'feng'po'lang'hui'you'shi
长跪而谢之曰,chang'gui'er'xie'zhi'yue
怅恨久之,chang'hen'jiu'zhi
尝趋百里外从乡之先达执经叩问,chang'qu'bai'li'wai'cong'xiang'zhi'xian'da'zhi'jing'kou'wen
长烟落日孤城闭,chang'yan'luo'ri'gu'cheng'bi
长夜沾湿何由彻,chang'ye'zhan'shi'he'you'che
尝与人佣耕,chang'yu'ren'yong'geng
常著文章自娱,chang'zhu'wen'zhang'zi'yu
朝而往,chao'er'wang
车六七百乘,che'liu'qi'bai'cheng
