鳌峰公园,ao'feng'gong'yuan
八中,ba'zhong
报喜鸟,bao'xi'niao
北菜市巷,bei'cai'shi'xiang
贝林,bei'lin
北门盐库,bei'men'yan'ku
北门油库,bei'men'you'ku
北门闸口,bei'men'zha'kou
贝特工业园,bei'te'gong'ye'yuan
别士桥,bie'shi'qiao
长桥路口,chang'qiao'lu'kou
长途汽车站,chang'tu'qi'che'zhan
车管所,che'guan'suo
陈村,chen'cun
城东新村,cheng'dong'xin'cun
第十二中学,di'shi'er'zhong'xue
第一幼儿园,di'yi'you'er'yuan
地质队,di'zhi'dui
电力新村,dian'li'xin'cun
东方润园,dong'fang'run'yuan
东门,dong'men
东门大桥,dong'men'da'qiao
东头湾菜场,dong'tou'wan'cai'chang
东溪桥东,dong'xi'qiao'dong
东溪桥西,dong'xi'qiao'xi
鳄城花园,e'cheng'hua'yuan
鳄鱼湖,e'yu'hu
二小,er'xiao
二中,er'zhong
方家冲,fang'jia'chong
纺织厂宿舍,fang'zhi'chang'su'she
飞彩办事处,fei'cai'ban'shi'chu
飞彩南大门,fei'cai'nan'da'men
凤凰桥,feng'huang'qiao
府山广场,fu'shan'guang'chang
高速西入口,gao'su'xi'ru'kou
公交公司,gong'jiao'gong'si
公路局,gong'lu'ju
广电中心,guang'dian'zhong'xin
广电中心东门,guang'dian'zhong'xin'dong'men
桂花园,gui'hua'yuan
龟岭岗,gui'ling'gang
国税局,guo'shui'ju
国鑫小区,guo'xin'xiao'qu
国元保险,guo'yuan'bao'xian
国元证券,guo'yuan'zheng'quan
海棠湾,hai'tang'wan
宏立公司,hong'li'gong'si
虹桥路口,hong'qiao'lu'kou
红星礼堂,hong'xing'li'tang
鸿越大道,hong'yue'da'dao
鸿越大道路口,hong'yue'da'dao'lu'kou
后冲村,hou'chong'cun
化肥厂,hua'fei'chang
华卫集团,hua'wei'ji'tuan
花园村,hua'yuan'cun
花园村委会,hua'yuan'cun'wei'hui
花园路口,hua'yuan'lu'kou
黄门口,huang'men'kou
火车站,huo'che'zhan
家乐米业,jia'le'mi'ye
加气站,jia'qi'zhan
建材市场,jian'cai'shi'chang
金坝办事处,jin'ba'ban'shi'chu
金坝派出所,jin'ba'pai'chu'suo
金龙冷库,jin'long'leng'ku
精神病医院,jing'shen'bing'yi'yuan
敬亭山东大门,jing'ting'shan'dong'da'men
敬亭山度假村,jing'ting'shan'du'jia'cun
敬亭苑,jing'ting'yuan
九同路,jiu'tong'lu
九州大道,jiu'zhou'da'dao
九洲市场,jiu'zhou'shi'chang
九洲水果市场,jiu'zhou'shui'guo'shi'chang
九洲小区,jiu'zhou'xiao'qu
军天湖路口,jun'tian'hu'lu'kou
开元小区,kai'yuan'xiao'qu
开元小区后门,kai'yuan'xiao'qu'hou'men
康乐山庄,kang'le'shan'zhuang
矿机厂,kuang'ji'chang
蓝天电缆厂,lan'tian'dian'lan'chang
老汽车站,lao'qi'che'zhan
老十字街,lao'shi'zi'jie
乐方食品,le'fang'shi'pin
丽晶国际,li'jing'guo'ji
丽景花园,li'jing'hua'yuan
莲西村,lian'xi'cun
烈士陵园,lie'shi'ling'yuan
林场村,lin'chang'cun
六小,liu'xiao
绿锦村委会,lv'jin'cun'wei'hui
绿锦铺,lv'jin'pu
绿锦桥,lv'jin'qiao
梅园路路口,mei'yuan'lu'lu'kou
梅园新村,mei'yuan'xin'cun
梅园新村路口,mei'yuan'xin'cun'lu'kou
庙埠,miao'bu
南方汽贸,nan'fang'qi'mao
南门,nan'men
南洋浴场,nan'yang'yu'chang
泥湾路口,ni'wan'lu'kou
彭村路口,peng'cun'lu'kou
平安加油中心,ping'an'jia'you'zhong'xin
气象局,qi'xiang'ju
沁园小区,qin'yuan'xiao'qu
区法院,qu'fa'yuan
区公安局,qu'gong'an'ju
区交通局,qu'jiao'tong'ju
区教委,qu'jiao'wei
区教育局,qu'jiao'yu'ju
人才市场,ren'cai'shi'chang
仁杰医院,ren'jie'yi'yuan
人民医院,ren'min'yi'yuan
肉联厂,rou'lian'chang
三合岔路口,san'he'cha'lu'kou
三角花园,san'jiao'hua'yuan
三棵树,san'ke'shu
三里桥,san'li'qiao
三中,san'zhong
上白水,shang'bai'shui
商之都,shang'zhi'du
盛宇湖畔,sheng'yu'hu'pan
石板桥居委会,shi'ban'qiao'ju'wei'hui
市第二职高,shi'di'er'zhi'gao
市二小,shi'er'xiao
市福利中心,shi'fu'li'zhong'xin
市国税局,shi'guo'shui'ju
市疾病控制中心,shi'ji'bing'kong'zhi'zhong'xin
世纪度假村,shi'ji'du'jia'cun
市六中,shi'liu'zhong
市人才市场,shi'ren'cai'shi'chang
市委党校,shi'wei'dang'xiao
市医院,shi'yi'yuan
市政府,shi'zheng'fu
市政基地,shi'zheng'ji'di
市中心医院,shi'zhong'xin'yi'yuan
市中医院,shi'zhong'yi'yuan
双凤村委会,shuang'feng'cun'wei'hui
双津塑业,shuang'jin'su'ye
双牌村,shuang'pai'cun
双桥三岔路口,shuang'qiao'san'cha'lu'kou
司尔特公司,si'er'te'gong'si
思佳花园,si'jia'hua'yuan
四小,si'xiao
四中,si'zhong
汤村路口,tang'cun'lu'kou
汤村桥,tang'cun'qiao
体育馆,ti'yu'guan
天湖,tian'hu
天湖新街,tian'hu'xin'jie
铁家巷,tie'jia'xiang
铁甲巷,tie'jia'xiang
铜钼矿宿舍,tong'mu'kuang'su'she
同仁医院,tong'ren'yi'yuan
望城岗,wang'cheng'gang
文鼎中学,wen'ding'zhong'xue
文房四宝市场,wen'fang'si'bao'shi'chang
伍甲村,wu'jia'cun
五中,wu'zhong
希达小区,xi'da'xiao'qu
西林菜场,xi'lin'cai'chang
西林二村,xi'lin'er'cun
夏渡,xia'du
夏渡初级中学,xia'du'chu'ji'zhong'xue
巷口桥村委会,xiang'kou'qiao'cun'wei'hui
巷口桥加油站,xiang'kou'qiao'jia'you'zhan
向阳路口,xiang'yang'lu'kou
新和成药业,xin'he'cheng'yao'ye
兴隆路路口,xing'long'lu'lu'kou
宣城宾馆,xuan'cheng'bin'guan
宣城日报社,xuan'cheng'ri'bao'she
宣城中学,xuan'cheng'zhong'xue
宣港路口,xuan'gang'lu'kou
宣酒厂,xuan'jiu'chang
宣州经济开发区北区,xuan'zhou'jing'ji'kai'fa'qu'bei'qu
宣州市场北门,xuan'zhou'shi'chang'bei'men
宣州市场东门,xuan'zhou'shi'chang'dong'men
杨村,yang'cun
阳光小区,yang'guang'xiao'qu
阳江港湾,yang'jiang'gang'wan
杨咀村,yang'ju'cun
移动公司,yi'dong'gong'si
一里桥,yi'li'qiao
银河洁具,yin'he'jie'ju
友好医院,you'hao'yi'yuan
邮政大楼,you'zheng'da'lou
原技校岔路口,yuan'ji'xiao'cha'lu'kou
运管处,yun'guan'chu
在建,zai'jian
造纸厂宿舍,zao'zhi'chang'su'she
张滩村,zhang'tan'cun
赵冲,zhao'chong
赵村路口,zhao'cun'lu'kou
昭亭南路路口,zhao'ting'nan'lu'lu'kou
职高,zhi'gao
职业技术学院,zhi'ye'ji'shu'xue'yuan
中储粮库,zhong'chu'liang'ku
中心医院,zhong'xin'yi'yuan
中医院,zhong'yi'yuan
竹木市场,zhu'mu'shi'chang
状元府,zhuang'yuan'fu
状元山庄,zhuang'yuan'shan'zhuang
