按需印刷,an'xu'yin'shua
凹版印刷,ao'ban'yin'shua
凹版印刷机,ao'ban'yin'shua'ji
凹凸印,ao'tu'yin
扒圆,ba'yuan
扒圆机,ba'yuan'ji
扒圆起脊机,ba'yuan'qi'ji'ji
白场,bai'chang
白页,bai'ye
版口,ban'kou
版面,ban'mian
版面远程传输,ban'mian'yuan'cheng'chuan'shu
版式,ban'shi
版台,ban'tai
版心,ban'xin
包背装,bao'bei'zhuang
包本,bao'ben
包边,bao'bian
包衬,bao'chen
包封皮机,bao'feng'pi'ji
曝光,bao'guang
包角,bao'jiao
薄铅版,bao'qian'ban
包壳,bao'qiao
报纸印刷,bao'zhi'yin'shua
报纸印刷机,bao'zhi'yin'shua'ji
包装印刷,bao'zhuang'yin'shua
背面粘脏,bei'mian'zhan'zang
倍数铅空,bei'shu'qian'kong
背题,bei'ti
吡裂,bi'lie
编辑排版装置,bian'ji'pai'ban'zhuang'zhi
变形文字,bian'xing'wen'zi
标记图像文件格式,biao'ji'tu'xiang'wen'jian'ge'shi
裱卡,biao'ka
表面整饰,biao'mian'zheng'shi
标题级序,biao'ti'ji'xu
不干胶标签印刷,bu'gan'jiao'biao'qian'yin'shua
补漏白,bu'lou'bai
补色,bu'se
不透明度,bu'tou'ming'du
擦金,ca'jin
裁切,cai'qie
裁切滚筒,cai'qie'gun'tong
彩色负片原稿,cai'se'fu'pian'yuan'gao
彩色正片原稿,cai'se'zheng'pian'yuan'gao
彩色桌面出版系统,cai'se'zhuo'mian'chu'ban'xi'tong
残页,can'ye
草纸板,cao'zhi'ban
侧规,ce'gui
侧胶,ce'jiao
测控条,ce'kong'tiao
层次,ceng'ci
插页,cha'ye
衬纸,chen'zhi
承印物,cheng'yin'wu
重影,chong'ying
出套,chu'tao
串墨辊,chuan'mo'gun
串水辊,chuan'shui'gun
串文,chuan'wen
传纸滚筒,chuan'zhi'gun'tong
打排孔,da'pai'kong
打样,da'yang
打字排版,da'zi'pai'ban
单色印刷,dan'se'yin'shua
单张印刷,dan'zhang'yin'shua
单张纸凹印机,dan'zhang'zhi'ao'yin'ji
单张纸给纸系统,dan'zhang'zhi'gei'zhi'xi'tong
单张纸收纸装置,dan'zhang'zhi'shou'zhi'zhuang'zhi
刀花,dao'hua
低调,di'diao
地脚,di'jiao
底色去除,di'se'qu'chu
底色增益,di'se'zeng'yi
递纸装置,di'zhi'zhuang'zhi
电镀铅版,dian'du'qian'ban
电子分色,dian'zi'fen'se
电子分色机,dian'zi'fen'se'ji
电子加网,dian'zi'jia'wang
电子束雕刻凹版,dian'zi'shu'diao'ke'ao'ban
电子图像处理系统,dian'zi'tu'xiang'chu'li'xi'tong
电子整页拼版,dian'zi'zheng'ye'pin'ban
掉版,diao'ban
订距,ding'ju
订锯,ding'ju
订口,ding'kou
订书机,ding'shu'ji
定影,ding'ying
堵头布,du'tou'bu
对版不准,dui'ban'bu'zhun
多层金属版,duo'ceng'jin'shu'ban
多色印刷,duo'se'yin'shua
二回转印刷机,er'hui'zhuan'yin'shua'ji
反白,fan'bai
反差,fan'cha
反拉,fan'la
反射原稿,fan'she'yuan'gao
翻转堆积,fan'zhuan'dui'ji
翻转滚筒,fan'zhuan'gun'tong
反转拷贝法,fan'zhuan'kao'bei'fa
方背,fang'bei
方角,fang'jiao
飞网,fei'wang
扉页,fei'ye
分辨率,fen'bian'lv
分切,fen'qie
分色,fen'se
分色片,fen'se'pian
封面纸板,feng'mian'zhi'ban
封皮,feng'pi
缝纫订,feng'ren'ding
复卷装置,fu'juan'zhuang'zhi
覆膜,fu'mo
覆膜机,fu'mo'ji
复制,fu'zhi
复制版,fu'zhi'ban
改版,gai'ban
感光性树脂凸版,gan'guang'xing'shu'zhi'tu'ban
杠线,gang'xian
高调,gao'diao
高端联网,gao'duan'lian'wang
格式,ge'shi
供纸装置,gong'zhi'zhuang'zhi
刮墨刀,gua'mo'dao
刮墨刀角度,gua'mo'dao'jiao'du
刮墨刀线,gua'mo'dao'xian
刮墨刀行程,gua'mo'dao'xing'cheng
观察池,guan'cha'chi
光本,guang'ben
光栅图像处理器,guang'shan'tu'xiang'chu'li'qi
光学密度,guang'xue'mi'du
光晕,guang'yun
规矩部件,gui'ju'bu'jian
龟纹,gui'wen
滚金口,gun'jin'kou
滚筒扫描仪,gun'tong'sao'miao'yi
滚压,gun'ya
汉字编码,han'zi'bian'ma
豪华装,hao'hua'zhuang
合装,he'zhuang
横排,heng'pai
烘干,hong'gan
糊版,hu'ban
蝴蝶装,hu'die'zhuang
护封,hu'feng
划口,hua'kou
花轮刀,hua'lun'dao
环衬,huan'chen
黄色,huang'se
