八股,ba'gu
靶心,ba'xin
靶纸,ba'zhi
摆打,bai'da
白蜡,bai'la
邦力士,bang'li'shi
龅牙弓,bao'ya'gong
扁卡,bian'ka
扁皮筋,bian'pi'jin
玻璃珠,bo'li'zhu
侧开,ce'kai
叉形弓,cha'xing'gong
茶叶叉,cha'ye'cha
超音速,chao'yin'su
抽手,chou'shou
初速度,chu'su'du
纯皮筋,chun'pi'jin
大海鱼,da'hai'yu
大拉距,da'la'ju
打脸,da'lian
弹打,dan'da
邓飞虎,deng'fei'hu
吊打,diao'da
顶开,ding'kai
定位槽,ding'wei'cao
动能,dong'neng
兜兜射手,dou'dou'she'shou
短拉距,duan'la'ju
对穿,dui'chuan
反捏,fan'nie
飞虎叉,fei'hu'cha
钢珠,gang'zhu
高纤皮兜,gao'xian'pi'dou
弓臂,gong'bi
弓高,gong'gao
弓宽,gong'kuan
弓门,gong'men
弓商,gong'shang
弓无不克,gong'wu'bu'ke
弓作狂,gong'zuo'kuang
狗狗专家,gou'gou'zhuan'jia
估打,gu'da
估瞄打,gu'miao'da
桂花,gui'hua
滚刀,gun'dao
过顶弓,guo'ding'gong
过顶圆皮筋弓,guo'ding'yuan'pi'jin'gong
横握,heng'wo
后手,hou'shou
蝴蝶兰,hu'die'lan
蝴蝶式,hu'die'shi
黄花梨,huang'hua'li
黄栌,huang'lu
黄杨,huang'yang
回弹速度,hui'tan'su'du
灰枭,hui'xiao
极地老妖,ji'di'lao'yao
机器打磨,ji'qi'da'mo
鸡尾酒皮筋,ji'wei'jiu'pi'jin
胶管,jiao'guan
金属弓,jin'shu'gong
金丝楠木,jin'si'nan'mu
金椰,jin'ye
卡球弓,ka'qiu'gong
可乐,ke'le
宽皮筋,kuan'pi'jin
拉力,la'li
拉伸比,la'shen'bi
冷弯弓,leng'wan'gong
两股,liang'gu
刘一杯,liu'yi'bei
麻利,ma'li
美吉克,mei'ji'ke
免绑,mian'bang
瞄打,miao'da
瞄低打高,miao'di'da'gao
描点,miao'dian
瞄高打低,miao'gao'da'di
瞄估打,miao'gu'da
木弓,mu'gong
内穿皮筋,nei'chuan'pi'jin
内贴,nei'tie
泥丸,ni'wan
皮兜,pi'dou
瓶盖,ping'gai
普拉提,pu'la'ti
普雷萨斯,pu'lei'sa'si
前手,qian'shou
青冈,qing'gang
轻弓,qing'gong
赛乐,sai'le
三棵树,san'ke'shu
沈阳春宇,shen'yang'chun'yu
手工打磨,shou'gong'da'mo
四股,si'gu
塑料弓,su'liao'gong
素色,su'se
酸枣,suan'zao
酸枝,suan'zhi
太极,tai'ji
弹射类管制器具,tan'she'lei'guan'zhi'qi'ju
图马克,tu'ma'ke
威赛,wei'sai
威速,wei'su
无架,wu'jia
乌苏,wu'su
乌孙,wu'sun
线切割弓,xian'qie'ge'gong
小夹角打法,xiao'jia'jiao'da'fa
小叶黄杨,xiao'ye'huang'yang
小叶榆,xiao'ye'yu
小叶紫檀,xiao'ye'zi'tan
斜握,xie'wo
熊猫,xiong'mao
延长线打法,yan'chang'xian'da'fa
椰树,ye'shu
油茶,you'cha
尤利达斯,you'li'da'si
原叉,yuan'cha
圆皮筋,yuan'pi'jin
越南三号,yue'nan'san'hao
枣木,zao'mu
振打,zhen'da
正捏,zheng'nie
直臂摆打,zhi'bi'bai'da
直拉打,zhi'la'da
直握,zhi'wo
重弓,zhong'gong
朱建明,zhu'jian'ming
铸造弓,zhu'zao'gong
紫光檀,zi'guang'tan
