宝焰集擎神丹,bao'yan'ji'qing'shen'dan
贝冶丹鼎,bei'ye'dan'ding
赤明魔尊,chi'ming'mo'zun
出窍,chu'qiao
储物手镯,chu'wu'shou'zhuo
传送阵,chuan'song'zhen
大乘,da'cheng
渡劫,du'jie
渡罹神丹,du'li'shen'dan
分神,fen'shen
封缘星,feng'yuan'xing
傅山,fu'shan
古剑院,gu'jian'yuan
归元丹,gui'yuan'dan
海圜轩,hai'huan'xuan
瀚漠金杉堡,han'mo'jin'shan'bao
合体,he'ti
花媚娘,hua'mei'niang
幻星阵,huan'xing'zhen
慧衡宫,hui'heng'gong
珈曳神丹,jia'ye'shen'dan
降木城,jiang'mu'cheng
津阳城,jin'yang'cheng
九衍鎏,jiu'yan'liu
开光,kai'guang
枯青神丹,ku'qing'shen'dan
厉禁天君,li'jin'tian'jun
李强,li'qiang
烈火炎殿,lie'huo'yan'dian
霖明星,lin'ming'xing
灵寂,ling'ji
纳芥手镯,na'jie'shou'zhuo
逆天宝镜,ni'tian'bao'jing
飘邈之旅,piao'miao'zhi'lv
七集丹,qi'ji'dan
奇龙城,qi'long'cheng
融合,rong'he
神罚之眼,shen'fa'zhi'yan
神之战魂,shen'zhi'zhan'hun
潭博手镯,tan'bo'shou'zhuo
阗殛魔杖,tian'ji'mo'zhang
天庭星,tian'ting'xing
误入天庭,wu'ru'tian'ting
勿蕴神丹,wu'yun'shen'dan
仙石,xian'shi
小霖天,xiao'lin'tian
心动,xin'dong
岫纤丹,xiu'xian'dan
修真界,xiu'zhen'jie
修真者,xiu'zhen'zhe
炫疾天火,xuan'ji'tian'huo
旋照,xuan'zhao
雪龙城,xue'long'cheng
衍咒神甲,yan'zhou'shen'jia
隐雷阁,yin'lei'ge
隐龙城,yin'long'cheng
原界,yuan'jie
原界之主,yuan'jie'zhi'zhu
元婴,yuan'ying
曾伟光,zeng'wei'guang
重玄派,zhong'xuan'pai
紫炎心,zi'yan'xin
