安徽建材,an'hui'jian'cai
安徽建筑,an'hui'jian'zhu
安徽建筑工业学院学报,an'hui'jian'zhu'gong'ye'xue'yuan'xue'bao
保温材料与节能技术,bao'wen'cai'liao'yu'jie'neng'ji'shu
北京工程造价,bei'jing'gong'cheng'zao'jia
北京规划建设,bei'jing'gui'hua'jian'she
北京建材,bei'jing'jian'cai
北京建筑工程学院学报,bei'jing'jian'zhu'gong'cheng'xue'yuan'xue'bao
北京修建科技,bei'jing'xiu'jian'ke'ji
玻璃钢复合材料,bo'li'gang'fu'he'cai'liao
玻璃与陶瓷,bo'li'yu'tao'ci
城市,cheng'shi
城市公用事业,cheng'shi'gong'yong'shi'ye
城市规划,cheng'shi'gui'hua
城市规划汇刊,cheng'shi'gui'hua'hui'kan
城市环境与城市生态,cheng'shi'huan'jing'yu'cheng'shi'sheng'tai
城市开发,cheng'shi'kai'fa
城市煤气,cheng'shi'mei'qi
城乡建设,cheng'xiang'jian'she
城镇供水,cheng'zhen'gong'shui
重庆环境科学,chong'qing'huan'jing'ke'xue
重庆建筑大学学报,chong'qing'jian'zhu'da'xue'xue'bao
重庆建筑高等专科学校学报,chong'qing'jian'zhu'gao'deng'zhuan'ke'xue'xiao'xue'bao
村镇建设,cun'zhen'jian'she
大连建工,da'lian'jian'gong
大连市政,da'lian'shi'zheng
地基基础工程,di'ji'ji'chu'gong'cheng
低温建筑技术,di'wen'jian'zhu'ji'shu
地下空间,di'xia'kong'jian
地震工程与工程振动,di'zhen'gong'cheng'yu'gong'cheng'zhen'dong
东北市政科技,dong'bei'shi'zheng'ke'ji
东南大学学报,dong'nan'da'xue'xue'bao
防护工程,fang'hu'gong'cheng
福建建设科技,fu'jian'jian'she'ke'ji
福建建筑,fu'jian'jian'zhu
工厂建设与设计,gong'chang'jian'she'yu'she'ji
工程技术,gong'cheng'ji'shu
工程机械,gong'cheng'ji'xie
工程建设标准化,gong'cheng'jian'she'biao'zhun'hua
工程勘察,gong'cheng'kan'cha
工程抗震,gong'cheng'kang'zhen
工程力学,gong'cheng'li'xue
工程设计与研究,gong'cheng'she'ji'yu'yan'jiu
供水与排水,gong'shui'yu'pai'shui
工业建筑,gong'ye'jian'zhu
公用科技,gong'yong'ke'ji
古建园林技术,gu'jian'yuan'lin'ji'shu
广东供水信息,guang'dong'gong'shui'xin'xi
广东建材,guang'dong'jian'cai
广东土木与建筑,guang'dong'tu'mu'yu'jian'zhu
广西城镇供水,guang'xi'cheng'zhen'gong'shui
广西土木建筑,guang'xi'tu'mu'jian'zhu
广州建筑,guang'zhou'jian'zhu
规划师,gui'hua'shi
硅酸盐建筑制品,gui'suan'yan'jian'zhu'zhi'pin
硅酸盐通报,gui'suan'yan'tong'bao
硅酸盐学报,gui'suan'yan'xue'bao
国外城市规划,guo'wai'cheng'shi'gui'hua
国外建材科技,guo'wai'jian'cai'ke'ji
国外建材译丛,guo'wai'jian'cai'yi'cong
国外建筑科学,guo'wai'jian'zhu'ke'xue
国外煤气,guo'wai'mei'qi
哈尔滨建筑大学学报,ha'er'bin'jian'zhu'da'xue'xue'bao
哈尔滨建筑工程学院学报,ha'er'bin'jian'zhu'gong'cheng'xue'yuan'xue'bao
河北建材,he'bei'jian'cai
河北建筑工程学院学报,he'bei'jian'zhu'gong'cheng'xue'yuan'xue'bao
河北建筑煤炭工程学院学报,he'bei'jian'zhu'mei'tan'gong'cheng'xue'yuan'xue'bao
河南城建高专学报,he'nan'cheng'jian'gao'zhuan'xue'bao
河南建筑技术,he'nan'jian'zhu'ji'shu
湖南建材,hu'nan'jian'cai
化工给水排水设计,hua'gong'ji'shui'pai'shui'she'ji
化学建材,hua'xue'jian'cai
华中建筑,hua'zhong'jian'zhu
混凝土,hun'ning'tu
混凝土与水泥制品,hun'ning'tu'yu'shui'ni'zhi'pin
机场工程,ji'chang'gong'cheng
基建优化,ji'jian'you'hua
吉林建筑工程学院学报,ji'lin'jian'zhu'gong'cheng'xue'yuan'xue'bao
吉林建筑设计,ji'lin'jian'zhu'she'ji
给水技术,ji'shui'ji'shu
给水排水,ji'shui'pai'shui
建材标准化与质量管理,jian'cai'biao'zhun'hua'yu'zhi'liang'guan'li
建材地质,jian'cai'di'zhi
建材工业技术,jian'cai'gong'ye'ji'shu
建材工业信息,jian'cai'gong'ye'xin'xi
建材统计与预测,jian'cai'tong'ji'yu'yu'ce
建工技术,jian'gong'ji'shu
建设机械技术与管理,jian'she'ji'xie'ji'shu'yu'guan'li
建设监理,jian'she'jian'li
建筑,jian'zhu
建筑电气,jian'zhu'dian'qi
建筑工人,jian'zhu'gong'ren
建筑管理现代化,jian'zhu'guan'li'xian'dai'hua
建筑技术,jian'zhu'ji'shu
建筑技术及设计,jian'zhu'ji'shu'ji'she'ji
建筑技术开发,jian'zhu'ji'shu'kai'fa
建筑技术情报,jian'zhu'ji'shu'qing'bao
建筑机械,jian'zhu'ji'xie
建筑机械化,jian'zhu'ji'xie'hua
建筑结构,jian'zhu'jie'gou
建筑结构学报,jian'zhu'jie'gou'xue'bao
建筑节能,jian'zhu'jie'neng
建筑科技,jian'zhu'ke'ji
建筑科学,jian'zhu'ke'xue
建筑砌块与砌块建筑,jian'zhu'qi'kuai'yu'qi'kuai'jian'zhu
建筑人造板,jian'zhu'ren'zao'ban
建筑设计管理,jian'zhu'she'ji'guan'li
建筑设计通讯,jian'zhu'she'ji'tong'xun
建筑师,jian'zhu'shi
建筑施工,jian'zhu'shi'gong
建筑通讯,jian'zhu'tong'xun
建筑学报,jian'zhu'xue'bao
建筑与预算,jian'zhu'yu'yu'suan
建筑知识,jian'zhu'zhi'shi
江苏城市规划,jiang'su'cheng'shi'gui'hua
江苏建材,jiang'su'jian'cai
江苏暖通空调制冷,jiang'su'nuan'tong'kong'tiao'zhi'leng
结构工程师,jie'gou'gong'cheng'shi
军工勘察,jun'gong'kan'cha
勘察科学技术,kan'cha'ke'xue'ji'shu
兰州城乡建设,lan'zhou'cheng'xiang'jian'she
辽宁建材,liao'ning'jian'cai
辽宁建筑,liao'ning'jian'zhu
煤气与热力,mei'qi'yu're'li
耐火材料,nai'huo'cai'liao
南方建筑,nan'fang'jian'zhu
南京建筑工程学院学报,nan'jing'jian'zhu'gong'cheng'xue'yuan'xue'bao
南京市政,nan'jing'shi'zheng
暖通空调,nuan'tong'kong'tiao
青岛建筑工程学院学报,qing'dao'jian'zhu'gong'cheng'xue'yuan'xue'bao
清华大学学报,qing'hua'da'xue'xue'bao
区域供热,qu'yu'gong're
人防工程,ren'fang'gong'cheng
山东建材,shan'dong'jian'cai
山东建材学院学报,shan'dong'jian'cai'xue'yuan'xue'bao
山东建筑工程学院学报,shan'dong'jian'zhu'gong'cheng'xue'yuan'xue'bao
陕西建筑,shan'xi'jian'zhu
山西建筑,shan'xi'jian'zhu
上海城市规划,shang'hai'cheng'shi'gui'hua
上海城市建筑学院学报,shang'hai'cheng'shi'jian'zhu'xue'yuan'xue'bao
上海给水排水,shang'hai'ji'shui'pai'shui
上海建材,shang'hai'jian'cai
上海建材学院学报,shang'hai'jian'cai'xue'yuan'xue'bao
上海建设科技,shang'hai'jian'she'ke'ji
上海市政工程,shang'hai'shi'zheng'gong'cheng
设计通讯,she'ji'tong'xun
设计与科研,she'ji'yu'ke'yan
沈阳建筑,shen'yang'jian'zhu
沈阳建筑工程学院学报,shen'yang'jian'zhu'gong'cheng'xue'yuan'xue'bao
时代建筑,shi'dai'jian'zhu
施工技术,shi'gong'ji'shu
施工企业管理,shi'gong'qi'ye'guan'li
世界地震工程,shi'jie'di'zhen'gong'cheng
世界建筑,shi'jie'jian'zhu
世界建筑导报,shi'jie'jian'zhu'dao'bao
室内设计,shi'nei'she'ji
室内设计与装修,shi'nei'she'ji'yu'zhuang'xiu
石油化工建筑设计,shi'you'hua'gong'jian'zhu'she'ji
市政工程,shi'zheng'gong'cheng
市政工程国外动态,shi'zheng'gong'cheng'guo'wai'dong'tai
市政技术,shi'zheng'ji'shu
市政建设与管理,shi'zheng'jian'she'yu'guan'li
水泥,shui'ni
水泥技术,shui'ni'ji'shu
水泥石灰,shui'ni'shi'hui
四川建材,si'chuan'jian'cai
四川建筑,si'chuan'jian'zhu
四川建筑科学研究,si'chuan'jian'zhu'ke'xue'yan'jiu
苏州城建环保学院学报,su'zhou'cheng'jian'huan'bao'xue'yuan'xue'bao
陶瓷,tao'ci
特种工程设计与研究,te'zhong'gong'cheng'she'ji'yu'yan'jiu
特种结构,te'zhong'jie'gou
天津城市建设学院学报,tian'jin'cheng'shi'jian'she'xue'yuan'xue'bao
天津大学学报,tian'jin'da'xue'xue'bao
天津建设科技,tian'jin'jian'she'ke'ji
天津市政工程,tian'jin'shi'zheng'gong'cheng
铁道建筑,tie'dao'jian'zhu
通风除尘,tong'feng'chu'chen
同济大学学报,tong'ji'da'xue'xue'bao
土工基础,tu'gong'ji'chu
土木工程学报,tu'mu'gong'cheng'xue'bao
