阿尔善诺尔,a'er'shan'nuo'er
阿拉坦敖希特,a'la'tan'ao'xi'te
八大户,ba'da'hu
巴彦布拉尔,ba'yan'bu'la'er
巴彦朝格,ba'yan'chao'ge
巴彦嵯岗苏木,ba'yan'cuo'gang'su'mu
巴彦胡硕,ba'yan'hu'shuo
巴彦纳文六个嘎查,ba'yan'na'wen'liu'ge'ga'cha
巴彦诺尔,ba'yan'nuo'er
巴彦塔拉达斡尔民族乡,ba'yan'ta'la'da'wo'er'min'zu'xiang
巴彦托海嘎查,ba'yan'tuo'hai'ga'cha
巴彦托海镇,ba'yan'tuo'hai'zhen
巴彦温都尔,ba'yan'wen'dou'er
巴彦伊兰,ba'yan'yi'lan
巴音勿拉,ba'yin'wu'la
巴音乌拉八个嘎查,ba'yin'wu'la'ba'ge'ga'cha
白房子,bai'fang'zi
百货楼,bai'huo'lou
北和新村,bei'he'xin'cun
布日都,bu'ri'dou
查干诺尔十一个嘎查,cha'gan'nuo'er'shi'yi'ge'ga'cha
创业,chuang'ye
大雁镇,da'yan'zhen
第一至第八个居委会,di'yi'zhi'di'ba'ge'ju'wei'hui
东安市场,dong'an'shi'chang
东岭委,dong'ling'wei
东山,dong'shan
东山委,dong'shan'wei
福美家园,fu'mei'jia'yuan
嘎子屯,ga'zi'tun
哈克木,ha'ke'mu
哈日嘎那,ha'ri'ga'na
哈日陶海,ha'ri'tao'hai
汗勿拉,han'wu'la
好力保四个嘎查,hao'li'bao'si'ge'ga'cha
和平委,he'ping'wei
洪湖沟,hong'hu'gou
红花尔基,hong'hua'er'ji
红花尔基镇,hong'hua'er'ji'zhen
洪洋小区,hong'yang'xiao'qu
辉道,hui'dao
辉苏木,hui'su'mu
吉登,ji'deng
建材,jian'cai
建工局,jian'gong'ju
金雁小区,jin'yan'xiao'qu
矿东街,kuang'dong'jie
矿东委,kuang'dong'wei
六队,liu'dui
马蹄坑嘎查,ma'ti'keng'ga'cha
孟根楚鲁,meng'gen'chu'lu
孟根托娅,meng'gen'tuo'ya
莫和尔图,mo'he'er'tu
牧场,mu'chang
牧管局科研所,mu'guan'ju'ke'yan'suo
南坝,nan'ba
南屯火葬场,nan'tun'huo'zang'chang
农牧委,nong'mu'wei
七队,qi'dui
前卫委前卫,qian'wei'wei'qian'wei
前卫委站西,qian'wei'wei'zhan'xi
三采,san'cai
三道湾,san'dao'wan
三矿,san'kuang
三十二栋,san'shi'er'dong
三中,san'zhong
胜利委,sheng'li'wei
顺民委,shun'min'wei
四道湾,si'dao'wan
四队,si'dui
特莫胡珠,te'mo'hu'zhu
天食小区,tian'shi'xiao'qu
团结,tuan'jie
团结嘎查,tuan'jie'ga'cha
团结友谊村,tuan'jie'you'yi'cun
维特狠,wei'te'hen
苇子坑八个嘎查,wei'zi'keng'ba'ge'ga'cha
翁公陶海,weng'gong'tao'hai
五栋楼,wu'dong'lou
乌兰宝力格,wu'lan'bao'li'ge
乌兰图格,wu'lan'tu'ge
五农场,wu'nong'chang
乌日切希,wu'ri'qie'xi
西博,xi'bo
西贵图,xi'gui'tu
锡尼河东苏木,xi'ni'he'dong'su'mu
锡尼河西苏木,xi'ni'he'xi'su'mu
向华委,xiang'hua'wei
向利委,xiang'li'wei
向前委,xiang'qian'wei
新村二,xin'cun'er
新村三,xin'cun'san
新村一,xin'cun'yi
新和委,xin'he'wei
新建,xin'jian
新立委,xin'li'wei
兴安,xing'an
兴和,xing'he
兴华,xing'hua
兴华委,xing'hua'wei
星火,xing'huo
兴民委,xing'min'wei
兴盛,xing'sheng
雅尔斯,ya'er'si
雁北,yan'bei
雁北委,yan'bei'wei
雁北预制厂,yan'bei'yu'zhi'chang
雁东委,yan'dong'wei
雁海桥,yan'hai'qiao
艳华委,yan'hua'wei
雁龙大厦,yan'long'da'sha
雁龙小区,yan'long'xiao'qu
雁鸣小区,yan'ming'xiao'qu
雁南委,yan'nan'wei
雁鑫小区,yan'xin'xiao'qu
雁中,yan'zhong
氧化塘,yang'hua'tang
一单元,yi'dan'yuan
伊拉利特,yi'la'li'te
一零九,yi'ling'jiu
伊敏河镇,yi'min'he'zhen
银雁小区,yin'yan'xiao'qu
迎宾委,ying'bin'wei
永安委,yong'an'wei
永丰,yong'feng
邮局平房,you'ju'ping'fang
友联,you'lian
育才委,yu'cai'wei
预制厂,yu'zhi'chang
运销,yun'xiao
扎格德木丹,zha'ge'de'mu'dan
扎罗木得,zha'luo'mu'de
张家屯,zhang'jia'tun
自建,zi'jian
