半刚性,ban'gang'xing
边沟,bian'gou
表处,biao'chu
标段,biao'duan
表观密度,biao'guan'mi'du
标号,biao'hao
标准值,biao'zhun'zhi
材料,cai'liao
槽辙,cao'zhe
超高,chao'gao
超密,chao'mi
潮湿,chao'shi
超限,chao'xian
超载,chao'zai
承包商,cheng'bao'shang
成型,cheng'xing
初凝,chu'ning
粗粒式,cu'li'shi
粗粒土,cu'li'tu
搓板,cuo'ban
底基层,di'ji'ceng
断裂,duan'lie
断面,duan'mian
粉煤灰,fen'mei'hui
封层,feng'ceng
干密度,gan'mi'du
干土质量,gan'tu'zhi'liang
钢筋砼,gang'jin'tong
刚性,gang'xing
公称粒径,gong'cheng'li'jing
工程项目,gong'cheng'xiang'mu
公路管理段,gong'lu'guan'li'duan
管理段,guan'li'duan
国道,guo'dao
涵洞,han'dong
含泥量,han'ni'liang
合同段,he'tong'duan
回归方程,hui'gui'fang'cheng
回弹弯沉,hui'tan'wan'chen
基层,ji'ceng
季节影响系数,ji'jie'ying'xiang'xi'shu
集料,ji'liao
急流槽,ji'liu'cao
级配,ji'pei
击实,ji'shi
集中厂拌,ji'zhong'chang'ban
间断级配,jian'duan'ji'pei
监理工程师,jian'li'gong'cheng'shi
监理公司,jian'li'gong'si
接缝,jie'feng
截水沟,jie'shui'gou
聚合物,ju'he'wu
开级配,kai'ji'pei
颗粒组成,ke'li'zu'cheng
空隙率,kong'xi'lv
沥青混合料,li'qing'hun'he'liao
沥青混凝土,li'qing'hun'ning'tu
沥青马蹄脂,li'qing'ma'ti'zhi
沥青乳液,li'qing'ru'ye
离析,li'xi
硫酸盐,liu'suan'yan
路拌,lu'ban
路槽,lu'cao
路堤,lu'di
路基,lu'ji
路面,lu'mian
路堑,lu'qian
路桥公司,lu'qiao'gong'si
路缘石,lu'yuan'shi
马歇尔,ma'xie'er
马歇尔击实试验,ma'xie'er'ji'shi'shi'yan
马歇尔稳定度,ma'xie'er'wen'ding'du
盲沟,mang'gou
闷料,men'liao
密度,mi'du
密级配,mi'ji'pei
磨光值,mo'guang'zhi
磨耗层,mo'hao'ceng
粘附性,nian'fu'xing
粘性土,nian'xing'tu
碾压,nian'ya
排水沟,pai'shui'gou
喷洒,pen'sa
平地机,ping'di'ji
桥涵,qiao'han
桥梁,qiao'liang
亲水,qin'shui
亲水系数,qin'shui'xi'shu
热拌沥青,re'ban'li'qing
溶解度,rong'jie'du
乳化,ru'hua
乳化沥青,ru'hua'li'qing
软化点,ruan'hua'dian
洒布,sa'bu
三轮压路机,san'lun'ya'lu'ji
砂性土,sha'xing'tu
闪点,shan'dian
渗入,shen'ru
渗水,shen'shui
省道,sheng'dao
施工单位,shi'gong'dan'wei
施工组织,shi'gong'zu'zhi
石灰稳定土,shi'hui'wen'ding'tu
湿润,shi'run
石屑,shi'xie
水泥,shui'ni
水泥剂量,shui'ni'ji'liang
水泥浆,shui'ni'jiang
水泥稳定土,shui'ni'wen'ding'tu
松铺厚度,song'pu'hou'du
塑性指数,su'xing'zhi'shu
随即取样,sui'ji'qu'yang
弹簧,tan'huang
通过率,tong'guo'lv
透层,tou'ceng
土基回弹模量,tu'ji'hui'tan'mo'liang
弯沉,wan'chen
弯沉值,wan'chen'zhi
稀浆,xi'jiang
稀浆封层,xi'jiang'feng'ceng
细粒式,xi'li'shi
细粒土,xi'li'tu
下承层,xia'cheng'ceng
纤维,xian'wei
县乡道,xian'xiang'dao
箱涵,xiang'han
泄水沟,xie'shui'gou
压路机,ya'lu'ji
压实度,ya'shi'du
延迟时间,yan'chi'shi'jian
延度,yan'du
阳离子,yang'li'zi
羊足碾,yang'zu'nian
液塑性,ye'su'xing
业主,ye'zhu
阴离子,yin'li'zi
圆管涵,yuan'guan'han
运动粘度,yun'dong'nian'du
粘层,zhan'ceng
振动,zhen'dong
针入度,zhen'ru'du
中标,zhong'biao
中粒式,zhong'li'shi
中粒土,zhong'li'tu
终凝,zhong'ning
驻地监理,zhu'di'jian'li
专业监理,zhuan'ye'jian'li
总监,zong'jian
总监理工程师,zong'jian'li'gong'cheng'shi
阻滞,zu'zhi
最小压实厚度,zui'xiao'ya'shi'hou'du
作业段,zuo'ye'duan
