白圣,bai'sheng
白云,bai'yun
本圆,ben'yuan
斌宗,bin'zong
忏云,chan'yun
常觉,chang'jue
成一,cheng'yi
传道,chuan'dao
传悔,chuan'hui
传孝,chuan'xiao
传顗,chuan'yi
慈观,ci'guan
慈航,ci'hang
慈惠,ci'hui
慈蓉,ci'rong
慈怡,ci'yi
慈庄,ci'zhuang
达超,da'chao
道安,dao'an
道源,dao'yuan
德僧,de'seng
东初,dong'chu
法智,fa'zhi
福慧,fu'hui
广定,guang'ding
广钦,guang'qin
广心,guang'xin
广元,guang'yuan
宏印,hong'yin
慧律,hui'lv
慧明,hui'ming
慧年,hui'nian
慧三,hui'san
会性,hui'xing
慧严,hui'yan
慧岳,hui'yue
戒德,jie'de
今能,jin'neng
净海,jing'hai
净空,jing'kong
净良,jing'liang
净心,jing'xin
净行,jing'xing
净耀,jing'yao
觉力,jue'li
开参,kai'can
开证,kai'zheng
乐观,le'guan
了中,le'zhong
莲航,lian'hang
隆道,long'dao
妙果,miao'guo
妙莲,miao'lian
妙然,miao'ran
明乘,ming'cheng
明光,ming'guang
南亭,nan'ting
能学,neng'xue
菩妙,pu'miao
晴虚,qing'xu
清严,qing'yan
然妙,ran'miao
如悟,ru'wu
如学,ru'xue
善慧,shan'hui
圣开,sheng'kai
圣严,sheng'yan
圣印,sheng'yin
首愚,shou'yu
水月,shui'yue
泰安,tai'an
天机,tian'ji
天乙,tian'yi
惟觉,wei'jue
悟慈,wu'ci
悟光,wu'guang
悟明,wu'ming
悟一,wu'yi
悟因,wu'yin
贤顿,xian'dun
显明,xian'ming
祥云,xiang'yun
晓云,xiao'yun
心淳,xin'chun
心道,xin'dao
心定,xin'ding
心舫,xin'fang
心平,xin'ping
心田,xin'tian
心源,xin'yuan
性广,xing'guang
星云,xing'yun
修观,xiu'guan
续明,xu'ming
续祥,xu'xiang
玄清,xuan'qing
眼净,yan'jing
印海,yin'hai
印顺,yin'shun
永定,yong'ding
圆融,yuan'rong
圆宗,yuan'zong
昭慧,zhao'hui
振光,zhen'guang
真华,zhen'hua
证严,zheng'yan
智道,zhi'dao
智谕,zhi'yu
致中,zhi'zhong
煮云,zhu'yun
