艾丽莎病毒,ai'li'sha'bing'du
安博士,an'bo'shi
安博士杀毒软件,an'bo'shi'sha'du'ruan'jian
安全报告,an'quan'bao'gao
安全风险,an'quan'feng'xian
安全浏览器,an'quan'liu'lan'qi
安全卫士,an'quan'wei'shi
安全资讯,an'quan'zi'xun
安铁诺,an'tie'nuo
安铁诺杀毒软件,an'tie'nuo'sha'du'ruan'jian
白名单库,bai'ming'dan'ku
本地安全策略,ben'di'an'quan'ce'lue
本机防护,ben'ji'fang'hu
变种,bian'zhong
标准版,biao'zhun'ban
病毒,bing'du
病毒代码,bing'du'dai'ma
病毒库,bing'du'ku
病毒特征,bing'du'te'zheng
病毒特征库,bing'du'te'zheng'ku
病毒疫情监测,bing'du'yi'qing'jian'ce
波特后门,bo'te'hou'men
插件,cha'jian
程序规则,cheng'xu'gui'ze
重写器变种,chong'xie'qi'bian'zhong
重写器病毒,chong'xie'qi'bing'du
初始化动态链接库,chu'shi'hua'dong'tai'lian'jie'ku
穿孔贼木马,chuan'kong'zei'mu'ma
传奇夫木马,chuan'qi'fu'mu'ma
传奇终结者木马,chuan'qi'zhong'jie'zhe'mu'ma
穿越火线木马,chuan'yue'huo'xian'mu'ma
磁碟机蠕虫,ci'die'ji'ru'chong
磁盘精灵蠕虫,ci'pan'jing'ling'ru'chong
大话西游木马,da'hua'xi'you'mu'ma
代理脚本,dai'li'jiao'ben
代理木马,dai'li'mu'ma
代理蠕虫,dai'li'ru'chong
代理释放器,dai'li'shi'fang'qi
当前帐户,dang'qian'zhang'hu
登陆器,deng'lu'qi
低优先级,di'you'xian'ji
点击器,dian'ji'qi
定时查杀,ding'shi'cha'sha
毒霸,du'ba
杜脚本,du'jiao'ben
毒眼杀毒软件,du'yan'sha'du'ruan'jian
多扩展名,duo'kuo'zhan'ming
多态,duo'tai
多引擎,duo'yin'qing
恶毒战士病毒,e'du'zhan'shi'bing'du
恶意程序,e'yi'cheng'xu
反病毒工程师,fan'bing'du'gong'cheng'shi
反病毒急救电话,fan'bing'du'ji'jiu'dian'hua
反病毒杀手木马,fan'bing'du'sha'shou'mu'ma
反病毒杀手蠕虫,fan'bing'du'sha'shou'ru'chong
反病毒终结者,fan'bing'du'zhong'jie'zhe
反病毒咨询,fan'bing'du'zi'xun
反汇编,fan'hui'bian
防火墙,fang'huo'qiang
防水墙,fang'shui'qiang
访问控制,fang'wen'kong'zhi
费尔,fei'er
费尔托斯特,fei'er'tuo'si'te
费尔托斯特杀毒软件,fei'er'tuo'si'te'sha'du'ruan'jian
飞塔,fei'ta
飞塔杀毒软件,fei'ta'sha'du'ruan'jian
高优先级,gao'you'xian'ji
攻击,gong'ji
挂马网站,gua'ma'wang'zhan
关键字,guan'jian'zi
管理员账户,guan'li'yuan'zhang'hu
广告程序,guang'gao'cheng'xu
光盘版,guang'pan'ban
国内互联网安全,guo'nei'hu'lian'wang'an'quan
哈希信息,ha'xi'xin'xi
黑洞后门,hei'dong'hou'men
黑客,hei'ke
黑名单库,hei'ming'dan'ku
黑炸弹蠕虫,hei'zha'dan'ru'chong
恒氏杀毒软件,heng'shi'sha'du'ruan'jian
红客,hong'ke
红色女孩后门,hong'se'nv'hai'hou'men
红太阳杀毒软件,hong'tai'yang'sha'du'ruan'jian
后门,hou'men
华夏木马,hua'xia'mu'ma
幻影后门,huan'ying'hou'men
灰鸽子后门,hui'ge'zi'hou'men
机器狗蠕虫,ji'qi'gou'ru'chong
即时升级,ji'shi'sheng'ji
极速波蠕虫,ji'su'bo'ru'chong
加密算法,jia'mi'suan'fa
键盘记录器,jian'pan'ji'lu'qi
剑网木马,jian'wang'mu'ma
江民,jiang'min
江民杀毒软件,jiang'min'sha'du'ruan'jian
进程信息,jin'cheng'xin'xi
金狐盗号木马,jin'hu'dao'hao'mu'ma
金山,jin'shan
金山毒霸,jin'shan'du'ba
金山毒霸杀毒软件,jin'shan'du'ba'sha'du'ruan'jian
巨人木马,ju'ren'mu'ma
巨人终结者木马,ju'ren'zhong'jie'zhe'mu'ma
卡巴斯基,ka'ba'si'ji
卡巴斯基杀毒软件,ka'ba'si'ji'sha'du'ruan'jian
开机查杀,kai'ji'cha'sha
空密码,kong'mi'ma
跨区域脚本病毒,kua'qu'yu'jiao'ben'bing'du
链接点击器,lian'jie'dian'ji'qi
流氓软件,liu'mang'ruan'jian
流行木马,liu'xing'mu'ma
漏洞,lou'dong
漏洞扫描,lou'dong'sao'miao
漏洞扫描与修复,lou'dong'sao'miao'yu'xiu'fu
鲁欧蠕虫,lu'ou'ru'chong
绿伞杀毒软件,lv'san'sha'du'ruan'jian
迈克菲,mai'ke'fei
迈克菲杀毒软件,mai'ke'fei'sha'du'ruan'jian
梅勒斯木马,mei'le'si'mu'ma
梦幻西游木马,meng'huan'xi'you'mu'ma
蜜蜂大盗木马,mi'feng'da'dao'mu'ma
密码大盗木马,mi'ma'da'dao'mu'ma
密码学,mi'ma'xue
免费杀毒软件,mian'fei'sha'du'ruan'jian
模块,mo'kuai
模块规则,mo'kuai'gui'ze
魔兽世界木马,mo'shou'shi'jie'mu'ma
魔域木马,mo'yu'mu'ma
墨者安全专家,mo'zhe'an'quan'zhuan'jia
木马,mu'ma
木马清理王,mu'ma'qing'li'wang
木马群,mu'ma'qun
木马网址库,mu'ma'wang'zhi'ku
木马下载器,mu'ma'xia'zai'qi
凝逸反毒,ning'yi'fan'du
诺顿,nuo'dun
诺顿杀毒软件,nuo'dun'sha'du'ruan'jian
屏保查杀,ping'bao'cha'sha
屏保密码,ping'bao'mi'ma
破冰病毒,po'bing'bing'du
破坏者,po'huai'zhe
破天一剑终结者木马,po'tian'yi'jian'zhong'jie'zhe'mu'ma
启动目录,qi'dong'mu'lu
启动项,qi'dong'xiang
启发,qi'fa
奇迹世界木马,qi'ji'shi'jie'mu'ma
嵌入木马,qian'ru'mu'ma
嵌入式杀毒,qian'ru'shi'sha'du
敲诈者木马,qiao'zha'zhe'mu'ma
清理专家,qing'li'zhuan'jia
驱动,qu'dong
趋势,qu'shi
趋势杀毒软件,qu'shi'sha'du'ruan'jian
热血江湖木马,re'xue'jiang'hu'mu'ma
蠕虫,ru'chong
蠕虫王蠕虫,ru'chong'wang'ru'chong
蠕虫下载器,ru'chong'xia'zai'qi
瑞星,rui'xing
瑞星安全报告,rui'xing'an'quan'bao'gao
瑞星防火墙,rui'xing'fang'huo'qiang
瑞星卡卡上网安全助手,rui'xing'ka'ka'shang'wang'an'quan'zhu'shou
瑞星全功能安全软件,rui'xing'quan'gong'neng'an'quan'ruan'jian
瑞星杀毒软件,rui'xing'sha'du'ruan'jian
瑞星在线杀毒,rui'xing'zai'xian'sha'du
弱密码,ruo'mi'ma
萨博瑞斯蠕虫,sa'bo'rui'si'ru'chong
赛门铁克,sai'men'tie'ke
赛门铁克杀毒软件,sai'men'tie'ke'sha'du'ruan'jian
赛威后门,sai'wei'hou'men
散列函数,san'lie'han'shu
杀毒软件,sha'du'ruan'jian
沙盘,sha'pan
