飑线,biao'xian
冰暴,bing'bao
超级单体,chao'ji'dan'ti
尘暴,chen'bao
对流单体,dui'liu'dan'ti
风眼壁,feng'yan'bi
副高,fu'gao
烂眼台风,lan'yan'tai'feng
龙卷风暴,long'juan'feng'bao
龙卷风爆发,long'juan'feng'bao'fa
龙卷风走廊,long'juan'feng'zou'lang
萨菲尔辛普森,sa'fei'er'xin'pu'sen
台风眼,tai'feng'yan
藤田等级,teng'tian'deng'ji
藤原效应,teng'yuan'xiao'ying
微下击暴流,wei'xia'ji'bao'liu
下击暴流,xia'ji'bao'liu
雪暴,xue'bao
砧状云,zhen'zhuang'yun
