矮人狙击手,ai'ren'ju'ji'shou
艾西菲的远古祭祀,ai'xi'fei'de'yuan'gu'ji'si
暗黑耀,an'hei'yao
暗黑游侠,an'hei'you'xia
黯灭,an'mie
暗牧,an'mu
暗夜魔王,an'ye'mo'wang
暗影牧师,an'ying'mu'shi
暗影萨满,an'ying'sa'man
白虎,bai'hu
白牛,bai'niu
板甲,ban'jia
半人马酋长,ban'ren'ma'qiu'zhang
半人猛犸,ban'ren'meng'ma
半兽人之斧,ban'shou'ren'zhi'fu
保护领地,bao'hu'ling'di
包鸡,bao'ji
保塔,bao'ta
抱团,bao'tuan
包眼,bao'yan
背背兽,bei'bei'shou
背背猪,bei'bei'zhu
臂章,bi'zhang
蝙蝠骑士,bian'fu'qi'shi
标记,biao'ji
冰封禁锢,bing'feng'jin'gu
冰棍,bing'gun
冰甲,bing'jia
冰女,bing'nv
冰人,bing'ren
冰焰,bing'yan
冰眼,bing'yan
波浪形态,bo'lang'xing'tai
补兵,bu'bing
补兵斧,bu'bing'fu
补刀,bu'dao
补刀斧,bu'dao'fu
补盾,bu'dun
不可侵犯,bu'ke'qin'fan
不死盾,bu'si'dun
补塔,bu'ta
不朽盾,bu'xiu'dun
不朽之守护,bu'xiu'zhi'shou'hu
草鞋,cao'xie
插棒子,cha'bang'zi
插蛇,cha'she
插眼,cha'yan
拆塔,chai'ta
潮汐猎人,chao'xi'lie'ren
沉默,chen'mo
炽魂替换,chi'hun'ti'huan
吃树,chi'shu
出个,chu'ge
出跳,chu'tiao
吹风,chui'feng
吹起,chui'qi
打点钱,da'dian'qian
大法,da'fa
大斧头,da'fu'tou
大根,da'gen
达贡之神力,da'gong'zhi'shen'li
大剑,da'jian
打箭,da'jian
大雷锤,da'lei'chui
大娜迦,da'na'jia
大牛,da'niu
大屁股,da'pi'gu
打钱,da'qian
打泉水,da'quan'shui
大树,da'shu
大吸,da'xi
大药,da'yao
打野,da'ye
大鱼,da'yu
带粉,dai'fen
带眼,dai'yan
单机,dan'ji
单杀,dan'sha
单中,dan'zhong
德鲁伊,de'lu'yi
地卜,di'bu
地卜师,di'bu'shi
敌法,di'fa
敌法师,di'fa'shi
地精,di'jing
地穴编织者,di'xue'bian'zhi'zhe
地穴刺客,di'xue'ci'ke
地狱领主,di'yu'ling'zhu
笛子,di'zi
电棍,dian'gun
电魂,dian'hun
点金手,dian'jin'shou
屌丝鞋,diao'si'xie
毒狗,du'gou
毒龙,du'long
毒球,du'qiu
短棍,duan'gun
对线,dui'xian
恶魔刀锋,e'mo'dao'feng
恶魔巫师,e'mo'wu'shi
恩赐解脱,en'ci'jie'tuo
二塔,er'ta
法力虚空,fa'li'xu'kong
伐木机,fa'mu'ji
法师,fa'shi
法师长袍,fa'shi'chang'pao
发条,fa'tiao
反补,fan'bu
放大,fang'da
飞鞋,fei'xie
分身符,fen'shen'fu
纷争,fen'zheng
风暴之灵,feng'bao'zhi'ling
疯狂面具,feng'kuang'mian'ju
疯脸,feng'lian
封水道,feng'shui'dao
封野,feng'ye
风杖,feng'zhang
复仇,fu'chou
复仇电魂,fu'chou'dian'hun
腐肉堆积,fu'rou'dui'ji
斧头,fu'tou
斧王,fu'wang
刚背,gang'bei
刚背兽,gang'bei'shou
钢背兽,gang'bei'shou
刚毛后背,gang'mao'hou'bei
岗哨守卫,gang'shao'shou'wei
高达,gao'da
哥布林,ge'bu'lin
哥布林工程师,ge'bu'lin'gong'cheng'shi
攻击之爪,gong'ji'zhi'zhao
共享鸡鸡,gong'xiang'ji'ji
共享小鸡,gong'xiang'xiao'ji
沟壑,gou'he
狗头,gou'tou
狗头人,gou'tou'ren
骨法,gu'fa
骨弓,gu'gong
骨灰盒,gu'hui'he
关圣殿,guan'sheng'dian
光法,guang'fa
光鹿,guang'lu
光之箭,guang'zhi'jian
鬼船,gui'chuan
鬼爪,gui'zhua
贵族圆环,gui'zu'yuan'huan
哈斯卡,ha'si'ka
海民,hai'min
河道男,he'dao'nan
黑暗游侠,hei'an'you'xia
黑店,hei'dian
黑弓,hei'gong
黑皇,hei'huang
黑鸟,hei'niao
黑贤,hei'xian
黑曜毁灭者,hei'yao'hui'mie'zhe
洪流,hong'liu
红鞋,hong'xie
红杖,hong'zhang
猴子,hou'zi
蝴蝶,hu'die
虎妞,hu'niu
虎女,hu'nv
护腕,hu'wan
幻刺,huan'ci
换血,huan'xie
欢欣之刃,huan'xin'zhi'ren
幻影刺客,huan'ying'ci'ke
幻影斧,huan'ying'fu
回城,hui'cheng
回城卷轴,hui'cheng'juan'zhou
回到过去,hui'dao'guo'qu
回复戒指,hui'fu'jie'zhi
回复头巾,hui'fu'tou'jin
辉耀,hui'yao
回音击,hui'yin'ji
混沌骑士,hun'dun'qi'shi
魂戒,hun'jie
魂守,hun'shou
混线,hun'xian
活力之球,huo'li'zhi'qiu
祸乱之源,huo'luan'zhi'yuan
火女,huo'nv
火枪,huo'qiang
鸡巴脸,ji'ba'lian
极寒领域,ji'han'ling'yu
