安定门,an'ding'men
安河桥北,an'he'qiao'bei
安华桥,an'hua'qiao
安贞门,an'zhen'men
奥林匹克公园,ao'lin'pi'ke'gong'yuan
奥体中心,ao'ti'zhong'xin
八宝山,ba'bao'shan
八达岭,ba'da'ling
巴沟,ba'gou
八角游乐园,ba'jiao'you'le'yuan
八里桥,ba'li'qiao
白堆子,bai'dui'zi
白石桥南,bai'shi'qiao'nan
北宫门,bei'gong'men
北海北,bei'hai'bei
北京北站,bei'jing'bei'zhan
北京大学东门,bei'jing'da'xue'dong'men
北京南站,bei'jing'nan'zhan
北京西站,bei'jing'xi'zhan
北京站,bei'jing'zhan
北土城,bei'tu'cheng
北新桥,bei'xin'qiao
北苑,bei'yuan
北苑路北,bei'yuan'lu'bei
菜市口,cai'shi'kou
草房,cao'fang
草桥,cao'qiao
长椿街,chang'chun'jie
长春桥,chang'chun'qiao
昌平,chang'ping
昌平南口,chang'ping'nan'kou
长阳,chang'yang
常营,chang'ying
朝阳门,chao'yang'men
车道沟,che'dao'gou
车公庄,che'gong'zhuang
车公庄西,che'gong'zhuang'xi
成寿寺,cheng'shou'si
崇文门,chong'wen'men
传媒大学,chuan'mei'da'xue
磁器口,ci'qi'kou
次渠,ci'qu
次渠南,ci'qu'nan
慈寿寺,ci'shou'si
崔各庄,cui'ge'zhuang
大葆台,da'bao'tai
大红门,da'hong'men
大井,da'jing
褡裢坡,da'lian'po
大屯路东,da'tun'lu'dong
大瓦窑,da'wa'yao
大望路,da'wang'lu
大钟寺,da'zhong'si
稻田,dao'tian
灯市口,deng'shi'kou
东大桥,dong'da'qiao
东单,dong'dan
东四,dong'si
东四十条,dong'si'shi'tiao
动物园,dong'wu'yuan
东直门,dong'zhi'men
分钟寺,fen'zhong'si
俸伯,feng'bo
丰台东大街,feng'tai'dong'da'jie
丰台科技园,feng'tai'ke'ji'yuan
丰台南路,feng'tai'nan'lu
丰台站,feng'tai'zhan
阜成门,fu'cheng'men
复兴门,fu'xing'men
高碑店,gao'bei'dian
高米店北,gao'mi'dian'bei
高米店南,gao'mi'dian'nan
巩华城,gong'hua'cheng
公益西桥,gong'yi'xi'qiao
公主坟,gong'zhu'fen
古城,gu'cheng
鼓楼大街,gu'lou'da'jie
管庄,guan'zhuang
光熙门,guang'xi'men
广阳城,guang'yang'cheng
郭公庄,guo'gong'zhuang
国家图书馆,guo'jia'tu'shu'guan
国贸,guo'mao
果园,guo'yuan
国展,guo'zhan
郭庄子,guo'zhuang'zi
海淀黄庄,hai'dian'huang'zhuang
航站楼,hang'zhan'lou
和平里北街,he'ping'li'bei'jie
和平门,he'ping'men
和平西桥,he'ping'xi'qiao
后沙峪,hou'sha'yu
呼家楼,hu'jia'lou
花梨坎,hua'li'kan
花园桥,hua'yuan'qiao
黄村火车站,huang'cun'huo'che'zhan
黄村西大街,huang'cun'xi'da'jie
黄渠,huang'qu
回龙观,hui'long'guan
回龙观东大街,hui'long'guan'dong'da'jie
惠新西街北口,hui'xin'xi'jie'bei'kou
惠新西街南口,hui'xin'xi'jie'nan'kou
火器营,huo'qi'ying
霍营,huo'ying
纪家庙,ji'jia'miao
积水潭,ji'shui'tan
健德门,jian'de'men
建国门,jian'guo'men
角门东,jiao'men'dong
角门西,jiao'men'xi
劲松,jin'song
金台路,jin'tai'lu
金台夕照,jin'tai'xi'zhao
经海路,jing'hai'lu
旧宫,jiu'gong
九棵树,jiu'ke'shu
居庸关,ju'yong'guan
军事博物馆,jun'shi'bo'wu'guan
康庄,kang'zhuang
科怡路,ke'yi'lu
篱笆房,li'ba'fang
立水桥,li'shui'qiao
立水桥南,li'shui'qiao'nan
梨园,li'yuan
莲花桥,lian'hua'qiao
亮马桥,liang'ma'qiao
