爱公物,ai'gong'wu
爱恶欲,ai'wu'yu
爱学友,ai'xue'you
爱育黎首,ai'yu'li'shou
八百载,ba'bai'zai
八十二,ba'shi'er
百而千,bai'er'qian
白驹食场,bai'ju'shi'chang
百郡秦并,bai'jun'qin'bing
百千年,bai'qian'nian
败由奢,bai'you'she
白云出岫本无心,bai'yun'chu'xiu'ben'wu'xin
半点不由人,ban'dian'bu'you'ren
报春晖,bao'chun'hui
饱饫烹宰,bao'yu'peng'zai
杯杯先劝有钱人,bei'bei'xian'quan'you'qian'ren
背邙面洛,bei'mang'mian'luo
北元魏,bei'yuan'wei
本乎数,ben'hu'shu
彼不教,bi'bu'jiao
彼既成,bi'ji'cheng
彼既老,bi'ji'lao
彼既仕,bi'ji'shi
彼女子,bi'nv'zi
彼虽幼,bi'sui'you
彼无书,bi'wu'shu
彼颖悟,bi'ying'wu
必有初,bi'you'chu
碧云天,bi'yun'tian
扁担情,bian'dan'qing
辨美丑,bian'mei'chou
便是是非人,bian'shi'shi'fei'ren
弁转疑星,bian'zhuan'yi'xing
别善恶,bie'shan'e
兵法精,bing'fa'jing
竝皆佳妙,bing'jie'jia'miao
丙舍傍启,bing'she'bang'qi
拨乱流,bo'luan'liu
磻溪伊尹,bo'xi'yi'yin
不成器,bu'cheng'qi
捕获叛亡,bu'huo'pan'wang
不容紊,bu'rong'wen
不如物,bu'ru'wu
布射僚丸,bu'she'liao'wan
不信但看筵中酒,bu'xin'dan'kan'yan'zhong'jiu
不虚美,bu'xu'mei
不掩恶,bu'yan'e
不再传,bu'zai'chuan
不知理,bu'zhi'li
不知义,bu'zhi'yi
财上分明大丈夫,cai'shang'fen'ming'da'zhang'fu
蔡文姬,cai'wen'ji
菜重芥姜,cai'zhong'jie'jiang
蚕吐丝,can'tu'si
仓廪虚兮岁月乏,cang'lin'xu'xi'sui'yue'fa
草芊芊绿世界,cao'qian'qian'lv'shi'jie
策功茂实,ce'gong'mao'shi
禅主云亭,chan'zhu'yun'ting
长江长,chang'jiang'chang
长江后浪推前浪,chang'jiang'hou'lang'tui'qian'lang
常劳动,chang'lao'dong
倡民主,chang'min'zhu
长与幼骨肉亲,chang'yu'you'gu'rou'qin
朝于斯,chao'yu'si
车驾肥轻,che'jia'fei'qing
臣伏戎羌,chen'fu'rong'qiang
陈根委翳,chen'gen'wei'yi
沉默寂寥,chen'mo'ji'liao
辰宿列张,chen'su'lie'zhang
晨早起,chen'zao'qi
臣则忠,chen'ze'zhong
乘长风,cheng'chang'feng
成佛有余,cheng'fo'you'yu
逞干戈,cheng'gan'ge
称三王,cheng'san'wang
称盛世,cheng'sheng'shi
成由俭,cheng'you'jian
尺璧非宝,chi'bi'fei'bao
痴汉不会饶人,chi'han'bu'hui'rao'ren
驰誉丹青,chi'yu'dan'qing
冲天起,chong'tian'qi
宠增抗极,chong'zeng'kang'ji
楚汉争,chu'han'zheng
锄横霸,chu'heng'ba
出家如初,chu'jia'ru'chu
楚屈强,chu'qu'jiang
除隋乱,chu'sui'luan
出外方知少主人,chu'wai'fang'zhi'shao'zhu'ren
出伟人,chu'wei'ren
俶载南亩,chu'zai'nan'mu
传不绝,chuan'bu'jue
传二世,chuan'er'shi
川流不息,chuan'liu'bu'xi
传织机,chuan'zhi'ji
传中外久弥新,chuan'zhong'wai'jiu'mi'xin
创国基,chuang'guo'ji
闯逆变,chuang'ni'bian
创在前,chuang'zai'qian
垂拱平章,chui'gong'ping'zhang
垂史册,chui'shi'ce
春秋作,chun'qiu'zuo
此瑰宝,ci'gui'bao
次见闻,ci'jian'wen
此六畜,ci'liu'chu
此六谷,ci'liu'gu
此十义,ci'shi'yi
此四方,ci'si'fang
此四时,ci'si'shi
此五常,ci'wu'chang
此五行,ci'wu'xing
从昆仑,cong'kun'lun
聪且慧发明多,cong'qie'hui'fa'ming'duo
寸草心亲有教,cun'cao'xin'qin'you'jiao
寸心丹,cun'xin'dan
存以甘棠,cun'yi'gan'tang
寸阴是竞,cun'yin'shi'jing
存治体,cun'zhi'ti
撮其要,cuo'qi'yao
大家都是命,da'jia'dou'shi'ming
大小戴,da'xiao'dai
迨成祖,dai'cheng'zu
待人宽,dai'ren'kuan
殆辱近耻,dai'ru'jin'chi
迨至隋,dai'zhi'sui
耽读玩市,dan'du'wan'shi
当讽咏,dang'feng'yong
当讲求,dang'jiang'qiu
当时若不登高望,dang'shi'ruo'bu'deng'gao'wang
当效之,dang'xiao'zhi
当自警,dang'zi'jing
当自强,dang'zi'qiang
到海滨,dao'hai'bin
到近代,dao'jin'dai
稻粱菽,dao'liang'shu
德建名立,de'jian'ming'li
得能莫忘,de'neng'mo'wang
德为先,de'wei'xian
德智体,de'zhi'ti
等泥沙,deng'ni'sha
邓小平,deng'xiao'ping
嫡后嗣续,di'hou'si'xu
第一莫欺心,di'yi'mo'qi'xin
弟于长,di'yu'chang
弟则恭,di'ze'gong
帝制翻,di'zhi'fan
颠沛匪亏,dian'pei'fei'kui
吊民伐罪,diao'min'fa'zui
洞口桃花也笑人,dong'kou'tao'hua'ye'xiao'ren
东西二京,dong'xi'er'jing
窦燕山,dou'yan'shan
笃初诚美,du'chu'cheng'mei
读此经,du'ci'jing
杜稿钟隶,du'gao'zhong'li
都江堰,du'jiang'yan
都金陵,du'jin'ling
读鲁论,du'lu'lun
杜少陵,du'shao'ling
读史书,du'shi'shu
读书籍,du'shu'ji
都邑华夏,du'yi'hua'xia
读诸史,du'zhu'shi
断机杼,duan'ji'zhu
对大廷,dui'da'ting
多苦辛,duo'ku'xin
