阿鹏公司,a'peng'gong'si
白鹤溪,bai'he'xi
白塔邑,bai'ta'yi
白玉酒店,bai'yu'jiu'dian
宝井村,bao'jing'cun
宝源小区,bao'yuan'xiao'qu
北博爱路口,bei'bo'ai'lu'kou
北城门,bei'cheng'men
北经庄,bei'jing'zhuang
北罗久邑,bei'luo'jiu'yi
北门桥头,bei'men'qiao'tou
北五里桥,bei'wu'li'qiao
博爱路口,bo'ai'lu'kou
部队,bu'dui
菜场,cai'chang
才村码头,cai'cun'ma'tou
苍浪路口,cang'lang'lu'kou
苍山饭店,cang'shan'fan'dian
苍山路医院,cang'shan'lu'yi'yuan
苍山门,cang'shan'men
车邑村,che'yi'cun
城市管理局,cheng'shi'guan'li'ju
呈庄村,cheng'zhuang'cun
崇圣寺,chong'sheng'si
崇圣寺三塔,chong'sheng'si'san'ta
崇邑村,chong'yi'cun
钏邑,chuan'yi
大井盘,da'jing'pan
大理北门,da'li'bei'men
大理财校,da'li'cai'xiao
大理大学,da'li'da'xue
大理东门,da'li'dong'men
大理饭店,da'li'fan'dian
大理海关,da'li'hai'guan
大理金港,da'li'jin'gang
大丽路口,da'li'lu'kou
大理南门,da'li'nan'men
大理农校,da'li'nong'xiao
大理日报社,da'li'ri'bao'she
大理三中,da'li'san'zhong
大理万福,da'li'wan'fu
大理卫校,da'li'wei'xiao
大理五中,da'li'wu'zhong
大理西门,da'li'xi'men
大理学院荷花校区,da'li'xue'yuan'he'hua'xiao'qu
大理一中分院,da'li'yi'zhong'fen'yuan
大理镇二中,da'li'zhen'er'zhong
大理镇一中,da'li'zhen'yi'zhong
大理镇一中招呼站,da'li'zhen'yi'zhong'zhao'hu'zhan
大理职校,da'li'zhi'xiao
大宁邑村,da'ning'yi'cun
大湾庄,da'wan'zhuang
大展屯,da'zhan'tun
大庄村,da'zhuang'cun
灯笼菜场,deng'long'cai'chang
第六十中心医院,di'liu'shi'zhong'xin'yi'yuan
地石曲,di'shi'qu
地税大楼,di'shui'da'lou
地质宾馆,di'zhi'bin'guan
电力巷,dian'li'xiang
滇源路口,dian'yuan'lu'kou
洱滨村,er'bin'cun
洱海庄园,er'hai'zhuang'yuan
二号桥,er'hao'qiao
飞来寺,fei'lai'si
风车广场,feng'che'guang'chang
凤阳邑,feng'yang'yi
凤中路口,feng'zhong'lu'kou
富海小区,fu'hai'xiao'qu
福庆巷口,fu'qing'xiang'kou
附属医院,fu'shu'yi'yuan
福文路口,fu'wen'lu'kou
福星加油站,fu'xing'jia'you'zhan
复兴路口,fu'xing'lu'kou
福兴小学,fu'xing'xiao'xue
甘家村口,gan'jia'cun'kou
格理酒店,ge'li'jiu'dian
供电所,gong'dian'suo
公交公司,gong'jiao'gong'si
公交停车场,gong'jiao'ting'che'chang
公交小花园车场,gong'jiao'xiao'hua'yuan'che'chang
古城,gu'cheng
古城北门,gu'cheng'bei'men
古城西门,gu'cheng'xi'men
古槐园,gu'huai'yuan
古生,gu'sheng
古生村路口,gu'sheng'cun'lu'kou
管委会,guan'wei'hui
关巍路口,guan'wei'lu'kou
观音塘,guan'yin'tang
官庄,guan'zhuang
果子园,guo'zi'yuan
荷花村,he'hua'cun
荷花校区,he'hua'xiao'qu
鹤阳,he'yang
黑龙桥,hei'long'qiao
红龙井,hong'long'jing
宏祥酒店,hong'xiang'jiu'dian
华瑞市场,hua'rui'shi'chang
华兴纺织厂,hua'xing'fang'zhi'chang
华营,hua'ying
火柴厂宿舍,huo'chai'chang'su'she
火车站,huo'che'zhan
货运站,huo'yun'zhan
吉昌路口,ji'chang'lu'kou
佳利建材城,jia'li'jian'cai'cheng
建材市场,jian'cai'shi'chang
建设商场,jian'she'shang'chang
将军洞,jiang'jun'dong
交警车管大楼,jiao'jing'che'guan'da'lou
交警古城中队,jiao'jing'gu'cheng'zhong'dui
交警支队,jiao'jing'zhi'dui
交通饭店,jiao'tong'fan'dian
金贝小区,jin'bei'xiao'qu
金凤凰广场,jin'feng'huang'guang'chang
金星村,jin'xing'cun
警苑小区,jing'yuan'xiao'qu
九孔桥,jiu'kong'qiao
开发区管委会,kai'fa'qu'guan'wei'hui
客运北站,ke'yun'bei'zhan
客运南站,ke'yun'nan'zhan
客运站,ke'yun'zhan
劳动就业局,lao'dong'jiu'ye'ju
老年协会,lao'nian'xie'hui
里后山村,li'hou'shan'cun
六十医院,liu'shi'yi'yuan
龙龛医院,long'kan'yi'yuan
龙龛幼儿园,long'kan'you'er'yuan
龙泉组团二站,long'quan'zu'tuan'er'zhan
龙泉组团三站,long'quan'zu'tuan'san'zhan
龙泉组团一站,long'quan'zu'tuan'yi'zhan
龙山办公区二站,long'shan'ban'gong'qu'er'zhan
龙山办公区三站,long'shan'ban'gong'qu'san'zhan
龙山办公区一站,long'shan'ban'gong'qu'yi'zhan
龙山广场,long'shan'guang'chang
龙山酒店,long'shan'jiu'dian
龙山市场,long'shan'shi'chang
龙溪菜场,long'xi'cai'chang
龙溪路口,long'xi'lu'kou
龙下登村,long'xia'deng'cun
龙翔村,long'xiang'cun
龙园小区,long'yuan'xiao'qu
龙竹村,long'zhu'cun
路桥一公司,lu'qiao'yi'gong'si
罗久邑,luo'jiu'yi
绿桃村,lv'tao'cun
绿玉公园,lv'yu'gong'yuan
绿玉路,lv'yu'lu
绿玉路口,lv'yu'lu'kou
满江村,man'jiang'cun
满江小学,man'jiang'xiao'xue
漫湾酒店,man'wan'jiu'dian
美登大桥北,mei'deng'da'qiao'bei
美登大桥南,mei'deng'da'qiao'nan
民族中学,min'zu'zhong'xue
明珠广场,ming'zhu'guang'chang
纳思花园,na'si'hua'yuan
南博爱路口,nan'bo'ai'lu'kou
南国城,nan'guo'cheng
南经庄,nan'jing'zhuang
南罗久邑,nan'luo'jiu'yi
南生久,nan'sheng'jiu
南庄,nan'zhuang
农贸市场,nong'mao'shi'chang
磻曲,pan'qu
磻溪,pan'xi
