暗井,an'jing
安民,an'min
安全,an'quan
安溪,an'xi
八瓜洋,ba'gua'yang
坝上社区居民委员会,ba'shang'she'qu'ju'min'wei'yuan'hui
白村,bai'cun
白花洋,bai'hua'yang
柏峻,bai'jun
白雀寺,bai'que'si
柏嵩,bai'song
半径,ban'jing
坂上,ban'shang
北港,bei'gang
北坑,bei'keng
北山,bei'shan
碧春,bi'chun
碧岗,bi'gang
碧岗村民委员会和龙眼城,bi'gang'cun'min'wei'yuan'hui'he'long'yan'cheng
碧洲,bi'zhou
菜场街,cai'chang'jie
蔡子角,cai'zi'jiao
长彬,chang'bin
长教,chang'jiao
长柯,chang'ke
长美,chang'mei
厂埔,chang'pu
潮刘,chao'liu
车岭村民委员会,che'ling'cun'min'wei'yuan'hui
陈本,chen'ben
陈厝,chen'cuo
陈坑,chen'keng
城北,cheng'bei
城东,cheng'dong
城岗村民委员会,cheng'gang'cun'min'wei'yuan'hui
城南,cheng'nan
埕南,cheng'nan
程南,cheng'nan
赤坑,chi'keng
赤岭,chi'ling
赤棠,chi'tang
楚巷,chu'xiang
春光,chun'guang
祠北,ci'bei
祠东社区居民委员会,ci'dong'she'qu'ju'min'wei'yuan'hui
大澳,da'ao
大埔背,da'bu'bei
大埕,da'cheng
大肚山,da'du'shan
大房,da'fang
大港,da'gang
大光,da'guang
大坑,da'keng
大陇,da'long
大楼,da'lou
大门坑,da'men'keng
达南,da'nan
大畔寮,da'pan'liao
大片,da'pian
大榕,da'rong
大榕铺,da'rong'pu
大屋,da'wu
大新溪,da'xin'xi
大衙路,da'ya'lu
德业,de'ye
灯塔,deng'ta
顶厝,ding'cuo
顶宫路,ding'gong'lu
东埕,dong'cheng
东段,dong'duan
东风社区居民委员会,dong'feng'she'qu'ju'min'wei'yuan'hui
东港,dong'gang
东官,dong'guan
东里,dong'li
东明,dong'ming
东南,dong'nan
洞泉,dong'quan
洞泉村民委员会,dong'quan'cun'min'wei'yuan'hui
东山,dong'shan
东山村民委员会,dong'shan'cun'min'wei'yuan'hui
洞上,dong'shang
东峡,dong'xia
东洋,dong'yang
东灶,dong'zao
渡头,du'tou
多年楼,duo'nian'lou
二善,er'shan
方饶,fang'rao
凤岗,feng'gang
丰联,feng'lian
凤岭,feng'ling
凤山楼,feng'shan'lou
冯田,feng'tian
凤州,feng'zhou
浮滨,fu'bin
浮任,fu'ren
浮山,fu'shan
浮山社区居民委员会,fu'shan'she'qu'ju'min'wei'yuan'hui
扶阳楼,fu'yang'lou
福仔金村民委员会,fu'zai'jin'cun'min'wei'yuan'hui
港墘,gang'qian
港西,gang'xi
岗下,gang'xia
高北,gao'bei
高埕,gao'cheng
高东,gao'dong
高二,gao'er
高南,gao'nan
高三,gao'san
高堂,gao'tang
高一,gao'yi
葛口,ge'kou
葛埔,ge'pu
宫边,gong'bian
宫下,gong'xia
古笃,gu'du
古山,gu'shan
官田,guan'tian
光陇,guang'long
海山,hai'shan
海洋社区居民委员会,hai'yang'she'qu'ju'min'wei'yuan'hui
汉塘,han'tang
豪光,hao'guang
河口,he'kou
和里洞,he'li'dong
河南,he'nan
和石,he'shi
鹤松岩,he'song'yan
横山,heng'shan
鸿北,hong'bei
鸿程中学,hong'cheng'zhong'xue
鸿东村民委员会,hong'dong'cun'min'wei'yuan'hui
红丰,hong'feng
红光,hong'guang
红花,hong'hua
红花村民委员会,hong'hua'cun'min'wei'yuan'hui
红鲤山,hong'li'shan
鸿南,hong'nan
红旗,hong'qi
洪西寮,hong'xi'liao
红岩,hong'yan
后港,hou'gang
后葛,hou'ge
后街,hou'jie
后头,hou'tou
湖岭,hu'ling
湖水,hu'shui
虎头山,hu'tou'shan
虎屿,hu'yu
花桥,hua'qiao
华侨中学,hua'qiao'zhong'xue
环城路,huan'cheng'lu
黄村,huang'cun
黄都岭,huang'dou'ling
黄岗,huang'gang
黄岗中学,huang'gang'zhong'xue
黄坪,huang'ping
黄正,huang'zheng
惠陶,hui'tao
灰寨,hui'zhai
建饶,jian'rao
尖山,jian'shan
胶墩,jiao'dun
金背,jin'bei
锦华,jin'hua
汫北,jing'bei
径北村民委员会,jing'bei'cun'min'wei'yuan'hui
汫和,jing'he
径口,jing'kou
径楼,jing'lou
径南,jing'nan
汫南,jing'nan
汫平,jing'ping
荆山,jing'shan
汫西,jing'xi
径新,jing'xin
径中,jing'zhong
井洲,jing'zhou
汫洲,jing'zhou
九村,jiu'cun
旧楼,jiu'lou
居豪,ju'hao
军寮,jun'liao
军埔,jun'pu
军寨,jun'zhai
坎灯山,kan'deng'shan
坎下,kan'xia
康贝,kang'bei
康东,kang'dong
康西,kang'xi
坑前,keng'qian
蓝屋,lan'wu
乐岛,le'dao
李厝,li'cuo
里和睦,li'he'mu
荔林,li'lin
礼堂,li'tang
鲤鱼山,li'yu'shan
联光,lian'guang
联饶,lian'rao
粮田,liang'tian
瞭望山,liao'wang'shan
燎星,liao'xing
烈火,lie'huo
林屋,lin'wu
岭后,ling'hou
岭头,ling'tou
岭湾,ling'wan
刘厝埔,liu'cuo'pu
隆北,long'bei
隆东,long'dong
龙光,long'guang
隆南,long'nan
龙塘,long'tang
龙湾,long'wan
龙湾慈云中学,long'wan'ci'yun'zhong'xue
龙湾小学,long'wan'xiao'xue
隆西,long'xi
龙溪,long'xi
龙兴,long'xing
楼园,lou'yuan
马岗,ma'gang
麻湖,ma'hu
马坑,ma'keng
麻寮,ma'liao
麻寮村民委员会,ma'liao'cun'min'wei'yuan'hui
麦园,mai'yuan
茂芝,mao'zhi
梅林,mei'lin
美宅,mei'zhai
苗田,miao'tian
明堂,ming'tang
名扬,ming'yang
南淳,nan'chun
南村,nan'cun
南联,nan'lian
南门,nan'men
南任,nan'ren
南山,nan'shan
南新,nan'xin
南星,nan'xing
南洋,nan'yang
内庵,nei'an
内里,nei'li
欧石,ou'shi
欧阳山,ou'yang'shan
排江,pai'jiang
潘段,pan'duan
泮洋,pan'yang
蓬来,peng'lai
坪丰,ping'feng
坪溪,ping'xi
坪溪村民委员会,ping'xi'cun'min'wei'yuan'hui
坪洋,ping'yang
埔坪,pu'ping
普陀岩,pu'tuo'yan
埔下,pu'xia
埔中,pu'zhong
岐山,qi'shan
钱东,qian'dong
钱东社区居民委员会,qian'dong'she'qu'ju'min'wei'yuan'hui
前寮村民委员会,qian'liao'cun'min'wei'yuan'hui
钱塘,qian'tang
侨光,qiao'guang
桥头,qiao'tou
清华路,qing'hua'lu
青岚,qing'lan
青屿,qing'yu
青竹径,qing'zhu'jing
群力,qun'li
群星,qun'xing
饶丰,rao'feng
饶南,rao'nan
饶平县第二中学,rao'ping'xian'di'er'zhong'xue
饶洋,rao'yang
饶中,rao'zhong
荣东,rong'dong
荣西,rong'xi
三红,san'hong
三乐屋,san'le'wu
三饶,san'rao
三饶社区居民委员会,san'rao'she'qu'ju'min'wei'yuan'hui
三中,san'zhong
山斗,shan'dou
山家,shan'jia
山美,shan'mei
山门,shan'men
山前,shan'qian
汕水,shan'shui
汕水居民委员会,shan'shui'ju'min'wei'yuan'hui
山下,shan'xia
山霞,shan'xia
上东,shang'dong
上浮山,shang'fu'shan
上港,shang'gang
上广,shang'guang
上黄,shang'huang
上黄隆,shang'huang'long
上坑村民委员会,shang'keng'cun'min'wei'yuan'hui
上葵,shang'kui
上林,shang'lin
上南村民委员会,shang'nan'cun'min'wei'yuan'hui
上善,shang'shan
上山,shang'shan
上社,shang'she
上湾,shang'wan
上湾岩,shang'wan'yan
上文,shang'wen
上寨,shang'zhai
輋塘,she'tang
沈厝,shen'cuo
神前,shen'qian
深涂,shen'tu
石北,shi'bei
石壁,shi'bi
石壁山,shi'bi'shan
石槽,shi'cao
石埕,shi'cheng
施厝,shi'cuo
石坛,shi'tan
石头社区居民委员会,shi'tou'she'qu'ju'min'wei'yuan'hui
狮头寨,shi'tou'zhai
实验中学,shi'yan'zhong'xue
狮屿,shi'yu
树下,shu'xia
双罗,shuang'luo
水东,shui'dong
水美,shui'mei
水南村民委员会,shui'nan'cun'min'wei'yuan'hui
水西,shui'xi
四罗,si'luo
所城,suo'cheng
所城社区居民委员会,suo'cheng'she'qu'ju'min'wei'yuan'hui
所城中学,suo'cheng'zhong'xue
塘南,tang'nan
汤溪,tang'xi
桃西,tao'xi
桃园,tao'yuan
桃源,tao'yuan
田家炳实验中学,tian'jia'bing'shi'yan'zhong'xue
田美,tian'mei
田中,tian'zhong
同安岩,tong'an'yan
土坑,tu'keng
外宫,wai'gong
魏厝楼,wei'cuo'lou
围罗,wei'luo
文胜围,wen'sheng'wei
沃潭村民委员会,wo'tan'cun'min'wei'yuan'hui
吴坑,wu'keng
五联,wu'lian
乌溪,wu'xi
乌洋,wu'yang
五祉,wu'zhi
溪背楼,xi'bei'lou
溪东,xi'dong
西港,xi'gang
锡康,xi'kang
西坑,xi'keng
锡坑,xi'keng
西林,xi'lin
溪楼,xi'lou
溪美,xi'mei
西门,xi'men
西片,xi'pian
西山,xi'shan
西山寨,xi'shan'zhai
西石,xi'shi
溪头,xi'tou
西沃,xi'wo
溪西,xi'xi
西峡村民委员会和汫东,xi'xia'cun'min'wei'yuan'hui'he'jing'dong
西寨,xi'zhai
下安,xia'an
下坝,xia'ba
下村,xia'cun
下岱,xia'dai
下埭仔,xia'dai'zai
霞东,xia'dong
下浮山,xia'fu'shan
下广,xia'guang
霞光,xia'guang
下黄隆,xia'huang'long
下葵,xia'kui
下寮,xia'liao
下楼,xia'lou
下饶,xia'rao
下善,xia'shan
下市社区居民委员会,xia'shi'she'qu'ju'min'wei'yuan'hui
下书,xia'shu
下塔村民委员会,xia'ta'cun'min'wei'yuan'hui
下湾,xia'wan
霞西,xia'xi
夏校,xia'xiao
下园,xia'yuan
下院,xia'yuan
下寨,xia'zhai
霞中,xia'zhong
仙春,xian'chun
仙州,xian'zhou
仙洲,xian'zhou
小东,xiao'dong
新陂,xin'bei
新厝,xin'cuo
新丰,xin'feng
新光,xin'guang
新合,xin'he
新康,xin'kang
新葵,xin'kui
新寮,xin'liao
新楼,xin'lou
新民,xin'min
新埔,xin'pu
新善,xin'shan
新山,xin'shan
新石村民委员会,xin'shi'cun'min'wei'yuan'hui
新塔,xin'ta
新塘,xin'tang
新霞,xin'xia
新乡,xin'xiang
新圩,xin'xu
新寨,xin'zhai
星光,xing'guang
秀溪,xiu'xi
许坑,xu'keng
薛厝寮,xue'cuo'liao
雪狐工作室,xue'hu'gong'zuo'shi
汛洲,xun'zhou
讯洲,xun'zhou
芽坑村民委员会,ya'keng'cun'min'wei'yuan'hui
亚塘,ya'tang
燕坑,yan'keng
砚山,yan'shan
燕子山,yan'zi'shan
杨慈埔,yang'ci'pu
洋东,yang'dong
扬康,yang'kang
杨梅坪,yang'mei'ping
英粉,ying'fen
英港,ying'gang
拥军路,yong'jun'lu
永善,yong'shan
永盛,yong'sheng
渔村,yu'cun
余厝村民委员会,yu'cuo'cun'min'wei'yuan'hui
屿山,yu'shan
玉田,yu'tian
院前,yuan'qian
在城,zai'cheng
宅畔,zhai'pan
寨上,zhai'shang
樟溪,zhang'xi
柘北,zhe'bei
柘北村民委员会,zhe'bei'cun'min'wei'yuan'hui
柘林,zhe'lin
柘林中学,zhe'lin'zhong'xue
柘中,zhe'zhong
镇风塔,zhen'feng'ta
峙头,zhi'tou
中段,zhong'duan
中联,zhong'lian
中团,zhong'tuan
中先,zhong'xian
卓村,zhuo'cun
紫云,zi'yun
左麦,zuo'mai
