吖啶橙,a'ding'cheng
吖啶黄,a'ding'huang
癌基因,ai'ji'yin
氨基蝶呤,an'ji'die'ling
氨甲蝶呤,an'jia'die'ling
暗视场显微镜,an'shi'chang'xian'wei'jing
凹玻片,ao'bo'pian
巴尔比亚尼环,ba'er'bi'ya'ni'huan
巴氏小体,ba'shi'xiao'ti
白色体,bai'se'ti
白细胞抗原,bai'xi'bao'kang'yuan
白细胞调节素,bai'xi'bao'tiao'jie'su
败育卵,bai'yu'luan
半不育,ban'bu'yu
伴刀豆凝集素,ban'dao'dou'ning'ji'su
半抗原,ban'kang'yuan
坂口反应,ban'kou'fan'ying
半桥粒,ban'qiao'li
薄层培养,bao'ceng'pei'yang
孢粉素,bao'fen'su
胞肛,bao'gang
胞核,bao'he
饱和密度,bao'he'mi'du
胞间连丝,bao'jian'lian'si
胞间桥,bao'jian'qiao
胞间隙,bao'jian'xi
胞间运输,bao'jian'yun'shu
胞口,bao'kou
包埋剂,bao'mai'ji
胞膜,bao'mo
孢母细胞,bao'mu'xi'bao
胞囊,bao'nang
孢囊,bao'nang
胞囊孢子,bao'nang'bao'zi
胞内共生,bao'nei'gong'sheng
胞内小管,bao'nei'xiao'guan
胞内运输,bao'nei'yun'shu
胞吐,bao'tu
胞吞,bao'tun
胞外连丝,bao'wai'lian'si
胞咽,bao'yan
胞饮,bao'yin
保育培养,bao'yu'pei'yang
孢原细胞,bao'yuan'xi'bao
胞质,bao'zhi
胞质分裂,bao'zhi'fen'lie
胞质环流,bao'zhi'huan'liu
胞质局部分裂,bao'zhi'ju'bu'fen'lie
胞质桥,bao'zhi'qiao
胞质溶胶,bao'zhi'rong'jiao
胞质体,bao'zhi'ti
胞质运动,bao'zhi'yun'dong
胞质杂种,bao'zhi'za'zhong
孢子,bao'zi
孢子发生,bao'zi'fa'sheng
孢子同型,bao'zi'tong'xing
孢子形成,bao'zi'xing'cheng
孢子异型,bao'zi'yi'xing
孢子中壁,bao'zi'zhong'bi
被动运输,bei'dong'yun'shu
苯胺蓝,ben'an'lan
臂比,bi'bi
臂内倒位,bi'nei'dao'wei
编程性细胞死亡,bian'cheng'xing'xi'bao'si'wang
鞭毛,bian'mao
鞭毛蛋白,bian'mao'dan'bai
扁平膜囊,bian'ping'mo'nang
变态,bian'tai
变性,bian'xing
变形运动,bian'xing'yun'dong
边缘波动,bian'yuan'bo'dong
标记染色体,biao'ji'ran'se'ti
表面复型,biao'mian'fu'xing
