爱伦达尔桔,ai'lun'da'er'ju
奥巴马椰枣,ao'ba'ma'ye'zao
奥古斯特葡萄,ao'gu'si'te'pu'tao
奥山红宝石,ao'shan'hong'bao'shi
巴哈宁哈脐橙,ba'ha'ning'ha'qi'cheng
芭蕉,ba'jiao
巴西栗,ba'xi'li
八月酥梨,ba'yue'su'li
白兰瓜,bai'lan'gua
白诗南,bai'shi'nan
白水蜜杏,bai'shui'mi'xing
白水苹果,bai'shui'ping'guo
白糖李,bai'tang'li
百香果,bai'xiang'guo
白羽葡萄,bai'yu'pu'tao
半红半绿苹果,ban'hong'ban'lv'ping'guo
秘鲁番荔枝,bi'lu'fan'li'zhi
荸荠,bi'qi
槟榔,bing'lang
伯芬维拉桔,bo'fen'wei'la'ju
菠萝,bo'luo
菠萝莓,bo'luo'mei
波罗蜜,bo'luo'mi
布鲁诺猕猴桃,bu'lu'nuo'mi'hou'tao
苍溪猕猴桃,cang'xi'mi'hou'tao
曹庵草莓,cao'an'cao'mei
草龙珠,cao'long'zhu
草莓,cao'mei
草莓梨子汤,cao'mei'li'zi'tang
茶藨子科,cha'biao'zi'ke
禅寺丸柿,chan'si'wan'shi
长寿沙田柚,chang'shou'sha'tian'you
超级无核葡萄,chao'ji'wu'he'pu'tao
超级西红柿,chao'ji'xi'hong'shi
超康美,chao'kang'mei
车厘子,che'li'zi
呈贡宝珠梨,cheng'gong'bao'zhu'li
楚红猕猴桃,chu'hong'mi'hou'tao
慈埠镇,ci'bu'zhen
刺果番荔枝,ci'guo'fan'li'zhi
刺角瓜,ci'jiao'gua
刺梨,ci'li
翠冠梨,cui'guan'li
翠玉猕猴桃,cui'yu'mi'hou'tao
大叶枣,da'ye'zao
大樱桃,da'ying'tao
带绿荔枝,dai'lv'li'zhi
蛋黄果,dan'huang'guo
灯笼果,deng'long'guo
冬果梨,dong'guo'li
鳄梨,e'li
鹅莓,e'mei
鄂猕猴桃二号,e'mi'hou'tao'er'hao
鄂猕猴桃三号,e'mi'hou'tao'san'hao
法兰西梨,fa'lan'xi'li
番木瓜,fan'mu'gua
番茄,fan'qie
番茄保鲜术,fan'qie'bao'xian'shu
番石榴,fan'shi'liu
肥城桃,fei'cheng'tao
费约果,fei'yue'guo
凤凰山水蜜桃,feng'huang'shan'shui'mi'tao
奉节脐橙,feng'jie'qi'cheng
奉节晚橙,feng'jie'wan'cheng
丰绿猕猴桃,feng'lv'mi'hou'tao
丰脐,feng'qi
佛手柑,fo'shou'gan
佛头果,fo'tou'guo
复果,fu'guo
覆盆子,fu'pen'zi
富士苹果,fu'shi'ping'guo
福星果,fu'xing'guo
伽师瓜,ga'shi'gua
柑桔,gan'ju
柑橘,gan'ju
橄榄,gan'lan
干桑椹,gan'sang'shen
甘蔗,gan'zhe
高接梨,gao'jie'li
高墨葡萄,gao'mo'pu'tao
歌海娜,ge'hai'na
枸杞,gou'qi
瓜拿纳,gua'na'na
桂圆,gui'yuan
国光苹果,guo'guang'ping'guo
果汁综合症,guo'zhi'zong'he'zheng
哈密瓜,ha'mi'gua
海棠果,hai'tang'guo
海沃德猕猴桃,hai'wo'de'mi'hou'tao
海选一号,hai'xuan'yi'hao
和田红葡萄,he'tian'hong'pu'tao
黑奥林,hei'ao'lin
黑布仑,hei'bu'lun
黑加仑,hei'jia'lun
黑梅,hei'mei
黑葡萄,hei'pu'tao
黑天鹅葡萄,hei'tian'e'pu'tao
黑香芒果,hei'xiang'mang'guo
黑枣,hei'zao
红岗山桃子,hong'gang'shan'tao'zi
