八骏,ba'jun
白鹤,bai'he
白蹄乌,bai'ti'wu
白兔,bai'tu
白义,bai'yi
奔虹赤,ben'hong'chi
奔霄,ben'xiao
碧云霞,bi'yun'xia
步景,bu'jing
超光,chao'guang
晨凫,chen'fu
乘黄,cheng'huang
赤电,chi'dian
赤骥,chi'ji
赤龙驹,chi'long'ju
赤蛇,chi'she
赤兔,chi'tu
楚骓,chu'zhui
骢珑,cong'long
翠黄,cui'huang
翠龙,cui'long
大骊,da'li
大宛,da'wan
盗骊,dao'li
的卢,de'lu
蹀马,die'ma
丁香叱拨,ding'xiang'chi'bo
发电赤,fa'dian'chi
翻羽,fan'yu
飞翮,fei'he
飞黄,fei'huang
飞霞骠,fei'xia'biao
飞香,fei'xiang
飞越峰,fei'yue'feng
凤苑,feng'yuan
浮云,fu'yun
汗血,han'xue
洪波瑜,hong'bo'yu
红叱拨,hong'chi'bo
红玉,hong'yu
忽雷驳,hu'lei'bo
骅骝,hua'liu
滑州龙子,hua'zhou'long'zi
黄叱拨,huang'chi'bo
黄骢骠,huang'cong'biao
黄骝,huang'liu
黄门四骏,huang'men'si'jun
吉黄,ji'huang
吉良,ji'liang
皎雪骢,jiao'xue'cong
惊帆,jing'fan
九花虬,jiu'hua'qiu
九逸,jiu'yi
决波瑜,jue'bo'yu
绝尘,jue'chen
绝地,jue'di
绝群,jue'qun
駃騠,jue'ti
绝影,jue'ying
雷首良马,lei'shou'liang'ma
嶙驹,lin'ju
凌云,ling'yun
流星騧,liu'xing'gua
龙媒,long'mei
龙文,long'wen
龙骧,long'xiang
龙子,long'zi
禄螭骢,lu'chi'cong
騄耳,lu'er
騄駬,lu'er
绿耳,lv'er
弥景,mi'jing
蹑景,nie'jing
凝露骢,ning'lu'cong
宁远马,ning'yuan'ma
平山,ping'shan
蒲稍,pu'shao
騹骥,qi'ji
骐骥,qi'ji
千里,qian'li
青叱拨,qing'chi'bo
青海骢,qing'hai'cong
青骓,qing'zhui
渠黄,qu'huang
拳毛騧,quan'mao'gua
飒露紫,sa'lu'zi
沙丘马,sha'qiu'ma
闪电,shan'dian
山子,shan'zi
什伐赤,shen'fa'chi
胜黄,sheng'huang
狮子骢,shi'zi'cong
四极,si'ji
骕骦,su'shuang
太原异马,tai'yuan'yi'ma
唐太宗十骥,tang'tai'zong'shi'ji
唐舞马,tang'wu'ma
桃花叱拨,tao'hua'chi'bo
騊駼,tao'tu
特勒骠,te'le'biao
腾霜白,teng'shuang'bai
腾雾,teng'wu
天马,tian'ma
天苑,tian'yuan
铜爵,tong'jue
宛天马,wan'tian'ma
望云骓,wang'yun'zhui
乌孙,wu'sun
西域马,xi'yu'ma
纤离,xian'li
祥驎,xiang'lin
翔麟紫,xiang'lin'zi
象龙,xiang'long
萧稍,xiao'shao
挟翼,xie'yi
悬光骢,xuan'guang'cong
扬武,yang'wu
騕褭,yao'niao
逸飘,yi'piao
逸群,yi'qun
义瑜,yi'yu
银騔,yin'ge
玉花骢,yu'hua'cong
踰辉,yu'hui
逾辉,yu'hui
踰轮,yu'lun
玉马,yu'ma
鱼目,yu'mu
玉逍遥,yu'xiao'yao
元佑三马,yuan'you'san'ma
越影,yue'ying
昭陵六骏,zhao'ling'liu'jun
照夜白,zhao'ye'bai
赭白,zhe'bai
周穆王八骏,zhou'mu'wang'ba'jun
追电,zhui'dian
追风,zhui'feng
紫叱拨,zi'chi'bo
紫黄,zi'huang
紫鳞,zi'lin
紫骍,zi'xing
紫燕,zi'yan
紫燕骝,zi'yan'liu
紫玉,zi'yu
