材料与化工学院,cai'liao'yu'hua'gong'xue'yuan
电气与新能源学院,dian'qi'yu'xin'neng'yuan'xue'yuan
东苑,dong'yuan
法学与公共管理学院,fa'xue'yu'gong'gong'guan'li'xue'yuan
国际文化交流学院,guo'ji'wen'hua'jiao'liu'xue'yuan
计算机与信息学院,ji'suan'ji'yu'xin'xi'xue'yuan
机械与动力学院,ji'xie'yu'dong'li'xue'yuan
经济与管理学院,jing'ji'yu'guan'li'xue'yuan
科院,ke'yuan
理学院,li'xue'yuan
马克思主义学院,ma'ke'si'zhu'yi'xue'yuan
毛时玉,mao'shi'yu
民族学院,min'zu'xue'yuan
南苑,nan'yuan
潘大礼,pan'da'li
覃太贵,qin'tai'gui
沁苑,qin'yuan
三大,san'da
生物与制药学院,sheng'wu'yu'zhi'yao'xue'yuan
水利与环境学院,shui'li'yu'huan'jing'xue'yuan
体育学院,ti'yu'xue'yuan
田家炳教育学院,tian'jia'bing'jiao'yu'xue'yuan
土木与建筑学院,tu'mu'yu'jian'zhu'xue'yuan
外国语学院,wai'guo'yu'xue'yuan
文学与传媒学院,wen'xue'yu'chuan'mei'xue'yuan
西苑,xi'yuan
欣苑,xin'yuan
逸夫楼,yi'fu'lou
艺术学院,yi'shu'xue'yuan
医学院,yi'xue'yuan
