矮脚美人蕉,ai'jiao'mei'ren'jiao
矮紫薇,ai'zi'wei
巴豆,ba'dou
霸王棕,ba'wang'zong
八月柞,ba'yue'zuo
白果树,bai'guo'shu
白蝴蝶,bai'hu'die
白花菜,bai'hua'cai
白萝卜,bai'luo'bo
白皮松,bai'pi'song
白千层,bai'qian'ceng
白杨树,bai'yang'shu
白玉兰,bai'yu'lan
半夏,ban'xia
蚌花,bang'hua
北京丁香,bei'jing'ding'xiang
扁桃果,bian'tao'guo
变叶木,bian'ye'mu
菠菜,bo'cai
驳骨丹,bo'gu'dan
菠萝,bo'luo
菠萝蜜,bo'luo'mi
彩叶草,cai'ye'cao
草莓,cao'mei
长春花,chang'chun'hua
朝鲜结缕草,chao'xian'jie'lv'cao
橙子,cheng'zi
翅英决明,chi'ying'jue'ming
重阳木,chong'yang'mu
臭椿,chou'chun
臭牡丹,chou'mu'dan
串钱柳,chuan'qian'liu
垂柳,chui'liu
垂叶榕,chui'ye'rong
春羽,chun'yu
刺海棠,ci'hai'tang
刺桐,ci'tong
葱兰,cong'lan
大白菜,da'bai'cai
大红花,da'hong'hua
大花第伦桃,da'hua'di'lun'tao
大花老鸦嘴,da'hua'lao'ya'zui
大树菠萝,da'shu'bo'luo
大丝葵,da'si'kui
大蒜,da'suan
大王椰子,da'wang'ye'zi
大叶黄杨,da'ye'huang'yang
大叶青铁,da'ye'qing'tie
大叶榕,da'ye'rong
大叶仙茅,da'ye'xian'mao
大叶相思,da'ye'xiang'si
大叶油草,da'ye'you'cao
大叶紫薇,da'ye'zi'wei
大叶棕竹,da'ye'zong'zhu
大芋头,da'yu'tou
单干鱼尾葵,dan'gan'yu'wei'kui
丹桂,dan'gui
吊灯花,diao'deng'hua
吊爪木,diao'zhao'mu
冻子椰子,dong'zi'ye'zi
董棕,dong'zong
豆瓣菜,dou'ban'cai
短穗鱼尾葵,duan'sui'yu'wei'kui
多裂麻疯树,duo'lie'ma'feng'shu
峨嵋蔷薇,e'mei'qiang'wei
二色补血草,er'se'bu'xue'cao
法国枇杷,fa'guo'pi'pa
翻白叶,fan'bai'ye
番瓜,fan'gua
番红花,fan'hong'hua
蕃茄,fan'qie
番茄,fan'qie
番石榴,fan'shi'liu
粉单竹,fen'dan'zhu
粉叶金花,fen'ye'jin'hua
凤凰木,feng'huang'mu
凤铃木,feng'ling'mu
蜂腰榕,feng'yao'rong
佛肚竹,fo'du'zhu
福建茶,fu'jian'cha
福木,fu'mu
复羽叶栾树,fu'yu'ye'luan'shu
甘草,gan'cao
干梅子,gan'mei'zi
甘肃山楂,gan'su'shan'zha
甘遂,gan'sui
高山积雪,gao'shan'ji'xue
高山榕,gao'shan'rong
宫粉紫荆,gong'fen'zi'jing
狗牙花,gou'ya'hua
广金钱草,guang'jin'qian'cao
龟背竹,gui'bei'zhu
国庆花,guo'qing'hua
国王椰子,guo'wang'ye'zi
哈密瓜,ha'mi'gua
海南菜豆,hai'nan'cai'dou
海南红豆,hai'nan'hong'dou
海南蒌,hai'nan'lou
海南洒金,hai'nan'sa'jin
海南椰子,hai'nan'ye'zi
海芋,hai'yu
荷花玉兰,he'hua'yu'lan
褐色土豆,he'se'tu'dou
黑骨大红花,hei'gu'da'hong'hua
红背桂花,hong'bei'gui'hua
红刺露蔸,hong'ci'lu'dou
红凤仙花,hong'feng'xian'hua
红果仔,hong'guo'zai
红花继木,hong'hua'ji'mu
红花紫荆,hong'hua'zi'jing
红椒,hong'jiao
红千层,hong'qian'ceng
红雀珊瑚,hong'que'shan'hu
红绒球,hong'rong'qiu
红桑,hong'sang
红苕,hong'shao
红石榴,hong'shi'liu
红薯,hong'shu
红铁,hong'tie
红苋草,hong'xian'cao
红杏,hong'xing
红芽大戟,hong'ya'da'ji
红紫苏,hong'zi'su
蝴蝶果,hu'die'guo
胡椒,hu'jiao
胡萝卜,hu'luo'bo
胡桃,hu'tao
狐尾椰子,hu'wei'ye'zi
花叶假连翘,hua'ye'jia'lian'qiao
花叶良姜,hua'ye'liang'jiang
花叶女贞,hua'ye'nv'zhen
花叶荨麻,hua'ye'qian'ma
花叶榕,hua'ye'rong
