白冷,bai'leng
白岩,bai'yan
蝙蝠洞,bian'fu'dong
草湖村,cao'hu'cun
草南,cao'nan
草田,cao'tian
车笼埔,che'long'pu
大安,da'an
大肚,da'du
大湖,da'hu
大甲镇,da'jia'zhen
大里,da'li
大南,da'nan
达盘,da'pan
德基,de'ji
顶安,ding'an
东坑村,dong'keng'cun
东势镇,dong'shi'zhen
东兴,dong'xing
东阳里,dong'yang'li
峰谷,feng'gu
枫树脚,feng'shu'jiao
福兴村,fu'xing'cun
高美,gao'mei
谷关,gu'guan
关东里,guan'dong'li
光复新村,guang'fu'xin'cun
后里,hou'li
华山,hua'shan
环山,huan'shan
基隆山,ji'long'shan
甲南,jia'nan
佳阳,jia'yang
旧庄,jiu'zhuang
口庄,kou'zhuang
里冷,li'leng
临江里,lin'jiang'li
林子口,lin'zi'kou
六股,liu'gu
龙东村,long'dong'cun
龙津村,long'jin'cun
罗厝,luo'cuo
南埔,nan'pu
南势村,nan'shi'cun
内埔,nei'pu
内新,nei'xin
牛埔,niu'pu
农林山,nong'lin'shan
平等村,ping'deng'cun
坪林,ping'lin
七分,qi'fen
七星山,qi'xing'shan
清泉里,qing'quan'li
清水镇,qing'shui'zhen
日南,ri'nan
沙鹿镇,sha'lu'zhen
山脚村,shan'jiao'cun
上城,shang'cheng
社口,she'kou
神冈,shen'gang
神州村,shen'zhou'cun
胜光,sheng'guang
石城,shi'cheng
石冈,shi'gang
石角,shi'jiao
双崎,shuang'qi
水井子,shui'jing'zi
松柏村,song'bai'cun
松茂,song'mao
泰安,tai'an
台中县,tai'zhong'xian
潭子,tan'zi
田心子,tian'xin'zi
头家村,tou'jia'cun
土牛村,tu'niu'cun
外埔,wai'bu
万丰村,wan'feng'cun
王公潭,wang'gong'tan
雾峰,wu'feng
乌甘,wu'gan
五里牌,wu'li'pai
梧栖镇,wu'qi'zhen
乌石坑,wu'shi'keng
溪南村,xi'nan'cun
溪南桥,xi'nan'qiao
西势,xi'shi
溪尾村,xi'wei'cun
新厝,xin'cuo
新六村,xin'liu'cun
新山,xin'shan
新社,xin'she
新盛里,xin'sheng'li
新四村,xin'si'cun
新田村,xin'tian'cun
新庄,xin'zhuang
新庄村,xin'zhuang'cun
月眉,yue'mei
赵厝,zhao'cuo
中科,zhong'ke
中坑村,zhong'keng'cun
中庄,zhong'zhuang
竹子坑,zhu'zi'keng
