八仙斗花龙,ba'xian'dou'hua'long
百鸟衣,bai'niao'yi
白氏郎,bai'shi'lang
伏羲氏,fu'xi'shi
伏羲兄妹,fu'xi'xiong'mei
观音送画,guan'yin'song'hua
后羿与嫦娥,hou'yi'yu'chang'e
黄鹤搂的传说,huang'he'lou'de'chuan'shuo
金江圣母三姊妹,jin'jiang'sheng'mu'san'zi'mei
精卫填海,jing'wei'tian'hai
菊花仙子,ju'hua'xian'zi
孔雀公主与傣族王子,kong'que'gong'zhu'yu'dai'zu'wang'zi
夸父追日,kua'fu'zhui'ri
鲤鱼跳龙门,li'yu'tiao'long'men
龙公主戏神珠,long'gong'zhu'xi'shen'zhu
女娲补天,nv'wa'bu'tian
女娲造人,nv'wa'zao'ren
盘古开天辟地,pan'gu'kai'tian'pi'di
三戏海龙王,san'xi'hai'long'wang
神农尝百草,shen'nong'chang'bai'cao
桃花女龙,tao'hua'nv'long
天鹅仙子与蛤蟆神,tian'e'xian'zi'yu'ha'ma'shen
田螺姑娘,tian'luo'gu'niang
吴刚伐桂,wu'gang'fa'gui
吴孟举遇仙,wu'meng'ju'yu'xian
西王母和她的蟠桃仙子,xi'wang'mu'he'ta'de'pan'tao'xian'zi
有巢氏,you'chao'shi
织女牛郎鹊桥相会,zhi'nv'niu'lang'que'qiao'xiang'hui
智斩独角龙,zhi'zhan'du'jiao'long
钻木取火,zuan'mu'qu'huo
