暗元辰,an'yuan'chen
暗族,an'zu
八崩离合世界,ba'beng'li'he'shi'jie
八代少司蛮,ba'dai'shao'si'man
百草火,bai'cao'huo
白帝,bai'di
白骨如山,bai'gu'ru'shan
白骨炎,bai'gu'yan
白鹭,bai'lu
白木,bai'mu
白素,bai'su
半祖血,ban'zu'xue
北斗仙皇,bei'dou'xian'huang
北极炎,bei'ji'yan
北天,bei'tian
北小蛮,bei'xiao'man
本命,ben'ming
本源桥,ben'yuan'qiao
崩天,beng'tian
冰灵,bing'ling
不败经,bu'bai'jing
不死血脉,bu'si'xue'mai
补天心,bu'tian'xin
不周雷皇,bu'zhou'lei'huang
苍兰冰,cang'lan'bing
藏仙塔,cang'xian'ta
茶花女,cha'hua'nv
长情泪,chang'qing'lei
尘界,chen'jie
冲和大帝,chong'he'da'di
虫皇,chong'huang
崇明凤帝,chong'ming'feng'di
抽魂,chou'hun
初期,chu'qi
道剑,dao'jian
道经,dao'jing
第二步,di'er'bu
第二门,di'er'men
地煌火,di'huang'huo
地脉妖火,di'mai'yao'huo
帝冥雪,di'ming'xue
第三步,di'san'bu
第四步,di'si'bu
帝王,di'wang
地仙界,di'xian'jie
第一门,di'yi'men
鼎炉,ding'lu
定天之术,ding'tian'zhi'shu
东极风,dong'ji'feng
东溟虚天,dong'ming'xu'tian
东妖祖,dong'yao'zu
渡真,du'zhen
二崩苍天黑日,er'beng'cang'tian'hei'ri
樊莫空,fan'mo'kong
凡虚宝,fan'xu'bao
返祖九境,fan'zu'jiu'jing
焚苍扇,fen'cang'shan
焚翅,fen'chi
焚灵火,fen'ling'huo
焚仙谷,fen'xian'gu
凤凰涅槃,feng'huang'nie'pan
封仙碑,feng'xian'bei
风信女,feng'xin'nv
风雪烟,feng'xue'yan
风雪言,feng'xue'yan
风烟一指,feng'yan'yi'zhi
腐毒火,fu'du'huo
扶离三大镇族神通,fu'li'san'da'zhen'zu'shen'tong
扶离吞影,fu'li'tun'ying
扶离祖血,fu'li'zu'xue
共死之术,gong'si'zhi'shu
古帝分神,gu'di'fen'shen
骨符境,gu'fu'jing
古魔,gu'mo
古魔渊,gu'mo'yuan
顾十娘,gu'shi'niang
蛊术,gu'shu
古天庭,gu'tian'ting
古妖,gu'yao
骨狱息,gu'yu'xi
归墟指,gui'xu'zhi
鬼玄,gui'xuan
国灭神盾,guo'mie'shen'dun
韩元极,han'yuan'ji
河车九转炼丹术,he'che'jiu'zhuan'lian'dan'shu
黑魔诀,hei'mo'jue
黑魔派,hei'mo'pai
黑魔炎,hei'mo'yan
黑魔宗,hei'mo'zong
黑星之术,hei'xing'zhi'shu
黑曜经,hei'yao'jing
轰神之术,hong'shen'zhi'shu
红夜叉,hong'ye'cha
红衣,hong'yi
后天十二涅,hou'tian'shi'er'nie
呼风,hu'feng
