艾莉亚,ai'li'ya
巴吉尔,ba'ji'er
白兰,bai'lan
贝尔菲戈尔,bei'er'fei'ge'er
碧洋琪,bi'yang'qi
彩虹之子,cai'hong'zhi'zi
城岛犬,cheng'dao'quan
雏菊,chu'ju
迪诺,di'nuo
电光的丫,dian'guang'de'ya
风太,feng'tai
弗兰,fu'lan
哥拉莫斯卡,ge'la'mo'si'ka
黑川花,hei'chuan'hua
黑耀中学,hei'yao'zhong'xue
桔梗,jie'geng
可乐尼洛,ke'le'ni'luo
库洛姆髑髅,ku'luo'mu'du'lou
拉尔米尔奇,la'er'mi'er'qi
蓝波,lan'bo
兰恰,lan'qia
狼毒,lang'du
里包恩,li'bao'en
列恩,lie'en
列维尔坦,lie'wei'er'tan
铃兰,ling'lan
六道骸,liu'dao'hai
露切,lu'qie
路斯利亚,lu'si'li'ya
玛蒙,ma'meng
密鲁菲奥雷家族,mi'lu'fei'ao'lei'jia'zu
彭格列暗杀部队巴利安,peng'ge'lie'an'sha'bu'dui'ba'li'an
强尼二,qiang'ni'er
入江正一,ru'jiang'zheng'yi
三浦春,san'pu'chun
山本武,shan'ben'wu
柿本千种,shi'ben'qian'zhong
史卡鲁,shi'ka'lu
石榴,shi'liu
斯贝尔比斯夸罗,si'bei'er'bi'si'kua'luo
斯帕纳,si'pa'na
威尔帝,wei'er'di
夏马尔,xia'ma'er
一平,yi'ping
幽灵,you'ling
尤尼,you'ni
狱寺隼人,yu'si'sun'ren
云雀恭弥,yun'que'gong'mi
沢田纲吉,ze'tian'gang'ji
沢田家光,ze'tian'jia'guang
沢田奈奈,ze'tian'nai'nai
真六吊花,zhen'liu'diao'hua
