安蛔止痛调气活血,an'hui'zhi'tong'tiao'qi'huo'xue
安神,an'shen
安神解郁,an'shen'jie'yu
安神平肝活血敛疮,an'shen'ping'gan'huo'xue'lian'chuang
安神益智祛痰解郁交通心肾,an'shen'yi'zhi'qu'tan'jie'yu'jiao'tong'xin'shen
安神止咳,an'shen'zhi'ke
安神止血降血压,an'shen'zhi'xue'jiang'xue'ya
被风湿消痈肿,bei'feng'shi'xiao'yong'zhong
避秽驱虫,bi'hui'qu'chong
避孕抗疟,bi'yun'kang'nue
补肺健脾养阴生津,bu'fei'jian'pi'yang'yin'sheng'jin
补气益肾,bu'qi'yi'shen
补气益血止血利尿,bu'qi'yi'xue'zhi'xue'li'niao
补气壮阳养心止血,bu'qi'zhuang'yang'yang'xin'zhi'xue
补肾固精,bu'shen'gu'jing
补肾固精止咳平喘,bu'shen'gu'jing'zhi'ke'ping'chuan
补肾活血,bu'shen'huo'xue
补肾健脾,bu'shen'jian'pi
补肾明目调经,bu'shen'ming'mu'tiao'jing
补肾润肺,bu'shen'run'fei
补肾涩精,bu'shen'se'jing
补肾填精活血续伤,bu'shen'tian'jing'huo'xue'xu'shang
补肾填精益肾缩溺,bu'shen'tian'jing'yi'shen'suo'ni
补肾养心,bu'shen'yang'xin
补肾养心安神调经活血明目,bu'shen'yang'xin'an'shen'tiao'jing'huo'xue'ming'mu
补肾养血止血安胎,bu'shen'yang'xue'zhi'xue'an'tai
补肾阳壮筋骨祛风湿,bu'shen'yang'zhuang'jin'gu'qu'feng'shi
补肾益精,bu'shen'yi'jing
补肾止呕,bu'shen'zhi'ou
补肾止泻止血,bu'shen'zhi'xie'zhi'xue
辟秽行气止痛,pi'hui'xing'qi'zhi'tong
