苞片,bao'pian
孢子体,bao'zi'ti
表皮组织,biao'pi'zu'zhi
不定根,bu'ding'gen
侧芽,ce'ya
长角果,chang'jiao'guo
雌蕊,ci'rui
簇叶,cu'ye
顶芽,ding'ya
豆荚,dou'jia
萼片,e'pian
二叉脉,er'cha'mai
副芽,fu'ya
复叶,fu'ye
根尖,gen'jian
根茎,gen'jing
根毛,gen'mao
根毛部,gen'mao'bu
根系,gen'xi
冠毛,guan'mao
果皮,guo'pi
果心,guo'xin
核果,he'guo
花瓣,hua'ban
花萼,hua'e
花粉,hua'fen
花粉管,hua'fen'guan
花盖,hua'gai
花梗,hua'geng
花冠,hua'guan
花管,hua'guan
花片,hua'pian
花丝,hua'si
花序,hua'xu
花芽,hua'ya
花药,hua'yao
花柱,hua'zhu
混合芽,hun'he'ya
寄生根,ji'sheng'gen
荚果,jia'guo
坚果,jian'guo
箭头形,jian'tou'xing
浆果,jiang'guo
节间部,jie'jian'bu
茎节,jing'jie
锯齿状,ju'chi'zhuang
聚合果,ju'he'guo
聚伞花序,ju'san'hua'xu
块根,kuai'gen
梨果,li'guo
裂果,lie'guo
卵圆形,luan'yuan'xing
胚根,pei'gen
胚茎,pei'jing
胚乳,pei'ru
胚胎,pei'tai
胚芽,pei'ya
胚珠,pei'zhu
披针形,pi'zhen'xing
平行脉,ping'xing'mai
气生根,qi'sheng'gen
全缘,quan'yuan
肉穗花序,rou'sui'hua'xu
肉质生根,rou'zhi'sheng'gen
伞形花序,san'xing'hua'xu
肾脏形,shen'zang'xing
穗状花序,sui'zhuang'hua'xu
头状花序,tou'zhuang'hua'xu
退化根,tui'hua'gen
无柄叶,wu'bing'ye
无花果实,wu'hua'guo'shi
无限花序,wu'xian'hua'xu
纤毛叶绿,xian'mao'ye'lv
心形,xin'xing
雄蕊,xiong'rui
须根,xu'gen
叶柄,ye'bing
叶痕,ye'hen
叶尖,ye'jian
叶绿素,ye'lv'su
叶绿体,ye'lv'ti
叶脉,ye'mai
叶脉序,ye'mai'xu
叶片,ye'pian
叶鞘,ye'qiao
叶形,ye'xing
叶芽,ye'ya
叶腋,ye'ye
叶缘状,ye'yuan'zhuang
叶针,ye'zhen
叶轴,ye'zhou
叶状茎,ye'zhuang'jing
羽状脉,yu'zhuang'mai
羽状深裂叶,yu'zhuang'shen'lie'ye
圆形,yuan'xing
圆锥花序,yuan'zhui'hua'xu
掌状复叶,zhang'zhuang'fu'ye
掌状脉,zhang'zhuang'mai
针形,zhen'xing
直根,zhi'gen
中助脉,zhong'zhu'mai
种子,zhong'zi
柱头,zhu'tou
子房,zi'fang
子叶,zi'ye
总状花序,zong'zhuang'hua'xu
