阿伯大学,a'bo'da'xue
阿拉巴马大学,a'la'ba'ma'da'xue
阿莫斯特大学,a'mo'si'te'da'xue
阿莫斯特麻省大学,a'mo'si'te'ma'sheng'da'xue
阿莫斯特学院,a'mo'si'te'xue'yuan
爱荷华大学,ai'he'hua'da'xue
埃默里大学,ai'mo'li'da'xue
奥本大学,ao'ben'da'xue
奥伯林学院,ao'bo'lin'xue'yuan
巴德学院,ba'de'xue'yuan
巴克拉尔大学,ba'ke'la'er'da'xue
巴克纳尔学院,ba'ke'na'er'xue'yuan
巴克内尔大学,ba'ke'nei'er'da'xue
巴纳德学院,ba'na'de'xue'yuan
巴纳尔大学,ba'na'er'da'xue
鲍登学院,bao'deng'xue'yuan
贝茨学院,bei'ci'xue'yuan
北卡大学教堂山分校,bei'ka'da'xue'jiao'tang'shan'fen'xiao
北卡罗来纳大学,bei'ka'luo'lai'na'da'xue
宾汉姆顿分校,bin'han'mu'dun'fen'xiao
宾夕法尼亚大学,bin'xi'fa'ni'ya'da'xue
宾夕法尼亚州立大学,bin'xi'fa'ni'ya'zhou'li'da'xue
宾州州立大学,bin'zhou'zhou'li'da'xue
宾州州立大学帕克分校,bin'zhou'zhou'li'da'xue'pa'ke'fen'xiao
伯克利分校,bo'ke'li'fen'xiao
伯克利加州大学,bo'ke'li'jia'zhou'da'xue
波莫纳学院,bo'mo'na'xue'yuan
波士顿大学,bo'shi'dun'da'xue
波士顿学院,bo'shi'dun'xue'yuan
布尔茅尔学院,bu'er'mao'er'xue'yuan
布兰戴斯大学,bu'lan'dai'si'da'xue
布兰迪斯大学,bu'lan'di'si'da'xue
布朗大学,bu'lang'da'xue
布里莫尔学院,bu'li'mo'er'xue'yuan
布鲁明顿分校,bu'lu'ming'dun'fen'xiao
长滩分校,chang'tan'fen'xiao
达特茅斯学院,da'te'mao'si'xue'yuan
戴维森学院,dai'wei'sen'xue'yuan
戴维斯加州大学,dai'wei'si'jia'zhou'da'xue
戴维孙学院,dai'wei'sun'xue'yuan
戴维逊学院,dai'wei'xun'xue'yuan
丹佛大学,dan'fo'da'xue
德克萨斯奥斯丁大学,de'ke'sa'si'ao'si'ding'da'xue
德克萨斯大学,de'ke'sa'si'da'xue
德克萨斯基督大学,de'ke'sa'si'ji'du'da'xue
德克萨斯克里斯提大学,de'ke'sa'si'ke'li'si'ti'da'xue
德克萨斯农工大学,de'ke'sa'si'nong'gong'da'xue
德雷塞尔大学,de'lei'sai'er'da'xue
德州大学奥斯丁分校,de'zhou'da'xue'ao'si'ding'fen'xiao
德州农工大学,de'zhou'nong'gong'da'xue
东北大学,dong'bei'da'xue
杜克大学,du'ke'da'xue
杜兰大学,du'lan'da'xue
厄本那香槟大学,e'ben'na'xiang'bin'da'xue
厄本那香槟分校,e'ben'na'xiang'bin'fen'xiao
俄亥俄州立大学,e'hai'e'zhou'li'da'xue
尔湾加州大学,er'wan'jia'zhou'da'xue
范德堡大学,fan'de'bao'da'xue
范德比尔特大学,fan'de'bi'er'te'da'xue
佛罗里达大学,fo'luo'li'da'da'xue
弗吉尼亚大学,fu'ji'ni'ya'da'xue
弗吉尼亚科技大学,fu'ji'ni'ya'ke'ji'da'xue
弗吉尼亚理工大学,fu'ji'ni'ya'li'gong'da'xue
福特汉姆大学,fu'te'han'mu'da'xue
高露洁大学,gao'lu'jie'da'xue
格林内尔学院,ge'lin'nei'er'xue'yuan
哥伦比亚大学,ge'lun'bi'ya'da'xue
哥伦布俄亥俄州立大学,ge'lun'bu'e'hai'e'zhou'li'da'xue
哈佛大学,ha'fo'da'xue
哈佛福德学院,ha'fo'fu'de'xue'yuan
哈弗福德学院,ha'fu'fu'de'xue'yuan
哈维马地学院,ha'wei'ma'di'xue'yuan
哈伍福德学院,ha'wu'fu'de'xue'yuan
汉密尔顿学院,han'mi'er'dun'xue'yuan
河滨加州大学,he'bin'jia'zhou'da'xue
华盛顿大学,hua'sheng'dun'da'xue
华盛顿大学圣路易分校,hua'sheng'dun'da'xue'sheng'lu'yi'fen'xiao
华盛顿大学西雅图分校,hua'sheng'dun'da'xue'xi'ya'tu'fen'xiao
华盛顿李大学,hua'sheng'dun'li'da'xue
环境科学与林业学院,huan'jing'ke'xue'yu'lin'ye'xue'yuan
霍山学院,huo'shan'xue'yuan
加尔顿学院,jia'er'dun'xue'yuan
加利福尼亚大学,jia'li'fu'ni'ya'da'xue
加利福尼亚理工大学,jia'li'fu'ni'ya'li'gong'da'xue
加利福尼亚州立大学,jia'li'fu'ni'ya'zhou'li'da'xue
加州大学,jia'zhou'da'xue
加州大学伯克利分校,jia'zhou'da'xue'bo'ke'li'fen'xiao
加州大学戴维斯分校,jia'zhou'da'xue'dai'wei'si'fen'xiao
加州大学尔湾分校,jia'zhou'da'xue'er'wan'fen'xiao
加州大学河滨分校,jia'zhou'da'xue'he'bin'fen'xiao
加州大学洛杉矶分校,jia'zhou'da'xue'luo'shan'ji'fen'xiao
加州大学默塞德分校,jia'zhou'da'xue'mo'sai'de'fen'xiao
加州大学莫西德分校,jia'zhou'da'xue'mo'xi'de'fen'xiao
加州大学欧文分校,jia'zhou'da'xue'ou'wen'fen'xiao
加州大学圣巴巴拉分校,jia'zhou'da'xue'sheng'ba'ba'la'fen'xiao
加州大学圣地亚哥分校,jia'zhou'da'xue'sheng'di'ya'ge'fen'xiao
加州大学圣迭戈分校,jia'zhou'da'xue'sheng'die'ge'fen'xiao
加州大学圣克鲁兹分校,jia'zhou'da'xue'sheng'ke'lu'zi'fen'xiao
加州理工学院,jia'zhou'li'gong'xue'yuan
加州州里大学,jia'zhou'zhou'li'da'xue
教堂山分校,jiao'tang'shan'fen'xiao
旧金山分校,jiu'jin'shan'fen'xiao
爵硕大学,jue'shuo'da'xue
卡尔顿学院,ka'er'dun'xue'yuan
卡内基梅隆大学,ka'nei'ji'mei'long'da'xue
凯尼恩学院,kai'ni'en'xue'yuan
凯斯西保留地大学,kai'si'xi'bao'liu'di'da'xue
凯斯西储大学,kai'si'xi'chu'da'xue
康奈尔大学,kang'nai'er'da'xue
康涅狄格大学,kang'nie'di'ge'da'xue
科尔比学院,ke'er'bi'xue'yuan
科尔盖特大学,ke'er'gai'te'da'xue
克拉克大学,ke'la'ke'da'xue
克莱蒙特麦肯纳学院,ke'lai'meng'te'mai'ken'na'xue'yuan
克莱姆森大学,ke'lai'mu'sen'da'xue
科罗拉多大学,ke'luo'la'duo'da'xue
科罗拉多大学波德分校,ke'luo'la'duo'da'xue'bo'de'fen'xiao
科罗拉多大学博尔德分校,ke'luo'la'duo'da'xue'bo'er'de'fen'xiao
科罗拉多矿业大学,ke'luo'la'duo'kuang'ye'da'xue
科罗拉多学院,ke'luo'la'duo'xue'yuan
莱斯大学,lai'si'da'xue
赖斯大学,lai'si'da'xue
利哈伊大学,li'ha'yi'da'xue
李海大学,li'hai'da'xue
伦斯勒理工学院,lun'si'le'li'gong'xue'yuan
罗彻斯特大学,luo'che'si'te'da'xue
洛杉矶分校,luo'shan'ji'fen'xiao
洛杉矶加州大学,luo'shan'ji'jia'zhou'da'xue
马凯特大学,ma'kai'te'da'xue
马里兰大学,ma'li'lan'da'xue
马里兰大学大学城校区,ma'li'lan'da'xue'da'xue'cheng'xiao'qu
马里兰大学帕克分校,ma'li'lan'da'xue'pa'ke'fen'xiao
马萨诸塞州理工大学,ma'sa'zhu'sai'zhou'li'gong'da'xue
麻省理工学院,ma'sheng'li'gong'xue'yuan
迈阿密大学,mai'a'mi'da'xue
迈阿密大学牛津分校,mai'a'mi'da'xue'niu'jin'fen'xiao
麦迪逊分校,mai'di'xun'fen'xiao
麦卡利斯特学院,mai'ka'li'si'te'xue'yuan
美国大学,mei'guo'da'xue
美国海军学院,mei'guo'hai'jun'xue'yuan
美国军事学院,mei'guo'jun'shi'xue'yuan
蒙特霍约克学院,meng'te'huo'yue'ke'xue'yuan
密苏里大学,mi'su'li'da'xue
密西根大学,mi'xi'gen'da'xue
密西根大学安娜堡分校,mi'xi'gen'da'xue'an'na'bao'fen'xiao
密歇根大学,mi'xie'gen'da'xue
密歇根大学安阿伯分校,mi'xie'gen'da'xue'an'a'bo'fen'xiao
密歇根州立大学,mi'xie'gen'zhou'li'da'xue
明德学院,ming'de'xue'yuan
明尼苏达大学,ming'ni'su'da'da'xue
明尼苏达大学双城分校,ming'ni'su'da'da'xue'shuang'cheng'fen'xiao
莫塞得加州大学,mo'sai'de'jia'zhou'da'xue
南加州大学,nan'jia'zhou'da'xue
南卫理工大学,nan'wei'li'gong'da'xue
纽约大学,niu'yue'da'xue
纽约州立大学,niu'yue'zhou'li'da'xue
欧柏林学院,ou'bo'lin'xue'yuan
欧文加州大学,ou'wen'jia'zhou'da'xue
佩珀代因大学,pei'po'dai'yin'da'xue
匹兹堡大学,pi'zi'bao'da'xue
普渡大学,pu'du'da'xue
普渡大学西拉法叶分校,pu'du'da'xue'xi'la'fa'ye'fen'xiao
普林斯顿大学,pu'lin'si'dun'da'xue
乔治城大学,qiao'zhi'cheng'da'xue
