奥田爱美,ao'tian'ai'mei
白先生,bai'xian'sheng
不破优月,bu'po'you'yue
仓桥阳菜乃,cang'qiao'yang'cai'nai
潮田渚,chao'tian'zhu
赤羽业,chi'yu'ye
村松拓哉,cun'song'tuo'zai
冈岛大河,gang'dao'da'he
刚野日向,gang'ye'ri'xiang
矶贝悠马,ji'bei'you'ma
吉田大成,ji'tian'da'cheng
菅谷创介,jian'gu'chuang'jie
进藤一考,jin'teng'yi'kao
堀部营,ku'bu'ying
茅野枫,mao'ye'feng
椚丘中学,men'qiu'zhong'xue
木村正义,mu'cun'zheng'yi
片冈惠,pian'gang'hui
千叶龙之介,qian'ye'long'zhi'jie
浅野学峯,qian'ye'xue'feng
浅野学秀,qian'ye'xue'xiu
前原阳斗,qian'yuan'yang'dou
三村航辉,san'cun'hang'hui
杀老师,sha'lao'shi
杉野友人,shan'ye'you'ren
神崎有希子,shen'qi'you'xi'zi
矢田桃花,shi'tian'tao'hua
寺坂龙马,si'ban'long'ma
速水凛香,su'shui'lin'xiang
乌间惟臣,wu'jian'wei'chen
狭间绮罗罗,xia'jian'qi'luo'luo
伊莉娜耶拉比琪,yi'li'na'ye'la'bi'qi
原寿美玲,yuan'shou'mei'ling
章鱼老师,zhang'yu'lao'shi
中村莉樱,zhong'cun'li'ying
竹林孝太郎,zhu'lin'xiao'tai'lang
自律思考固定炮台,zi'lv'si'kao'gu'ding'pao'tai
