白石藏之介,bai'shi'cang'zhi'jie
伴田干也,ban'tian'gan'ye
比嘉中学,bi'jia'zhong'xue
冰帝学园,bing'di'xue'yuan
不动峰中学,bu'dong'feng'zhong'xue
不二裕太,bu'er'yu'tai
不二周助,bu'er'zhou'zhu
财前光,cai'qian'guang
赤泽吉朗,chi'ze'ji'lang
大石秀一郎,da'shi'xiu'yi'lang
东方雅美,dong'fang'ya'mei
渡边修,du'bian'xiu
凤长太郎,feng'chang'tai'lang
观月初,guan'yue'chu
海堂薰,hai'tang'xun
河村隆,he'cun'long
黑羽春风,hei'yu'chun'feng
胡狼桑原,hu'lang'sang'yuan
桦地崇弘,hua'di'chong'hong
迹部景吾,ji'bu'jing'wu
甲斐裕次郎,jia'fei'yu'ci'lang
芥川慈郎,jie'chuan'ci'lang
金色小春,jin'se'xiao'chun
金田一郎,jin'tian'yi'lang
橘桔平,ju'ju'ping
菊丸英二,ju'wan'ying'er
橘杏,ju'xing
葵剑太郎,kui'jian'tai'lang
立海大附中,li'hai'da'fu'zhong
六角中学,liu'jiao'zhong'xue
柳莲二,liu'lian'er
柳生比吕士,liu'sheng'bi'lv'shi
柳泽慎也,liu'ze'shen'ye
泷荻之介,long'di'zhi'jie
龙崎堇,long'qi'jin
龙崎樱乃,long'qi'ying'nai
木更津淳,mu'geng'jin'chun
木更津亮,mu'geng'jin'liang
木手永四郎,mu'shou'yong'si'lang
奈奈子,nai'nai'zi
南健太郎,nan'jian'tai'lang
内村京介,nei'cun'jing'jie
平古场凛,ping'gu'chang'lin
千石清纯,qian'shi'qing'chun
千岁千里,qian'sui'qian'li
乾贞治,qian'zhen'zhi
切原赤也,qie'yuan'chi'ye
仁王雅治,ren'wang'ya'zhi
忍足谦也,ren'zu'qian'ye
忍足侑士,ren'zu'you'shi
日吉若,ri'ji'ruo
宍户亮,rou'hu'liang
若人弘,ruo'ren'hong
森辰德,sen'chen'de
山吹中学,shan'chui'zhong'xue
神城玲治,shen'cheng'ling'zhi
榊太郎,shen'tai'lang
神尾明,shen'wei'ming
圣鲁道夫,sheng'lu'dao'fu
室町十次,shi'ding'shi'ci
石田铁,shi'tian'tie
石田银,shi'tian'yin
手冢国光,shou'zhong'guo'guang
树希彦,shu'xi'yan
四天宝寺,si'tian'bao'si
太田翔,tai'tian'xiang
坛太一,tan'tai'yi
桃城武,tao'cheng'wu
天根光,tian'gen'guang
田仁志慧,tian'ren'zhi'hui
田中浩平,tian'zhong'hao'ping
田中洋平,tian'zhong'yang'ping
桐山大地,tong'shan'da'di
丸井文太,wan'jing'wen'tai
梶本贵久,wei'ben'gui'jiu
向日岳人,xiang'ri'yue'ren
小石川健二郎,xiao'shi'chuan'jian'er'lang
幸村精市,xing'cun'jing'shi
亚久津仁,ya'jiu'jin'ren
一氏裕次,yi'shi'yu'ci
伊武深司,yi'wu'shen'si
樱井雅也,ying'jing'ya'ye
远山金太郎,yuan'shan'jin'tai'lang
越前龙马,yue'qian'long'ma
越前龙雅,yue'qian'long'ya
越前伦子,yue'qian'lun'zi
越前南次郎,yue'qian'nan'ci'lang
真田弦一郎,zhen'tian'xian'yi'lang
正选队员,zheng'xuan'dui'yuan
知念宽,zhi'nian'kuan
佐伯虎次郎,zuo'bo'hu'ci'lang
