熬菜,ao'cai
不肉,bu'rou
不揉,bu'rou
不揉你,bu'rou'ni
补土杠烟,bu'tu'gang'yan
不吱拉生,bu'zhi'la'sheng
车骨碌,che'gu'lu
刺毛,ci'mao
次木虎,ci'mu'hu
当央,dang'yang
刀菜,dao'cai
叨菜,dao'cai
胳了拜子,ge'le'bai'zi
格紫,ge'zi
管乎,guan'hu
光腚,guang'ding
光光蜓,guang'guang'ting
喊丫块,han'ya'kuai
黑不楞通,hei'bu'leng'tong
黑雀子,hei'qiao'zi
胡吊扯,hu'diao'che
黄子,huang'zi
将就将就,jiang'jiu'jiang'jiu
筋骨,jin'gu
觉丫把子,jue'ya'ba'zi
侉子,kua'zi
拉呱,la'gua
老灭,lao'mie
老油子,lao'you'zi
列列,lie'lie
马展,ma'zhan
毛格,mao'ge
弄啥,nong'sha
气椰子,qi'ye'zi
雀子,qiao'zi
热古毒的,re'gu'du'de
洒白,sa'bai
撒么撒么,sa'me'sa'me
腮帮子,sai'bang'zi
啥黄子,sha'huang'zi
舍种,she'zhong
什么黄子,shen'me'huang'zi
圣人蛋,sheng'ren'dan
艘比扣子,sou'bi'kou'zi
剔溜圆,ti'liu'yuan
土录地,tu'lu'di
我不揉你,wo'bu'rou'ni
屋当门,wu'dang'men
西里斜歪,xi'li'xie'wai
稀里斜歪,xi'li'xie'wai
下才烂,xia'cai'lan
瞎迷娄,xia'mi'lou
鞋踏子,xie'ta'zi
许清,xu'qing
妖业蛋,yao'ye'dan
夜摸黑,ye'mo'hei
也嚷,ye'rang
一呼噜群,yi'hu'lu'qun
咂唬,za'hu
脏温,zang'wen
