矮扁莎,ai'bian'sha
矮慈菇,ai'ci'gu
爱地草,ai'di'cao
矮二尾兰,ai'er'wei'lan
矮胡麻草,ai'hu'ma'cao
艾胶算盘子,ai'jiao'suan'pan'zi
艾堇,ai'jin
矮金茅,ai'jin'mao
矮爵床,ai'jue'chuang
艾纳香,ai'na'xiang
矮琼棕,ai'qiong'zong
矮水竹草,ai'shui'zhu'cao
矮莎草,ai'suo'cao
矮柱兰,ai'zhu'lan
矮紫金牛,ai'zi'jin'niu
暗罗,an'luo
暗色菝葜,an'se'ba'qia
安石榴,an'shi'liu
昂天莲,ang'tian'lian
凹脉丁公藤,ao'mai'ding'gong'teng
凹叶瓜腹木,ao'ye'gua'fu'mu
凹叶女贞,ao'ye'nv'zhen
凹叶野百合,ao'ye'ye'bai'he
扒地蜈蚣,ba'di'wu'gong
巴豆,ba'dou
巴戟天,ba'ji'tian
八角枫,ba'jiao'feng
八角樟,ba'jiao'zhang
八脉臭黄荆,ba'mai'chou'huang'jing
菝葜,ba'qia
菝葜叶铁线莲,ba'qia'ye'tie'xian'lian
坝王金柑,ba'wang'jin'gan
坝王栎,ba'wang'li
坝王远志,ba'wang'yuan'zhi
巴西含羞草,ba'xi'han'xiu'cao
白背枫,bai'bei'feng
白背厚壳桂,bai'bei'hou'ke'gui
白背黄花稔,bai'bei'huang'hua'ren
白背黄肉楠,bai'bei'huang'rou'nan
白背盐肤木,bai'bei'yan'fu'mu
白背叶,bai'bei'ye
白背野扁豆,bai'bei'ye'bian'dou
白避霜花,bai'bi'shuang'hua
白茶树,bai'cha'shu
白点兰,bai'dian'lan
白饭树,bai'fan'shu
白粉藤,bai'fen'teng
白鼓丁,bai'gu'ding
白瓜,bai'gua
白桂木,bai'gui'mu
白鹤藤,bai'he'teng
白花菜,bai'hua'cai
白花穿心莲,bai'hua'chuan'xin'lian
白花丹,bai'hua'dan
白花灯笼,bai'hua'deng'long
白花地胆草,bai'hua'di'dan'cao
白花含笑,bai'hua'han'xiao
白花蒿,bai'hua'hao
白花龙船花,bai'hua'long'chuan'hua
白花曼陀罗,bai'hua'man'tuo'luo
白花蛇舌草,bai'hua'she'she'cao
白花酸藤子,bai'hua'suan'teng'zi
白花莎草,bai'hua'suo'cao
白花苋,bai'hua'xian
白花益母草,bai'hua'yi'mu'cao
白花鱼藤,bai'hua'yu'teng
白浆果苋,bai'jiang'guo'xian
