驳帽,bo'mao
侧骨,ce'gu
插袋,cha'dai
车脚叉,che'jiao'cha
打枣,da'zao
袋布,dai'bu
袋唇,dai'chun
袋鼠袋,dai'shu'dai
袋贴,dai'tie
单针,dan'zhen
底浪,di'lang
定耳仔,ding'er'zai
定位,ding'wei
封脚口,feng'jiao'kou
封苏,feng'su
封袖口,feng'xiu'kou
哈苏,ha'su
合订,he'ding
后袋,hou'dai
后幅,hou'fu
后浪,hou'lang
后领,hou'ling
机头,ji'tou
甲位,jia'wei
假线,jia'xian
肩筒,jian'tong
间线,jian'xian
脚口,jiao'kou
开肩筒,kai'jian'tong
开筒,kai'tong
冚脚口,kan'jiao'kou
冚领,kan'ling
冚帽边,kan'mao'bian
冚袖口,kan'xiu'kou
款号,kuan'hao
拉膊,la'bo
拉捆条,la'kun'tiao
落袋布,luo'dai'bu
落袋盖,luo'dai'gai
落内朴,luo'nei'pu
罗纹,luo'wen
落洗水唛,luo'xi'shui'mai
落织带,luo'zhi'dai
埋甲,mai'jia
门襟,men'jin
内贴,nei'tie
牛角袖,niu'jiao'xiu
前袋,qian'dai
前幅,qian'fu
前后幅,qian'hou'fu
前后浪,qian'hou'lang
前后领,qian'hou'ling
前浪,qian'lang
前领,qian'ling
裙脚,qun'jiao
裙腰,qun'yao
散口,san'kou
上领,shang'ling
上帽,shang'mao
上袖,shang'xiu
双针,shuang'zhen
贴袋,tie'dai
袖口,xiu'kou
修子口,xiu'zi'kou
右边膊,you'bian'bo
运耳仔,yun'er'zai
丈根,zhang'gen
丈筋,zhang'jin
章仔,zhang'zai
主唛烟治,zhu'mai'yan'zhi
撞色,zhuang'se
左边膊,zuo'bian'bo
