半金属,ban'jin'shu
半金属矿产,ban'jin'shu'kuang'chan
板卷材,ban'juan'cai
板坯,ban'pi
爆破设备,bao'po'she'bei
扁钢,bian'gang
冰洲石,bing'zhou'shi
不锈钢板卷,bu'xiu'gang'ban'juan
不锈钢棒材,bu'xiu'gang'bang'cai
不锈钢材,bu'xiu'gang'cai
不锈钢管,bu'xiu'gang'guan
不锈钢坯,bu'xiu'gang'pi
不锈钢线材不锈钢圆钢,bu'xiu'gang'xian'cai'bu'xiu'gang'yuan'gang
彩涂板卷,cai'tu'ban'juan
槽钢,cao'gang
长石,chang'shi
齿轮钢,chi'lun'gang
磁性材料,ci'xing'cai'liao
磁选设备,ci'xuan'she'bei
带钢,dai'gang
碲锭,di'ding
低合金管,di'he'jin'guan
地矿勘测设备,di'kuang'kan'ce'she'bei
低中压锅炉管,di'zhong'ya'guo'lu'guan
电气石,dian'qi'shi
镀铬板卷,du'ge'ban'juan
镀铝锌,du'lv'xin
镀锡板卷马口铁,du'xi'ban'juan'ma'kou'tie
镀锌板卷,du'xin'ban'juan
镀锌管,du'xin'guan
二手矿业设备,er'shou'kuang'ye'she'bei
二手冶炼设备,er'shou'ye'lian'she'bei
方钢,fang'gang
防火材料,fang'huo'cai'liao
方解石,fang'jie'shi
方矩管,fang'ju'guan
方坯,fang'pi
废钢,fei'gang
废金属,fei'jin'shu
非金属粉末,fei'jin'shu'fen'mo
非金属矿产,fei'jin'shu'kuang'chan
非金属矿物制品,fei'jin'shu'kuang'wu'zhi'pin
废铝,fei'lv
废镁,fei'mei
废镍,fei'nie
沸石,fei'shi
废铁,fei'tie
废铜,fei'tong
废锡,fei'xi
废锌,fei'xin
分级设备,fen'ji'she'bei
粉末冶金,fen'mo'ye'jin
浮选设备,fu'xuan'she'bei
钢材,gang'cai
钢轨,gang'gui
钢坯,gang'pi
钢丝网,gang'si'wang
高岭土,gao'ling'tu
高压锅炉管,gao'ya'guo'lu'guan
高压合金管,gao'ya'he'jin'guan
铬矿,ge'kuang
工具钢,gong'ju'gang
工业炉,gong'ye'lu
工字钢,gong'zi'gang
钴及钴锭,gu'ji'gu'ding
管材,guan'cai
管坯,guan'pi
硅钢片,gui'gang'pian
硅灰石,gui'hui'shi
贵金属,gui'jin'shu
贵金属合金,gui'jin'shu'he'jin
贵金属矿产,gui'jin'shu'kuang'chan
硅藻土,gui'zao'tu
锅炉板,guo'lu'ban
焊管,han'guan
合结钢,he'jie'gang
合金板,he'jin'ban
合金粉末,he'jin'fen'mo
合金钢,he'jin'gang
合金钢管,he'jin'gang'guan
黑色金属矿产,hei'se'jin'shu'kuang'chan
红柱石,hong'zhu'shi
滑轮,hua'lun
滑石,hua'shi
花纹板卷,hua'wen'ban'juan
建筑钢材,jian'zhu'gang'cai
角钢,jiao'gang
焦化设备,jiao'hua'she'bei
结构钢管,jie'gou'gang'guan
金属板网,jin'shu'ban'wang
金属材料代理,jin'shu'cai'liao'dai'li
金属成型设备,jin'shu'cheng'xing'she'bei
金属粉末,jin'shu'fen'mo
金属硅,jin'shu'gui
金属丝,jin'shu'si
金属丝绳,jin'shu'si'sheng
金属网,jin'shu'wang
井盖,jing'gai
库存及废料,ku'cun'ji'fei'liao
库存金属材料,ku'cun'jin'shu'cai'liao
矿山施工设备,kuang'shan'shi'gong'she'bei
矿物代理,kuang'wu'dai'li
矿业,kuang'ye
矿业测量仪器,kuang'ye'ce'liang'yi'qi
矿业输送设备,kuang'ye'shu'song'she'bei
矿业物探仪器,kuang'ye'wu'tan'yi'qi
矿业项目合作,kuang'ye'xiang'mu'he'zuo
矿业装卸设备,kuang'ye'zhuang'xie'she'bei
矿用提升设备,kuang'yong'ti'sheng'she'bei
蓝晶石,lan'jing'shi
冷拔钢,leng'ba'gang
冷墩钢,leng'dun'gang
冷拉钢,leng'la'gang
冷弯型钢,leng'wan'xing'gang
冷轧板卷,leng'zha'ban'juan
锂辉石,li'hui'shi
炼钢设备,lian'gang'she'bei
炼铁设备,lian'tie'she'bei
硫矿,liu'kuang
流体管,liu'ti'guan
炉料,lu'liao
螺纹钢,luo'wen'gang
螺旋管,luo'xuan'guan
铝合金,lv'he'jin
铝及铝锭,lv'ji'lv'ding
铝丝网,lv'si'wang
麦饭石,mai'fan'shi
镁合金,mei'he'jin
镁及镁锭,mei'ji'mei'ding
锰矿,meng'kuang
磨料,mo'liao
模具钢,mu'ju'gang
耐腐蚀钢,nai'fu'shi'gang
耐侯钢,nai'hou'gang
耐火,nai'huo
耐热钢,nai're'gang
镍合金,nie'he'jin
镍及镍锭,nie'ji'nie'ding
膨润土,peng'run'tu
破碎设备,po'sui'she'bei
普通圆钢,pu'tong'yuan'gang
普中板,pu'zhong'ban
其他半金属,qi'ta'ban'jin'shu
其他板卷材,qi'ta'ban'juan'cai
其他不锈钢材,qi'ta'bu'xiu'gang'cai
其他磁性材料,qi'ta'ci'xing'cai'liao
其他地矿勘测设备,qi'ta'di'kuang'kan'ce'she'bei
其他废金属,qi'ta'fei'jin'shu
其他非金属矿产,qi'ta'fei'jin'shu'kuang'chan
其他非金属矿物制品,qi'ta'fei'jin'shu'kuang'wu'zhi'pin
其他粉末冶金,qi'ta'fen'mo'ye'jin
其他钢坯,qi'ta'gang'pi
其他管材,qi'ta'guan'cai
其他黑色金属矿产,qi'ta'hei'se'jin'shu'kuang'chan
其他建筑钢材,qi'ta'jian'zhu'gang'cai
其他金属丝,qi'ta'jin'shu'si
其他金属网,qi'ta'jin'shu'wang
其他矿山施工设备,qi'ta'kuang'shan'shi'gong'she'bei
其他炉料,qi'ta'lu'liao
其他轻有色金属,qi'ta'qing'you'se'jin'shu
其他涂镀产品,qi'ta'tu'du'chan'pin
其他型材,qi'ta'xing'cai
其他选矿设备,qi'ta'xuan'kuang'she'bei
其他冶炼设备,qi'ta'ye'lian'she'bei
其他有色金属合金,qi'ta'you'se'jin'shu'he'jin
其他有色金属加工材,qi'ta'you'se'jin'shu'jia'gong'cai
其他有色金属矿产,qi'ta'you'se'jin'shu'kuang'chan
其他优特钢,qi'ta'you'te'gang
其他重有色金属,qi'ta'zhong'you'se'jin'shu
其他铸造及热处理设备,qi'ta'zhu'zao'ji're'chu'li'she'bei
铅及铅锭,qian'ji'qian'ding
切断设备,qie'duan'she'bei
轻有色金属,qing'you'se'jin'shu
轻有色金属矿产,qing'you'se'jin'shu'kuang'chan
燃气管道,ran'qi'guan'dao
燃烧器,ran'shao'qi
热轧板卷,re'ya'ban'juan
容器板,rong'qi'ban
软磁材料,ruan'ci'cai'liao
筛分设备,shai'fen'she'bei
生铁,sheng'tie
石膏矿,shi'gao'kuang
石灰石,shi'hui'shi
石棉,shi'mian
石墨,shi'mo
石墨及碳素产品,shi'mo'ji'tan'su'chan'pin
石英,shi'ying
输送管道,shu'song'guan'dao
水力选矿设备,shui'li'xuan'kuang'she'bei
水镁石,shui'mei'shi
酸洗板卷,suan'xi'ban'juan
钛合金,tai'he'jin
弹簧钢,tan'huang'gang
碳结钢,tan'jie'gang
铁合金,tie'he'jin
铁矿,tie'kuang
铁丝网,tie'si'wang
铜合金,tong'he'jin
铜及铜锭,tong'ji'tong'ding
铜丝网,tong'si'wang
透闪石,tou'shan'shi
涂镀产品,tu'du'chan'pin
无缝管,wu'feng'guan
锡及锡锭,xi'ji'xi'ding
稀有金属合金,xi'you'jin'shu'he'jin
稀有金属矿产,xi'you'jin'shu'kuang'chan
稀有色金属,xi'you'se'jin'shu
线材,xian'cai
相关服务,xiang'guan'fu'wu
锌合金,xin'he'jin
锌及锌锭,xin'ji'xin'ding
型材,xing'cai
型钢,xing'gang
选矿设备,xuan'kuang'she'bei
冶金设备,ye'jin'she'bei
冶金项目合作,ye'jin'xiang'mu'he'zuo
冶炼成套设备,ye'lian'cheng'tao'she'bei
冶炼加工,ye'lian'jia'gong
冶炼设备,ye'lian'she'bei
异型钢,yi'xing'gang
萤石,ying'shi
永磁材料,yong'ci'cai'liao
永奇昱祥,yong'qi'yu'xiang
有色金属板材,you'se'jin'shu'ban'cai
