阿赖耶,a'lai'ye
阿西达,a'xi'da
阿西多拉,a'xi'duo'la
安薇娜,an'wei'na
奥卡姆,ao'ka'mu
奥卡姆托尔达尼安,ao'ka'mu'tuo'er'da'ni'an
奥拉,ao'la
邦妮,bang'ni
贝拉维拉,bei'la'wei'la
比伯鲁,bi'bo'lu
边疆级,bian'jiang'ji
冰蒂斯,bing'di'si
陈俊,chen'jun
陈倩,chen'qian
大督军,da'du'jun
大眼珠子,da'yan'zhu'zi
呆猫天使,dai'mao'tian'shi
帝国仆从军,di'guo'pu'cong'jun
帝国上将号,di'guo'shang'jiang'hao
叮当,ding'dang
叮莉莉娜当,ding'li'li'na'dang
丁玲,ding'ling
渡鸦,du'ya
菲娜,fei'na
负空间尖啸者,fu'kong'jian'jian'xiao'zhe
盖亚,gai'ya
戈塔克自由王国,ge'ta'ke'zi'you'wang'guo
君临者级,jun'lin'zhe'ji
凯尔薇,kai'er'wei
凯撒斯,kai'sa'si
空间双子,kong'jian'shuang'zi
莉莉娜,li'li'na
林半仙,lin'ban'xian
林风,lin'feng
林雪,lin'xue
林仰天,lin'yang'tian
罗兰盖尔,luo'lan'gai'er
麦迪雯,mai'di'wen
萌瞳,meng'tong
潘多拉,pan'duo'la
泡泡,pao'pao
千羽豪,qian'yu'hao
荣耀级星舰,rong'yao'ji'xing'jian
萨隆,sa'long
萨维,sa'wei
珊多拉,shan'duo'la
世界干涉理论,shi'jie'gan'she'li'lun
世界排斥效应,shi'jie'pai'chi'xiao'ying
世界仲裁机关,shi'jie'zhong'cai'ji'guan
首领蜂,shou'ling'feng
塔维尔,ta'wei'er
瞳叔,tong'shu
维迪斯世界,wei'di'si'shi'jie
维嘉,wei'jia
维斯卡,wei'si'ka
希尔维亚,xi'er'wei'ya
西卡罗,xi'ka'luo
希拉,xi'la
希灵,xi'ling
希灵帝国,xi'ling'di'guo
希灵使徒,xi'ling'shi'tu
西维斯,xi'wei'si
小泡泡,xiao'pao'pao
信仰级,xin'yang'ji
星臣,xing'chen
星球战舰,xing'qiu'zhan'jian
星域神族,xing'yu'shen'zu
休伦神族,xiu'lun'shen'zu
许峰,xu'feng
虚空生物,xu'kong'sheng'wu
许浅浅,xu'qian'qian
银毛鼹鼠,yin'mao'yan'shu
永恒级,yong'heng'ji
永远的一米二,yong'yuan'de'yi'mi'er
尤拉西斯,you'la'xi'si
尤拉西斯皇权,you'la'xi'si'huang'quan
幽能,you'neng
幽能死星,you'neng'si'xing
远瞳,yuan'tong
正空间尖啸者,zheng'kong'jian'jian'xiao'zhe
质量投影,zhi'liang'tou'ying
装甲蝎,zhuang'jia'xie
