安富桥客运站,an'fu'qiao'ke'yun'zhan
安富停车场,an'fu'ting'che'chang
安宁火车站,an'ning'huo'che'zhan
安宁派出所,an'ning'pai'chu'suo
安宁镇政府,an'ning'zhen'zheng'fu
安屋基,an'wu'ji
安置小区,an'zhi'xiao'qu
巴士花园,ba'shi'hua'yuan
巴士小区,ba'shi'xiao'qu
百果园,bai'guo'yuan
百梯,bai'ti
柏香林,bai'xiang'lin
柏香林十字路口,bai'xiang'lin'shi'zi'lu'kou
白招牌,bai'zhao'pai
白招牌路,bai'zhao'pai'lu
百子路,bai'zi'lu
百子图,bai'zi'tu
百子图广场,bai'zi'tu'guang'chang
半边山,ban'bian'shan
板栗湾,ban'li'wan
斑竹嘴,ban'zhu'zui
堡堡树,bao'bao'shu
报恩塔,bao'en'ta
宝光花园,bao'guang'hua'yuan
宝来桥,bao'lai'qiao
宝来桥渡口,bao'lai'qiao'du'kou
保养场,bao'yang'chang
背弯,bei'wan
碧家坳,bi'jia'ao
变电站,bian'dian'zhan
殡仪馆宿舍,bin'yi'guan'su'she
玻璃厂,bo'li'chang
踩断山,cai'duan'shan
草店子,cao'dian'zi
叉路口,cha'lu'kou
长安场,chang'an'chang
长安农贸市场,chang'an'nong'mao'shi'chang
长江村,chang'jiang'cun
长寿小学,chang'shou'xiao'xue
长伍间,chang'wu'jian
车辆检测中心,che'liang'jian'ce'zhong'xin
城北广场,cheng'bei'guang'chang
城南大道,cheng'nan'da'dao
澄溪口,cheng'xi'kou
城西新区,cheng'xi'xin'qu
冲子头,chong'zi'tou
春晖路,chun'hui'lu
春晖路十字路口,chun'hui'lu'shi'zi'lu'kou
春晖路西,chun'hui'lu'xi
醇香路,chun'xiang'lu
醇香路口,chun'xiang'lu'kou
春雨路,chun'yu'lu
糍粑坳,ci'ba'ao
瓷厂,ci'chang
刺园路二段,ci'yuan'lu'er'duan
刺园路一段,ci'yuan'lu'yi'duan
大池,da'chi
大洞子,da'dong'zi
大沙坪,da'sha'ping
大山上,da'shan'shang
大田坎,da'tian'kan
大通路口,da'tong'lu'kou
大通山路口,da'tong'shan'lu'kou
打鱼山,da'yu'shan
丹青路,dan'qing'lu
丹青路口,dan'qing'lu'kou
丹青路西,dan'qing'lu'xi
丹青路中段,dan'qing'lu'zhong'duan
丹霞路,dan'xia'lu
丹霞路中段,dan'xia'lu'zhong'duan
倒流河大桥,dao'liu'he'da'qiao
德龙桥,de'long'qiao
灯杆山,deng'gan'shan
电镀厂,dian'du'chang
钓鱼台路,diao'yu'tai'lu
钓鱼台路西,diao'yu'tai'lu'xi
洞宾亭,dong'bin'ting
东门口,dong'men'kou
东升桥,dong'sheng'qiao
杜家街,du'jia'jie
杜家街西,du'jia'jie'xi
杜家街中段,du'jia'jie'zhong'duan
墩墩桥,dun'dun'qiao
二村,er'cun
二道溪,er'dao'xi
二回寺,er'hui'si
二脊梁酒厂,er'ji'liang'jiu'chang
二街,er'jie
阀门厂,fa'men'chang
方坡,fang'po
蜂子湾,feng'zi'wan
高坝,gao'ba
高峰寺,gao'feng'si
高观音,gao'guan'yin
高六店,gao'liu'dian
高土地,gao'tu'di
公交加气站,gong'jiao'jia'qi'zhan
公交客运中心,gong'jiao'ke'yun'zhong'xin
公交客装厂,gong'jiao'ke'zhuang'chang
公交商城,gong'jiao'shang'cheng
公交营运公司,gong'jiao'ying'yun'gong'si
公交有限公司,gong'jiao'you'xian'gong'si
公里,gong'li
工人村,gong'ren'cun
工商大楼,gong'shang'da'lou
供应站,gong'ying'zhan
关口,guan'kou
观音膀,guan'yin'bang
观音堡,guan'yin'bao
广电中心,guang'dian'zhong'xin
广凤路口,guang'feng'lu'kou
光明街,guang'ming'jie
桂花坪,gui'hua'ping
桂花屋基,gui'hua'wu'ji
海关大楼,hai'guan'da'lou
河东新城,he'dong'xin'cheng
何家坝,he'jia'ba
河西大道口,he'xi'da'dao'kou
河西大道中段,he'xi'da'dao'zhong'duan
横街,heng'jie
横街子,heng'jie'zi
洪道堂,hong'dao'tang
红星路,hong'xing'lu
红星路口,hong'xing'lu'kou
红星农贸市场,hong'xing'nong'mao'shi'chang
红星小区,hong'xing'xiao'qu
红星小学,hong'xing'xiao'xue
红岩村,hong'yan'cun
花场坝,hua'chang'ba
化肥厂,hua'fei'chang
华阳乡政府,hua'yang'xiang'zheng'fu
化专校,hua'zhuan'xiao
环监站,huan'jian'zhan
黄金山,huang'jin'shan
黄桷山,huang'jue'shan
黄泥湾,huang'ni'wan
黄石坝,huang'shi'ba
黄舣,huang'yi
汇金路,hui'jin'lu
回龙湾,hui'long'wan
机修厂,ji'xiu'chang
集装箱码头,ji'zhuang'xiang'ma'tou
佳裕路,jia'yu'lu
碱厂,jian'chang
建平医院,jian'ping'yi'yuan
建设路,jian'she'lu
建设站,jian'she'zhan
江城,jiang'cheng
江南小学,jiang'nan'xiao'xue
江阳区党政大楼,jiang'yang'qu'dang'zheng'da'lou
江阳区政府,jiang'yang'qu'zheng'fu
江阳中路,jiang'yang'zhong'lu
交机技校,jiao'ji'ji'xiao
交警支队,jiao'jing'zhi'dui
街心花园,jie'xin'hua'yuan
金钢背,jin'gang'bei
金鸡湾,jin'ji'wan
金井湾,jin'jing'wan
金龙山,jin'long'shan
金山路,jin'shan'lu
金山路口,jin'shan'lu'kou
锦绣路,jin'xiu'lu
锦绣路口,jin'xiu'lu'kou
井场坝,jing'chang'ba
敬老院,jing'lao'yuan
警校,jing'xiao
酒厂,jiu'chang
酒城宾馆,jiu'cheng'bin'guan
酒城大道一段,jiu'cheng'da'dao'yi'duan
九狮岔路口,jiu'shi'cha'lu'kou
九狮风景区,jiu'shi'feng'jing'qu
酒业园区,jiu'ye'yuan'qu
康乐路,kang'le'lu
客运站,ke'yun'zhan
矿大门,kuang'da'men
奎丰,kui'feng
蓝田客运站,lan'tian'ke'yun'zhan
老房子,lao'fang'zi
老鹰沟,lao'ying'gou
老鹰嘴,lao'ying'zui
乐源小区,le'yuan'xiao'qu
李咀,li'ju
李咀社,li'ju'she
李子林,li'zi'lin
梨子园,li'zi'yuan
莲花池,lian'hua'chi
