阿伯丁,a'bo'ding
博得威赫,bo'de'wei'he
伯顿,bo'dun
波冈晶子,bo'gang'jing'zi
伯纳德,bo'na'de
薄萤,bo'ying
薄樱鬼,bo'ying'gui
卜迪鲁,bu'di'lu
布拉格克莱尔斯塔,bu'la'ge'ke'lai'er'si'ta
布朗得,bu'lang'de
布蕾斯,bu'lei'si
布丽姬,bu'li'ji
不知火匡,bu'zhi'huo'kuang
不知火一树,bu'zhi'huo'yi'shu
财津操,cai'jin'cao
财津卫,cai'jin'wei
彩京朋美,cai'jing'peng'mei
彩木香里,cai'mu'xiang'li
蔵臼,cang'jiu
苍树红,cang'shu'hong
仓田雅世,cang'tian'ya'shi
仓下月海,cang'xia'yue'hai
仓永梢,cang'yong'shao
仓泽六夏,cang'ze'liu'xia
草壁麻衣,cao'bi'ma'yi
草壁美铃,cao'bi'mei'ling
曹操孟徳,cao'cao'meng'de
草地章江,cao'di'zhang'jiang
草尾毅,cao'wei'yi
草野,cao'ye
草野彻,cao'ye'che
草野先生,cao'ye'xian'sheng
曽根清美,ceng'gen'qing'mei
曾我部,ceng'wo'bu
曾我部和恭,ceng'wo'bu'he'gong
茶风林,cha'feng'lin
察依卡,cha'yi'ka
柴本浩行,chai'ben'hao'xing
柴崎幸一,chai'qi'xing'yi
柴山平和,chai'shan'ping'he
柴藤浩一,chai'teng'hao'yi
柴田秀胜,chai'tian'xiu'sheng
柴田由美子,chai'tian'you'mei'zi
忏悔,chan'hui
长岛雄一,chang'dao'xiong'yi
长嶝高士,chang'deng'gao'shi
长谷部浩一,chang'gu'bu'hao'yi
长谷川步,chang'gu'chuan'bu
长谷川静香,chang'gu'chuan'jing'xiang
长谷川明子,chang'gu'chuan'ming'zi
长谷川平乃,chang'gu'chuan'ping'nai
长谷由子,chang'gu'you'zi
长江英和,chang'jiang'ying'he
长克巳,chang'ke'si
长濑凑,chang'lai'cou
长瀬祐子,chang'lai'you'zi
长濑准一,chang'lai'zhun'yi
常盘奈津子,chang'pan'nai'jin'zi
长松博史,chang'song'bo'shi
长畑由美,chang'tian'you'mei
长友达也,chang'you'da'ye
长月早苗,chang'yue'zao'miao
长泽彻,chang'ze'che
长泽美树,chang'ze'mei'shu
长泽未来,chang'ze'wei'lai
长泽直美,chang'ze'zhi'mei
朝比奈茜,chao'bi'nai'qian
朝仓荣介,chao'cang'rong'jie
朝仓信长,chao'cang'xin'chang
朝倉音姫,chao'cang'yin'zhen
朝倉由夢,chao'cang'you'meng
超元气三姐妹,chao'yuan'qi'san'jie'mei
辰浦亮,chen'pu'liang
辰巳千佐子,chen'si'qian'zuo'zi
辰野俊子,chen'ye'jun'zi
程岛镇磨,cheng'dao'zhen'mo
成家义哉,cheng'jia'yi'zai
成濑诚,cheng'lai'cheng
成瀬诚,cheng'lai'cheng
成濑未亚,cheng'lai'wei'ya
城山坚,cheng'shan'jian
成田剑,cheng'tian'jian
成田纱矢香,cheng'tian'sha'shi'xiang
橙条琉妃,cheng'tiao'liu'fei
城雅子,cheng'ya'zi
成智花,cheng'zhi'hua
池本小百合,chi'ben'xiao'bai'he
赤城进,chi'cheng'jin
赤池裕美子,chi'chi'yu'mei'zi
池谷和美,chi'gu'he'mei
赤井老师,chi'jing'lao'shi
赤井林檎,chi'jing'lin'qin
赤岭彩子,chi'ling'cai'zi
赤木美絵,chi'mu'mei'hui
赤色之约,chi'se'zhi'yue
赤沙印记,chi'sha'yin'ji
池水通洋,chi'shui'tong'yang
池田昌子,chi'tian'chang'zi
池田千草,chi'tian'qian'cao
池田胜,chi'tian'sheng
池田秀一,chi'tian'xiu'yi
赤土真弓,chi'tu'zhen'gong
池胁千鹤,chi'xie'qian'he
赤夜萌香,chi'ye'meng'xiang
池泽春菜,chi'ze'chun'cai
赤之约定,chi'zhi'yue'ding
冲田总司,chong'tian'zong'si
出包王女,chu'bao'wang'nv
初春飾利,chu'chun'shi'li
初春饰利,chu'chun'shi'li
出村贵,chu'cun'gui
出岛沙耶香,chu'dao'sha'ye'xiang
雏菊,chu'ju
出口茉美,chu'kou'mo'mei
初恋限定,chu'lian'xian'ding
川本成,chuan'ben'cheng
川菜翠,chuan'cai'cui
川澄绫子,chuan'cheng'ling'zi
川村拓央,chuan'cun'tuo'yang
川村万梨阿,chuan'cun'wan'li'a
川代先生,chuan'dai'xian'sheng
川岛得爱,chuan'dao'de'ai
川岛美菜子,chuan'dao'mei'cai'zi
川岛千代子,chuan'dao'qian'dai'zi
川嶋亜美,chuan'dao'ya'mei
川锅雅树,chuan'guo'ya'shu
川津泰彦,chuan'jin'tai'yan
川久保洁,chuan'jiu'bao'jie
川久保拓司,chuan'jiu'bao'tuo'si
川口太郎,chuan'kou'tai'lang
川口宰曜子,chuan'kou'zai'yao'zi
川濑晶子,chuan'lai'jing'zi
川浪叶子,chuan'lang'ye'zi
川名真知子,chuan'ming'zhen'zhi'zi
船木真人,chuan'mu'zhen'ren
川崎恵理子,chuan'qi'hui'li'zi
川崎惠理子,chuan'qi'hui'li'zi
川崎真央,chuan'qi'zhen'yang
川上贵史,chuan'shang'gui'shi
传说中勇者的传说,chuan'shuo'zhong'yong'zhe'de'chuan'shuo
川田妙子,chuan'tian'miao'zi
川田绅司,chuan'tian'shen'si
川田知子,chuan'tian'zhi'zi
川喜多美子,chuan'xi'duo'mei'zi
川野刚稔,chuan'ye'gang'ren
川原庆久,chuan'yuan'qing'jiu
川中子雅人,chuan'zhong'zi'ya'ren
川庄美雪,chuan'zhuang'mei'xue
春华,chun'hua
春日野穹,chun'ri'ye'qiong
春日野悠,chun'ri'ye'you
春原美和,chun'yuan'mei'he
春原阳平,chun'yuan'yang'ping
翠准子,cui'zhun'zi
村濑克辉,cun'lai'ke'hui
村上和也,cun'shang'he'ye
村上阳,cun'shang'yang
村上银子,cun'shang'yin'zi
村田博美,cun'tian'bo'mei
村田步,cun'tian'bu
村田英雄,cun'tian'ying'xiong
大八木朔,da'ba'mu'shuo
大坂史子,da'ban'shi'zi
大阪有未佳,da'ban'you'wei'jia
大本眞基子,da'ben'zhen'ji'zi
大本真基子,da'ben'zhen'ji'zi
大仓乔史,da'cang'qiao'shi
大仓正章,da'cang'zheng'zhang
大场真人,da'chang'zhen'ren
大城彻,da'cheng'che
大城美和,da'cheng'mei'he
大川庆子,da'chuan'qing'zi
大川透,da'chuan'tou
大村香奈子,da'cun'xiang'nai'zi
大村阳介,da'cun'yang'jie
大岛将哉,da'dao'jiang'zai
大地睦美,da'di'mu'mei
大地翔,da'di'xiang
大地薫,da'di'xun
达尔塔尼安,da'er'ta'ni'an
大纲惠,da'gang'hui
大谷美贵,da'gu'mei'gui
大谷美纪,da'gu'mei'ji
大谷育江,da'gu'yu'jiang
大亀,da'gui
大龟,da'gui
大海吾郎,da'hai'wu'lang
大河内雅子,da'he'nei'ya'zi
大河内紫乃,da'he'nei'zi'nai
大黑和广,da'hei'he'guang
大黑摩季,da'hei'mo'ji
大津田裕美,da'jin'tian'yu'mei
大久保利洋,da'jiu'bao'li'yang
大久保留美,da'jiu'bao'liu'mei
