帮主,bang'zhu
波波维奇,bo'bo'wei'qi
超巨,chao'ju
超音速队,chao'yin'su'dui
大鲨鱼,da'sha'yu
呆呆,dai'dai
得分王,de'fen'wang
公牛队,gong'niu'dui
公牛王朝,gong'niu'wang'chao
工资帽,gong'zi'mao
黑曼巴,hei'man'ba
掘金队,jue'jin'dui
绝杀,jue'sha
开拓者队,kai'tuo'zhe'dui
考辛斯,kao'xin'si
篮网队,lan'wang'dui
联盟领头羊,lian'meng'ling'tou'yang
联盟停摆,lian'meng'ting'bai
猛龙队,meng'long'dui
萌神,meng'shen
魔术队,mo'shu'dui
浓眉哥,nong'mei'ge
炮轰战术,pao'hong'zhan'shu
骑士队,qi'shi'dui
抢七大战,qiang'qi'da'zhan
全明星,quan'ming'xing
三角进攻,san'jiao'jin'gong
三巨头,san'ju'tou
杀死比赛,sha'si'bi'sai
伤病,shang'bing
水货状元,shui'huo'zhuang'yuan
死亡五小,si'wang'wu'xiao
缩水赛季,suo'shui'sai'ji
天王山大战,tian'wang'shan'da'zhan
小皇帝,xiao'huang'di
亚当肖华,ya'dang'xiao'hua
总冠军,zong'guan'jun
总决赛,zong'jue'sai
