白虎湾,bai'hu'wan
半边街,ban'bian'jie
办证大厅,ban'zheng'da'ting
宝石小学,bao'shi'xiao'xue
财富大厦,cai'fu'da'sha
财校,cai'xiao
曹家岭,cao'jia'ling
查家坂,cha'jia'ban
昌河广场,chang'he'guang'chang
长虹,chang'hong
昌江大道,chang'jiang'da'dao
昌江大道新村西路口,chang'jiang'da'dao'xin'cun'xi'lu'kou
昌江广场,chang'jiang'guang'chang
昌江一中,chang'jiang'yi'zhong
昌江征费局,chang'jiang'zheng'fei'ju
昌南路,chang'nan'lu
昌西路,chang'xi'lu
车辆检测中心,che'liang'jian'ce'zhong'xin
陈家坂,chen'jia'ban
陈家岭,chen'jia'ling
船舶检验局,chuan'bo'jian'yan'ju
瓷都大桥,ci'du'da'qiao
瓷用化工厂,ci'yong'hua'gong'chang
大石口,da'shi'kou
戴家弄,dai'jia'nong
第三中学,di'san'zhong'xue
地税局,di'shui'ju
第四水厂,di'si'shui'chang
地铁,di'tie
第一塑料厂,di'yi'su'liao'chang
电瓷电器公司,dian'ci'dian'qi'gong'si
雕塑瓷厂,diao'su'ci'chang
东安加油站,dong'an'jia'you'zhan
东流,dong'liu
二百商场,er'bai'shang'chang
二汽,er'qi
二所,er'suo
二院,er'yuan
二中,er'zhong
丰村,feng'cun
风景路,feng'jing'lu
枫林湖,feng'lin'hu
枫树山,feng'shu'shan
浮梁大桥,fu'liang'da'qiao
浮梁县粮食局,fu'liang'xian'liang'shi'ju
浮梁县土地局,fu'liang'xian'tu'di'ju
浮梁县武装部,fu'liang'xian'wu'zhuang'bu
浮梁县烟草公司,fu'liang'xian'yan'cao'gong'si
浮梁县政府,fu'liang'xian'zheng'fu
港逸豪庭,gang'yi'hao'ting
高墩庙,gao'dun'miao
高专,gao'zhuan
公交公司,gong'jiao'gong'si
工商局,gong'shang'ju
古老山,gu'lao'shan
古田村,gu'tian'cun
古田小学,gu'tian'xiao'xue
观音阁,guan'yin'ge
观音阁水场,guan'yin'ge'shui'chang
广场南路,guang'chang'nan'lu
光明瓷厂,guang'ming'ci'chang
海畅法兰瓷,hai'chang'fa'lan'ci
海峰花园,hai'feng'hua'yuan
豪德广场,hao'de'guang'chang
何家桥,he'jia'qiao
洪源镇,hong'yuan'zhen
化肥厂,hua'fei'chang
华风瓷厂,hua'feng'ci'chang
华意,hua'yi
黄泥头,huang'ni'tou
火车站,huo'che'zhan
加州印象,jia'zhou'yin'xiang
建设局,jian'she'ju
焦化生活区,jiao'hua'sheng'huo'qu
焦化总厂,jiao'hua'zong'chang
交警二大队,jiao'jing'er'da'dui
交警洪源中队,jiao'jing'hong'yuan'zhong'dui
交警支队,jiao'jing'zhi'dui
教育小区,jiao'yu'xiao'qu
金岭大道,jin'ling'da'dao
金三角,jin'san'jiao
金氏正骨医院,jin'shi'zheng'gu'yi'yuan
金域中央,jin'yu'zhong'yang
景德商厦,jing'de'shang'sha
景德镇电厂,jing'de'zhen'dian'chang
景德镇机场,jing'de'zhen'ji'chang
旧城,jiu'cheng
九九九厂,jiu'jiu'jiu'chang
九中,jiu'zhong
榔树,lang'shu
里村,li'cun
李家岭,li'jia'ling
黎明路,li'ming'lu
里市渡,li'shi'du
梨树园,li'shu'yuan
历尧,li'yao
莲花彩印厂,lian'hua'cai'yin'chang
林荫路,lin'yin'lu
六村,liu'cun
六中,liu'zhong
罗家,luo'jia
罗家滩,luo'jia'tan
吕蒙,lv'meng
吕蒙桥西,lv'meng'qiao'xi
马鞍山,ma'an'shan
麻石弄,ma'shi'nong
茅家畈,mao'jia'fan
美信电子,mei'xin'dian'zi
梅苑,mei'yuan
木材厂,mu'cai'chang
耐火器材厂,nai'huo'qi'cai'chang
南昌路,nan'chang'lu
南门头,nan'men'tou
鹏程宾馆,peng'cheng'bin'guan
鹏飞建陶,peng'fei'jian'tao
汽车站,qi'che'zhan
七四,qi'si
桥建瓷厂,qiao'jian'ci'chang
乔麦岭,qiao'mai'ling
桥西,qiao'xi
青花文具厂,qing'hua'wen'ju'chang
人民瓷厂,ren'min'ci'chang
人民公园,ren'min'gong'yuan
人民广场,ren'min'guang'chang
三宝,san'bao
尚东国际,shang'dong'guo'ji
少年宫,shao'nian'gong
