阿巴斯全集,a'ba'si'quan'ji
阿布费达史,a'bu'fei'da'shi
阿尔斯兰的故事,a'er'si'lan'de'gu'shi
阿赫默底亚的论证,a'he'mo'di'ya'di'lun'zheng
阿拉伯伊斯兰文化史,a'la'bo'yi'si'lan'wen'hua'shi
阿拉姆吉尔教法汇编,a'la'mu'ji'er'jiao'fa'hui'bian
阿帕克和卓传,a'pa'ke'he'zhuo'chuan
艾卜纳赛尔萨曼尼传,ai'bo'na'sai'er'sa'man'ni'chuan
埃及继承法,ai'ji'ji'cheng'fa
埃及九年,ai'ji'jiu'nian
埃及民法典,ai'ji'min'fa'dian
埃及瓦克夫法,ai'ji'wa'ke'fu'fa
艾竭马答论说有无源流,ai'jie'ma'da'lun'shuo'you'wu'yuan'liu
艾里毕之书,ai'li'bi'zhi'shu
盎格鲁穆斯林法,ang'ge'lu'mu'si'lin'fa
奥朗则布教法汇编,ao'lang'ze'bu'jiao'fa'hui'bian
奥斯曼家庭权利法,ao'si'man'jia'ting'quan'li'fa
奥斯曼民法典,ao'si'man'min'fa'dian
奥斯曼商法典,ao'si'man'shang'fa'dian
奥斯曼刑法典,ao'si'man'xing'fa'dian
巴尔阿米史,ba'er'a'mi'shi
巴基斯坦穆斯林家庭法法令,ba'ji'si'tan'mu'si'lin'jia'ting'fa'fa'ling
拜达维古兰经注,bai'da'wei'gu'lan'jing'zhu
拜哈格史,bai'ha'ge'shi
宝贵的学问,bao'gui'de'xue'wen
宝命真经,bao'ming'zhen'jing
辨理明正语录,bian'li'ming'zheng'yu'lu
钵盂,bo'yu
驳自然主义者,bo'zi'ran'zhu'yi'zhe
布尔汗,bu'er'han
布哈里圣训实录,bu'ha'li'sheng'xun'shi'lu
裁决的奥秘,cai'jue'de'ao'mi
朝觐途记,chao'jin'tu'ji
成吉思汗传,cheng'ji'si'han'chuan
敕赐清修寺重修碑记,chi'ci'qing'xiu'si'chong'xiu'bei'ji
敕诰清修寺护持文,chi'gao'qing'xiu'si'hu'chi'wen
重建福州清真寺记,chong'jian'fu'zhou'qing'zhen'si'ji
重建怀圣寺记,chong'jian'huai'sheng'si'ji
重修灵山圣墓阿拉伯文碑,chong'xiu'ling'shan'sheng'mu'a'la'bo'wen'bei
重修清净寺记,chong'xiu'qing'jing'si'ji
充足,chong'zu
楚拉斯史,chu'la'si'shi
春园,chun'yuan
刺马丹墓碑,ci'ma'dan'mu'bei
大拱北清规,da'gong'bei'qing'gui
大和卓传,da'he'zhuo'chuan
大化总归,da'hua'zong'gui
大名南关小东街礼拜寺碑记,da'ming'nan'guan'xiao'dong'jie'li'bai'si'bei'ji
道行究竟,dao'hang'jiu'jing
地名辞典,di'ming'ci'dian
帝王的忠告,di'wang'de'zhong'gao
定州重建礼拜寺记,ding'zhou'chong'jian'li'bai'si'ji
东方五族史,dong'fang'wu'zu'shi
法令修正篇,fa'ling'xiu'zheng'pian
法西希历史概要,fa'xi'xi'li'shi'gai'yao
