爱的升华,ai'de'sheng'hua
爱美之心,ai'mei'zhi'xin
爱是苦的,ai'shi'ku'de
矮子步,ai'zi'bu
安晶,an'jing
鞍山曲艺团地方戏队,an'shan'qu'yi'tuan'di'fang'xi'dui
暗伤人,an'shang'ren
暗思想,an'si'xiang
按姓氏笔划,an'xing'shi'bi'hua
安志斌,an'zhi'bin
安忠江,an'zhong'jiang
嗷嗷叫,ao'ao'jiao
拔白菜,ba'bai'cai
八百冬,ba'bai'dong
八百垧,ba'bai'shang
把病生,ba'bing'sheng
把病装,ba'bing'zhuang
把腚光,ba'ding'guang
把饭餐,ba'fan'can
八个姑娘打擂台,ba'ge'gu'niang'da'lei'tai
把官做,ba'guan'zuo
把话发,ba'hua'fa
把话讲,ba'hua'jiang
把话来提,ba'hua'lai'ti
把话明,ba'hua'ming
把话谈,ba'hua'tan
把话学,ba'hua'xue
把话言,ba'hua'yan
把话云,ba'hua'yun
把婚订,ba'hun'ding
八戒打店,ba'jie'da'dian
八戒怀胎,ba'jie'huai'tai
八戒哭猪,ba'jie'ku'zhu
把嗑唠,ba'ke'lao
把脸翻,ba'lian'fan
把路行,ba'lu'xing
把门登,ba'men'deng
把命偿,ba'ming'chang
把名添,ba'ming'tian
把你帮,ba'ni'bang
把你搀,ba'ni'chan
把你来怨,ba'ni'lai'yuan
把奴扔,ba'nu'reng
扒墙头,ba'qiang'tou
灞桥,ba'qiao
灞桥挑袍,ba'qiao'tiao'pao
把亲成,ba'qin'cheng
八人班戏,ba'ren'ban'xi
把人欺,ba'ren'qi
把山下,ba'shan'xia
把身安,ba'shen'an
把身存,ba'shen'cun
把身容,ba'shen'rong
把誓明,ba'shi'ming
把书攻,ba'shu'gong
巴书念,ba'shu'nian
把头点,ba'tou'dian
把头叩,ba'tou'kou
把我诓,ba'wo'kuang
把屋进,ba'wu'jin
八仙庆寿,ba'xian'qing'shou
八小出玩艺儿,ba'xiao'chu'wan'yi'er
把心变,ba'xin'bian
把眼翻,ba'yan'fan
把眼睁,ba'yan'zheng
把阳还,ba'yang'hai
八样礼,ba'yang'li
把咱帮,ba'zan'bang
八掌,ba'zhang
把阵叫,ba'zhen'jiao
八阵图,ba'zhen'tu
八字翻莣,ba'zi'fan'wang
八字片花,ba'zi'pian'hua
八字腕,ba'zi'wan
白宝香,bai'bao'xiang
白帝城,bai'di'cheng
摆渡姑娘,bai'du'gu'niang
白飞雪,bai'fei'xue
白凤兰,bai'feng'lan
白狗沾卷,bai'gou'zhan'juan
白桂香割旰,bai'gui'xiang'ge'gan
白桂香割肝,bai'gui'xiang'ge'gan
百湖地方戏艺术团,bai'hu'di'fang'xi'yi'shu'tuan
拜花灯,bai'hua'deng
百花二人转剧场,bai'hua'er'ren'zhuan'ju'chang
百花古人名,bai'hua'gu'ren'ming
拜花堂,bai'hua'tang
白纪元,bai'ji'yuan
白金哥私访,bai'jin'ge'si'fang
白口,bai'kou
百乐二人转剧场,bai'le'er'ren'zhuan'ju'chang
百两银,bai'liang'yin
白马坡,bai'ma'po
白门楼,bai'men'lou
百年大计,bai'nian'da'ji
白娘子,bai'niang'zi
百鸟朝凤,bai'niao'chao'feng
白袍征东,bai'pao'zheng'dong
拜泉县民间艺术团,bai'quan'xian'min'jian'yi'shu'tuan
拜泉县艺术团团长,bai'quan'xian'yi'shu'tuan'tuan'zhang
百忍图,bai'ren'tu
拜上,bai'shang
白蛇盗丹,bai'she'dao'dan
白蛇诉功,bai'she'su'gong
白蛇传,bai'she'zhuan
拜师认亲,bai'shi'ren'qin
白树荣,bai'shu'rong
白淑贤,bai'shu'xian
白淑贤杯,bai'shu'xian'bei
摆摊算卦,bai'tan'suan'gua
白万程,bai'wan'cheng
拜新年,bai'xin'nian
柏秀英绣蚊帐,bai'xiu'ying'xiu'wen'zhang
白岩,bai'yan
白艳玲,bai'yan'ling
摆宴席,bai'yan'xi
摆腰,bai'yao
百余次,bai'yu'ci
白玉楼画画,bai'yu'lou'hua'hua
白玉民,bai'yu'min
白猿教刀,bai'yuan'jiao'dao
白猿偷桃,bai'yuan'tou'tao
败子回头,bai'zi'hui'tou
白字先生,bai'zi'xian'sheng
半班戏,ban'ban'xi
板鼓,ban'gu
半毫分,ban'hao'fen
搬家记,ban'jia'ji
颁奖会上的讲话,ban'jiang'hui'shang'de'jiang'hua
半拉子探病,ban'la'zi'tan'bing
扮鹿行孝,ban'lu'xing'xiao
半年整,ban'nian'zheng
板腔体,ban'qiang'ti
半日工,ban'ri'gong
癍痧,ban'sha
板式,ban'shi
半文铜,ban'wen'tong
办喜事,ban'xi'shi
半夜叫门,ban'ye'jiao'men
伴奏形式,ban'zou'xing'shi
棒棒戏,bang'bang'xi
棒打蹦,bang'da'beng
棒打薄情郎,bang'da'bo'qing'lang
帮腔,bang'qiang
抱板,bao'ban
暴病生,bao'bing'sheng
鲍不平,bao'bu'ping
保朝人,bao'chao'ren
报仇冤,bao'chou'yuan
包大华,bao'da'hua
保大唐,bao'da'tang
宝雕弓,bao'diao'gong
包豆包,bao'dou'bao
包公断后,bao'gong'duan'hou
包公逛庙,bao'gong'guang'miao
包公解诗谜,bao'gong'jie'shi'mi
