阿爸,a'ba
阿妈,a'ma
阿们,a'men
腌喳,a'zha
白扳,bai'ban
半吊子,ban'diao'zi
扳钱,ban'qian
薄气,bo'qi
不吊照,bu'diao'zhao
不管经,bu'guan'jing
不管台,bu'guan'tai
不照,bu'zhao
不照器,bu'zhao'qi
操事,cao'shi
逞吊脸,cheng'diao'lian
逞脸,cheng'lian
哧花,chi'hua
迟鱼,chi'yu
臭逼,chou'bi
打吊腰,da'diao'yao
到尽,dao'jin
地走,de'zou
滴滴答答,di'di'da'da
吊能抬,diao'neng'tai
吊烟,diao'yan
肚妈脐,du'ma'qi
恶厌,e'yan
二倚子,er'yi'zi
杠家,gang'jia
杠路,gang'lu
杠腿,gang'tui
搞么,gao'me
咯饭,ge'fan
胳拉子,ge'la'zi
割啷啷地,ge'lang'lang'di
搁哪,ge'na
搁哪拐子,ge'na'guai'zi
隔厌,ge'yan
狗比日眼,gou'bi'ri'yan
狗比羊眼,gou'bi'yang'yan
拐的,guai'de
管经,guan'jing
管抬,guan'tai
光不叽凉,guang'bu'ji'liang
鬼子六,gui'zi'liu
过劲,guo'jin
好的羊熊样,hao'de'yang'xiong'yang
好盏子,hao'zhan'zi
呵大蛋,he'da'dan
喝唬,he'hu
黑扯,hei'che
糇巴咸,hou'ba'xian
胡吊扯,hu'diao'che
胡吊搞,hu'diao'gao
胡几吧吊扯,hu'ji'ba'diao'che
胡几吧吊搞,hu'ji'ba'diao'gao
呼你,hu'ni
活毁,huo'hui
活考,huo'kao
活萝卜,huo'luo'bo
几吧捏两耳朵,ji'ba'nie'liang'er'duo
叽歪,ji'wai
叽一裤,ji'yi'ku
精巴屁股,jing'ba'pi'gu
精头屁,jing'tou'pi
就地,jiu'di
就和,jiu'he
就嘴,jiu'zui
决人,jue'ren
决誓,jue'shi
脚趾盖,jue'zhi'gai
看把你倨地,kan'ba'ni'ju'di
考逮,kao'dai
考了,kao'le
可是地该,ke'shi'di'gai
可照,ke'zhao
扣逼手,kou'bi'shou
拉呱,la'gua
老据,lao'ju
老婆三调,lao'po'san'tiao
老细,lao'xi
肋把骨,lei'ba'gu
脸给你恣烂,lian'gei'ni'zi'lan
驴熊,lv'xiong
嘛比,ma'bi
嘛比的好,ma'bi'de'hao
麻灿,ma'can
马虎熊,ma'hu'xiong
麻熊,ma'xiong
马子,ma'zi
猫比,mao'bi
猫比吧,mao'bi'ba
茅次,mao'ci
猫吊喽,mao'diao'lou
没吊事,mei'diao'shi
磨叽,mo'ji
哪拐子,na'guai'zi
你搁哪喝地该,ni'ge'na'he'di'gai
念你,nian'ni
弄么,nong'me
弄雄,nong'xiong
劈脸,pi'lian
劈脸呼,pi'lian'hu
七叶子,qi'ye'zi
秋巴,qiu'ba
秋鸡,qiu'ji
瘸卜,que'bu
瘸怪,que'guai
瘸么,que'me
瘸气,que'qi
日摆,ri'bai
骚逼,sao'bi
骚不俗,sao'bu'su
骚猪,sao'zhu
苕道,shao'dao
谁个,shei'ge
什么黄子该,shen'me'huang'zi'gai
我地孩来,wo'di'hai'lai
雾掉了,wu'diao'le
细比扣,xi'bi'kou
洋唬,yang'hu
洋唬什么,yang'hu'shen'me
洋熊,yang'xiong
洋熊样,yang'xiong'yang
揶沟,ye'gou
耶熊,ye'xiong
耶熊吧,ye'xiong'ba
一嘎嘎,yi'ga'ga
一嘴,yi'zui
一嘴猴,yi'zui'hou
怎么不照地该,zen'me'bu'zhao'di'gai
怎么搞地该,zen'me'gao'di'gai
咋唬,zha'hu
招不住,zhao'bu'zhu
遮咕劲,zhe'gu'jin
嗞拉拉地,zi'la'la'di
