阿坝,a'ba
阿巴嘎旗,a'ba'ga'qi
阿城,a'cheng
阿合奇,a'he'qi
阿克塞,a'ke'sai
阿克苏,a'ke'su
阿克陶,a'ke'tao
阿拉尔,a'la'er
阿拉善右旗,a'la'shan'you'qi
阿拉善左旗,a'la'shan'zuo'qi
阿勒泰,a'le'tai
阿鲁科尔沁旗,a'lu'ke'er'qin'qi
阿荣旗,a'rong'qi
阿图什,a'tu'shi
阿瓦提,a'wa'ti
安达,an'da
安多,an'duo
安福,an'fu
安国,an'guo
安化,an'hua
安徽,an'hui
安吉,an'ji
安康,an'kang
安龙,an'long
安陆,an'lu
安宁,an'ning
安平,an'ping
安庆,an'qing
安丘,an'qiu
安仁,an'ren
安塞,an'sai
鞍山,an'shan
安顺,an'shun
安图,an'tu
安溪,an'xi
安西,an'xi
安县,an'xian
安乡,an'xiang
安新,an'xin
安阳,an'yang
安义,an'yi
安远,an'yuan
安岳,an'yue
安泽,an'ze
昂昂溪,ang'ang'xi
昂仁,ang'ren
敖汉旗,ao'han'qi
澳门,ao'men
巴楚,ba'chu
八达岭,ba'da'ling
巴东,ba'dong
八公山,ba'gong'shan
巴里坤,ba'li'kun
巴林右旗,ba'lin'you'qi
巴林左旗,ba'lin'zuo'qi
巴马,ba'ma
巴南,ba'nan
灞桥,ba'qiao
巴青,ba'qing
八宿,ba'su
巴塘,ba'tang
巴彦,ba'yan
巴彦淖尔,ba'yan'nao'er
八一镇,ba'yi'zhen
鲅鱼圈,ba'yu'quan
巴中,ba'zhong
霸州,ba'zhou
拜城,bai'cheng
白城,bai'cheng
白河,bai'he
白碱滩,bai'jian'tan
白朗,bai'lang
拜泉,bai'quan
百色,bai'se
白沙,bai'sha
白山,bai'shan
白水,bai'shui
柏乡,bai'xiang
白银,bai'yin
白玉,bai'yu
白云,bai'yun
白云矿,bai'yun'kuang
班戈,ban'ge
班玛,ban'ma
宝安,bao'an
保德,bao'de
宝坻,bao'di
保定,bao'ding
宝丰,bao'feng
宝鸡,bao'ji
保靖,bao'jing
保康,bao'kang
宝清,bao'qing
保山,bao'shan
宝山,bao'shan
保亭,bao'ting
包头,bao'tou
宝兴,bao'xing
宝应,bao'ying
北安,bei'an
北碚,bei'bei
北辰,bei'chen
北川,bei'chuan
北戴河,bei'dai'he
北海,bei'hai
北京,bei'jing
北流,bei'liu
北仑,bei'lun
北宁,bei'ning
北票,bei'piao
本溪满族自治县,ben'xi'man'zu'zi'zhi'xian
本溪市,ben'xi'shi
蚌埠,beng'bu
毕节,bi'jie
比如,bi'ru
璧山,bi'shan
泌阳,bi'yang
边坝,bian'ba
宾川,bin'chuan
滨海,bin'hai
宾县,bin'xian
彬县,bin'xian
宾阳,bin'yang
滨州,bin'zhou
博爱,bo'ai
博鳌,bo'ao
博白,bo'bai
博湖,bo'hu
博乐,bo'le
勃利,bo'li
博罗,bo'luo
波密,bo'mi
博山,bo'shan
泊头,bo'tou
博兴,bo'xing
博野,bo'ye
亳州,bo'zhou
布尔津,bu'er'jin
布拖,bu'tuo
蔡甸,cai'dian
苍南,cang'nan
苍山,cang'shan
苍梧,cang'wu
苍溪,cang'xi
沧县,cang'xian
沧源,cang'yuan
沧州,cang'zhou
曹县,cao'xian
册亨,ce'heng
策勒,ce'le
岑巩,cen'gong
岑溪,cen'xi
察布查尔,cha'bu'cha'er
察哈尔右翼后旗,cha'ha'er'you'yi'hou'qi
察哈尔右翼前旗,cha'ha'er'you'yi'qian'qi
察哈尔右翼中旗,cha'ha'er'you'yi'zhong'qi
茶陵,cha'ling
察雅,cha'ya
察隅,cha'yu
长安,chang'an
长白,chang'bai
长白山,chang'bai'shan
长春,chang'chun
长岛,chang'dao
常德,chang'de
昌都,chang'du
长丰,chang'feng
长葛,chang'ge
长海,chang'hai
昌吉,chang'ji
昌江,chang'jiang
昌乐,chang'le
长乐,chang'le
昌黎,chang'li
长岭,chang'ling
常宁,chang'ning
昌宁,chang'ning
长宁,chang'ning
昌平,chang'ping
长清,chang'qing
长沙,chang'sha
长沙县,chang'sha'xian
常山,chang'shan
长寿,chang'shou
常熟,chang'shu
长顺,chang'shun
长泰,chang'tai
长汀,chang'ting
昌图,chang'tu
长武,chang'wu
长兴,chang'xing
长阳,chang'yang
昌邑,chang'yi
长垣,chang'yuan
长治市,chang'zhi'shi
长治县,chang'zhi'xian
常州,chang'zhou
潮安,chao'an
巢湖,chao'hu
潮南,chao'nan
朝天,chao'tian
潮阳,chao'yang
朝阳市,chao'yang'shi
朝阳县,chao'yang'xian
潮州,chao'zhou
陈巴尔虎旗,chen'ba'er'hu'qi
陈仓,chen'cang
辰溪,chen'xi
郴州,chen'zhou
成安,cheng'an
城步,cheng'bu
澄城,cheng'cheng
承德市,cheng'de'shi
承德县,cheng'de'xian
成都,cheng'du
称多,cheng'duo
呈贡,cheng'gong
城固,cheng'gu
澄海,cheng'hai
澄江,cheng'jiang
城口,cheng'kou
澄迈,cheng'mai
成武,cheng'wu
成县,cheng'xian
城阳,cheng'yang
赤壁,chi'bi
赤城,chi'cheng
赤峰,chi'feng
茌平,chi'ping
赤水,chi'shui
池州,chi'zhou
崇礼,chong'li
崇明,chong'ming
重庆,chong'qing
崇仁,chong'ren
崇信,chong'xin
崇阳,chong'yang
崇义,chong'yi
崇州,chong'zhou
崇左,chong'zuo
楚雄,chu'xiong
楚州,chu'zhou
滁州,chu'zhou
淳安,chun'an
淳化,chun'hua
慈利,ci'li
慈溪,ci'xi
磁县,ci'xian
从化,cong'hua
从江,cong'jiang
翠峦,cui'luan
措美,cuo'mei
错那,cuo'na
措勤,cuo'qin
大安,da'an
达坂城,da'ban'cheng
大埔,da'bu
大厂,da'chang
大城,da'cheng
大渡口,da'du'kou
达尔罕茂明安联合旗,da'er'han'mao'ming'an'lian'he'qi
大方,da'fang
大丰,da'feng
大港,da'gang
大关,da'guan
大化,da'hua
达拉特旗,da'la'te'qi
大理,da'li
大荔,da'li
大连,da'lian
大龙山镇,da'long'shan'zhen
大名,da'ming
大宁,da'ning
大庆,da'qing
达日,da'ri
大石桥,da'shi'qiao
大田,da'tian
大通,da'tong
大同区,da'tong'qu
大同市,da'tong'shi
大同县,da'tong'xian
大洼,da'wa
大悟,da'wu
达县,da'xian
大新,da'xin
大兴,da'xing
大姚,da'yao
大冶,da'ye
大邑,da'yi
大英,da'ying
大余,da'yu
达州,da'zhou
大竹,da'zhu
达孜,da'zi
大足,da'zu
带岭,dai'ling
岱山,dai'shan
代县,dai'xian
岱岳,dai'yue
丹巴,dan'ba
郸城,dan'cheng
丹东,dan'dong
丹凤,dan'feng
丹江口,dan'jiang'kou
丹棱,dan'leng
丹徒,dan'tu
丹阳,dan'yang
丹寨,dan'zhai
儋州,dan'zhou
砀山,dang'shan
当涂,dang'tu
当雄,dang'xiong
当阳,dang'yang
稻城,dao'cheng
道孚,dao'fu
道县,dao'xian
道真,dao'zhen
德安,de'an
德保,de'bao
德昌,de'chang
德格,de'ge
德化,de'hua
德惠,de'hui
德江,de'jiang
德令哈,de'ling'ha
德钦,de'qin
德庆,de'qing
德清,de'qing
得荣,de'rong
德兴,de'xing
德阳,de'yang
德州,de'zhou
登封,deng'feng
磴口,deng'kou
灯塔,deng'ta
邓州,deng'zhou
滴道,di'dao
电白,dian'bai
垫江,dian'jiang
调兵山,diao'bing'shan
钓鱼岛,diao'yu'dao
迭部,die'bu
定安,ding'an
定边,ding'bian
鼎湖,ding'hu
定结,ding'jie
定南,ding'nan
丁青,ding'qing
定日,ding'ri
定陶,ding'tao
定西,ding'xi
定襄,ding'xiang
定兴,ding'xing
定远,ding'yuan
定州,ding'zhou
东安,dong'an
东川,dong'chuan
东阿,dong'e
东方,dong'fang
东丰,dong'feng
东港,dong'gang
东莞,dong'guan
东光,dong'guang
东海,dong'hai
洞口,dong'kou
东兰,dong'lan
东丽,dong'li
东辽,dong'liao
东明,dong'ming
东宁,dong'ning
东平,dong'ping
东沙岛,dong'sha'dao
东山,dong'shan
东胜,dong'sheng
东台,dong'tai
洞头,dong'tou
东乌珠穆沁旗,dong'wu'zhu'mu'qin'qi
东西湖,dong'xi'hu
东乡,dong'xiang
东兴,dong'xing
东阳,dong'yang
东营,dong'ying
东至,dong'zhi
都安,dou'an
都兰,dou'lan
斗门,dou'men
都昌,du'chang
杜尔伯特,du'er'bo'te
杜集,du'ji
都江堰,du'jiang'yan
独山,du'shan
独山子,du'shan'zi
都匀,du'yun
堆龙德庆,dui'long'de'qing
敦化,dun'hua
敦煌,dun'huang
多伦,duo'lun
峨边,e'bian
鄂尔多斯,e'er'duo'si
额尔古纳,e'er'gu'na
额济纳旗,e'ji'na'qi
鄂伦春自治旗,e'lun'chun'zi'zhi'qi
峨眉山,e'mei'shan
额敏,e'min
峨山,e'shan
鄂托克旗,e'tuo'ke'qi
鄂托克前旗,e'tuo'ke'qian'qi
鄂温克族自治旗,e'wen'ke'zu'zi'zhi'qi
鄂州,e'zhou
恩平,en'ping
恩施,en'shi
二道江,er'dao'jiang
二连浩特,er'lian'hao'te
洱源,er'yuan
法库,fa'ku
繁昌,fan'chang
繁峙,fan'shi
范县,fan'xian
方城,fang'cheng
防城港,fang'cheng'gang
防城区,fang'cheng'qu
房山,fang'shan
方山,fang'shan
房县,fang'xian
方正,fang'zheng
坊子,fang'zi
肥城,fei'cheng
肥东,fei'dong
肥西,fei'xi
费县,fei'xian
肥乡,fei'xiang
汾西,fen'xi
汾阳,fen'yang
分宜,fen'yi
丰城,feng'cheng
凤城,feng'cheng
丰都,feng'du
峰峰矿,feng'feng'kuang
凤冈,feng'gang
奉化,feng'hua
凤凰,feng'huang
奉节,feng'jie
封开,feng'kai
丰南,feng'nan
丰宁,feng'ning
凤庆,feng'qing
封丘,feng'qiu
丰润,feng'run
凤山,feng'shan
丰顺,feng'shun
丰台,feng'tai
凤台,feng'tai
丰县,feng'xian
凤县,feng'xian
奉贤,feng'xian
凤翔,feng'xiang
奉新,feng'xin
凤阳,feng'yang
丰镇,feng'zhen
佛冈,fo'gang
佛坪,fo'ping
佛山,fo'shan
福安,fu'an
阜城,fu'cheng
富川,fu'chuan
福鼎,fu'ding
扶风,fu'feng
福贡,fu'gong
扶沟,fu'gou
府谷,fu'gu
福海,fu'hai
福建,fu'jian
富锦,fu'jin
阜康,fu'kang
富拉尔基,fu'la'er'ji
浮梁,fu'liang
涪陵,fu'ling
富民,fu'min
阜南,fu'nan
富宁,fu'ning
抚宁,fu'ning
阜宁,fu'ning
富平,fu'ping
阜平,fu'ping
福清,fu'qing
福泉,fu'quan
浮山,fu'shan
福山,fu'shan
富顺,fu'shun
抚顺市,fu'shun'shi
抚顺县,fu'shun'xian
抚松,fu'song
扶绥,fu'sui
富县,fu'xian
阜新蒙古族自治县,fu'xin'meng'gu'zu'zi'zhi'xian
阜新市,fu'xin'shi
富阳,fu'yang
阜阳,fu'yang
富裕,fu'yu
扶余,fu'yu
富源,fu'yuan
抚远,fu'yuan
富蕴,fu'yun
抚州,fu'zhou
福州,fu'zhou
噶尔,ga'er
伽师,ga'shi
改则,gai'ze
盖州,gai'zhou
甘德,gan'de
甘谷,gan'gu
甘洛,gan'luo
甘南,gan'nan
甘泉,gan'quan
甘肃,gan'su
甘棠镇,gan'tang'zhen
赣县,gan'xian
赣榆,gan'yu
赣州,gan'zhou
甘孜,gan'zi
岗巴,gang'ba
刚察,gang'cha
高安,gao'an
高碑店,gao'bei'dian
藁城,gao'cheng
高淳,gao'chun
高港,gao'gang
皋兰,gao'lan
高陵,gao'ling
高密,gao'mi
高明,gao'ming
高平,gao'ping
高青,gao'qing
高台,gao'tai
高唐,gao'tang
高县,gao'xian
高雄市,gao'xiong'shi
高雄县,gao'xiong'xian
高阳,gao'yang
高要,gao'yao
高邑,gao'yi
高邮,gao'you
高州,gao'zhou
格尔木,ge'er'mu
革吉,ge'ji
个旧,ge'jiu
根河,gen'he
耿马,geng'ma
