八月酉,ba'yue'you
八座,ba'zuo
八座星,ba'zuo'xing
白虎,bai'hu
白虎星,bai'hu'xing
白腊金,bai'la'jin
白露,bai'lu
贲卦,ben'gua
比卦,bi'gua
壁上土,bi'shang'tu
丙辰,bing'chen
病符,bing'fu
病符星,bing'fu'xing
丙年生人,bing'nian'sheng'ren
丙申,bing'shen
丙同机昌廉,bing'tong'ji'chang'lian
丙午,bing'wu
丙辛化水,bing'xin'hua'shui
丙戌,bing'xu
丙寅,bing'yin
丙子,bing'zi
剥卦,bo'gua
博士,bo'shi
博士十二神煞,bo'shi'shi'er'shen'sha
博士星,bo'shi'xing
不交不通,bu'jiao'bu'tong
财帛宫,cai'bo'gong
财帛宫化忌,cai'bo'gong'hua'ji
财帛宫化科,cai'bo'gong'hua'ke
财帛宫化禄,cai'bo'gong'hua'lu
财帛宫化权,cai'bo'gong'hua'quan
财帛宫自化,cai'bo'gong'zi'hua
财帛宫自化忌,cai'bo'gong'zi'hua'ji
财帛宫自化科,cai'bo'gong'zi'hua'ke
财帛宫自化禄,cai'bo'gong'zi'hua'lu
财帛宫自化权,cai'bo'gong'zi'hua'quan
财福线,cai'fu'xian
财禄夹马,cai'lu'jia'ma
财禄夹马格,cai'lu'jia'ma'ge
钗钏金,chai'chuan'jin
长流水,chang'liu'shui
长生,chang'sheng
长生十二神,chang'sheng'shi'er'shen
长生十二星,chang'sheng'shi'er'xing
辰龙,chen'long
辰戍相冲,chen'shu'xiang'chong
陈抟老祖,chen'tuan'lao'zu
辰戌烟满寺钟楼,chen'xu'yan'man'si'zhong'lou
城墙土,cheng'qiang'tu
诚威治业,cheng'wei'zhi'ye
诚信立身,cheng'xin'li'shen
诚信团结,cheng'xin'tuan'jie
丑牛,chou'niu
丑未相冲,chou'wei'xiang'chong
处暑,chu'shu
春分,chun'fen
春季木当令,chun'ji'mu'dang'ling
纯正以养,chun'zheng'yi'yang
萃卦,cui'gua
大畜卦,da'chu'gua
大德山人,da'de'shan'ren
大过卦,da'guo'gua
大海水,da'hai'shui
大寒,da'han
大耗,da'hao
大耗星,da'hao'xing
大林木,da'lin'mu
大六壬,da'liu'ren
大暑,da'shu
大溪水,da'xi'shui
大雪,da'xue
大驿土,da'yi'tu
大有卦,da'you'gua
大壮卦,da'zhuang'gua
丹墀桂墀,dan'chi'gui'chi
丹墀桂墀格,dan'chi'gui'chi'ge
当令者旺,dang'ling'zhe'wang
道生一,dao'sheng'yi
地风升,di'feng'sheng
地火明夷,di'huo'ming'yi
地劫,di'jie
地劫星,di'jie'xing
地雷复,di'lei'fu
地山谦,di'shan'qian
地水师,di'shui'shi
地天泰,di'tian'tai
帝旺,di'wang
地泽临,di'ze'lin
地支,di'zhi
地支配生肖,di'zhi'pei'sheng'xiao
地支相冲,di'zhi'xiang'chong
吊客,diao'ke
吊客星,diao'ke'xing
丁丑,ding'chou
鼎卦,ding'gua
丁亥,ding'hai
丁卯,ding'mao
丁年生人,ding'nian'sheng'ren
丁壬化木,ding'ren'hua'mu
丁巳,ding'si
丁未,ding'wei
丁阴同机巨,ding'yin'tong'ji'ju
丁酉,ding'you
冬季水当令,dong'ji'shui'dang'ling
动静适时,dong'jing'shi'shi
冬至,dong'zhi
兑卦,dui'gua
兑为泽,dui'wei'ze
遁卦,dun'gua
遁世救世,dun'shi'jiu'shi
厄疾宫,e'ji'gong
厄疾宫化忌,e'ji'gong'hua'ji
厄疾宫化科,e'ji'gong'hua'ke
厄疾宫化禄,e'ji'gong'hua'lu
厄疾宫化权,e'ji'gong'hua'quan
厄疾宫自化,e'ji'gong'zi'hua
厄疾宫自化忌,e'ji'gong'zi'hua'ji
厄疾宫自化科,e'ji'gong'zi'hua'ke
