白贼,bai'zei
半头青,ban'tou'qing
必痕,bi'hen
必开,bi'kai
鼻流鼻滴,bi'liu'bi'di
查某,cha'mou
趁钱,chen'qian
臭头鸡仔,chou'tou'ji'zai
出门人,chu'men'ren
出山,chu'shan
辞头路,ci'tou'lu
打边鼓,da'bian'gu
打捕,da'bu
大面神,da'mian'shen
大细目,da'xi'mu
大细心,da'xi'xin
歹狗,dai'gou
歹谱,dai'pu
代志,dai'zhi
歹嘴,dai'zui
歹嘴斗,dai'zui'dou
淡薄久,dan'bo'jiu
倒手平,dao'shou'ping
刁直,diao'zhi
斗闹热,dou'nao're
斗阵走,dou'zhen'zou
泛泛过,fan'fan'guo
放水灯,fang'shui'deng
狗咬猫鼠,gou'yao'mao'shu
古早册,gu'zao'ce
古早人,gu'zao'ren
古早时,gu'zao'shi
古早物,gu'zao'wu
古锥,gu'zhui
好康,hao'kang
好性地,hao'xing'di
黑白讲,hei'bai'jiang
厚酒,hou'jiu
猴头鼠目,hou'tou'shu'mu
胡神,hu'shen
话仙,hua'xian
活跳跳,huo'tiao'tiao
记牛肉账,ji'niu'rou'zhang
甲饭,jia'fan
见公母,jian'gong'mu
交官穷交鬼死,jiao'guan'qiong'jiao'gui'si
叫秀才挑担,jiao'xiu'cai'tiao'dan
惊鬼看目连,jing'gui'kan'mu'lian
惊生粉,jing'sheng'fen
坎大猪,kan'da'zhu
看人无,kan'ren'wu
靠杯,kao'bei
拦嘴舌,lan'zui'she
佬鳗,lao'man
雷公性,lei'gong'xing
猫鼠拖称锤,mao'shu'tuo'cheng'chui
蠓仔,meng'zai
乜代志,mie'dai'zhi
目屎,mu'shi
内神通外鬼,nei'shen'tong'wai'gui
沤名声,ou'ming'sheng
彭风,peng'feng
撇步,pie'bu
七桃,qi'tao
牵猴,qian'hou
钱无二个不响,qian'wu'er'ge'bu'xiang
青瞑看告示,qing'ming'kan'gao'shi
青冥牛,qing'ming'niu
三七讲四六听,san'qi'jiang'si'liu'ting
三只手,san'zhi'shou
山猴,shan'hou
食饭,shi'fan
食糜,shi'mi
失体面,shi'ti'mian
失体统,shi'ti'tong
输人勿输阵,shu'ren'wu'shu'zhen
双头母,shuang'tou'mu
水鬼升城隍,shui'gui'sheng'cheng'huang
贪字贫字壳,tan'zi'pin'zi'ke
同款代,tong'kuan'dai
偷撇步,tou'pie'bu
瓦阿裁,wa'a'cai
无半撇,wu'ban'pie
乌脚细蛛肚,wu'jiao'xi'zhu'du
无米兼闰月,wu'mi'jian'run'yue
无某无猴,wu'mou'wu'hou
无头神,wu'tou'shen
虾米,xia'mi
仙公步,xian'gong'bu
限死死,xian'si'si
行短路,xing'duan'lu
凶戒戒,xiong'jie'jie
夭鬼,yao'gui
夭寿,yao'shou
夭寿鬼,yao'shou'gui
印卯,yin'mao
有淡薄,you'dan'bo
有两步,you'liang'bu
噪三代,zao'san'dai
正手平,zheng'shou'ping
左手打右手,zuo'shou'da'you'shou
