安徽段,an'hui'duan
安李,an'li
安李铁路,an'li'tie'lu
安李线,an'li'xian
安庆,an'qing
安庆铁路,an'qing'tie'lu
安庆线,an'qing'xian
八建,ba'jian
八建铁路,ba'jian'tie'lu
八建线,ba'jian'xian
白阿,bai'a
白阿铁路,bai'a'tie'lu
白阿线,bai'a'xian
白和,bai'he
白和铁路,bai'he'tie'lu
白和线,bai'he'xian
包白,bao'bai
包白铁路,bao'bai'tie'lu
包白线,bao'bai'xian
宝成,bao'cheng
宝成成渝,bao'cheng'cheng'yu
宝成成渝铁路,bao'cheng'cheng'yu'tie'lu
宝成成渝线,bao'cheng'cheng'yu'xian
宝成铁路,bao'cheng'tie'lu
宝成线,bao'cheng'xian
包环,bao'huan
包环铁路,bao'huan'tie'lu
包环线,bao'huan'xian
包兰,bao'lan
包兰铁路,bao'lan'tie'lu
包兰线,bao'lan'xian
包神,bao'shen
包神南段,bao'shen'nan'duan
包神铁路,bao'shen'tie'lu
包神铁路南段,bao'shen'tie'lu'nan'duan
包神线,bao'shen'xian
包神线南段,bao'shen'xian'nan'duan
包石,bao'shi
包石铁路,bao'shi'tie'lu
包石线,bao'shi'xian
包西,bao'xi
包西铁路,bao'xi'tie'lu
包西铁路神钟段,bao'xi'tie'lu'shen'zhong'duan
包西线,bao'xi'xian
包西线神钟段,bao'xi'xian'shen'zhong'duan
宝中,bao'zhong
宝中铁路,bao'zhong'tie'lu
宝中线,bao'zhong'xian
北黑,bei'hei
北黑铁路,bei'hei'tie'lu
北黑线,bei'hei'xian
北龙,bei'long
北龙铁路,bei'long'tie'lu
北龙线,bei'long'xian
北票,bei'piao
北票铁路,bei'piao'tie'lu
北票线,bei'piao'xian
北同蒲,bei'tong'pu
北同蒲铁路,bei'tong'pu'tie'lu
北同蒲线,bei'tong'pu'xian
北中段,bei'zhong'duan
滨北,bin'bei
滨北铁路,bin'bei'tie'lu
滨北线,bin'bei'xian
滨绥,bin'sui
滨绥铁路,bin'sui'tie'lu
滨绥线,bin'sui'xian
滨洲,bin'zhou
滨洲铁路,bin'zhou'tie'lu
滨洲线,bin'zhou'xian
博林,bo'lin
博林铁路,bo'lin'tie'lu
博林线,bo'lin'xian
勃七,bo'qi
勃七铁路,bo'qi'tie'lu
勃七线,bo'qi'xian
博山,bo'shan
博山铁路,bo'shan'tie'lu
博山线,bo'shan'xian
茶山坳联络线,cha'shan'ao'lian'luo'xian
长白,chang'bai
长白铁路,chang'bai'tie'lu
长白线,chang'bai'xian
