白马湖,bai'ma'hu
白马湖论坛,bai'ma'hu'lun'tan
曹光荣,cao'guang'rong
成教学院招生,cheng'jiao'xue'yuan'zhao'sheng
大田赛,da'tian'sai
党校,dang'xiao
党政办公室,dang'zheng'ban'gong'shi
电话查询,dian'hua'cha'xun
电气与信息工程学院,dian'qi'yu'xin'xi'gong'cheng'xue'yuan
电视台,dian'shi'tai
电子期刊,dian'zi'qi'kan
雕塑,diao'su
读者服务,du'zhe'fu'wu
法学院,fa'xue'yuan
芙蓉学院招生,fu'rong'xue'yuan'zhao'sheng
工会,gong'hui
共青网,gong'qing'wang
龚作奇,gong'zuo'qi
管理机构,guan'li'ji'gou
广播站,guang'bo'zhan
国际交流处,guo'ji'jiao'liu'chu
合作交流,he'zuo'jiao'liu
红房子,hong'fang'zi
后勤集团,hou'qin'ji'tuan
后勤与国有资产管理处,hou'qin'yu'guo'you'zi'chan'guan'li'chu
湖南大学,hu'nan'da'xue
湖南教育网,hu'nan'jiao'yu'wang
湖南师范大学,hu'nan'shi'fan'da'xue
湖南文理学院,hu'nan'wen'li'xue'yuan
化学化工学院,hua'xue'hua'gong'xue'yuan
计划财务处,ji'hua'cai'wu'chu
计算机科学与技术学院,ji'suan'ji'ke'xue'yu'ji'shu'xue'yuan
纪委监察,ji'wei'jian'cha
机械工程学院,ji'xie'gong'cheng'xue'yuan
继续教育学院,ji'xu'jiao'yu'xue'yuan
教务处,jiao'wu'chu
教务系统,jiao'wu'xi'tong
教学部门,jiao'xue'bu'men
教学成果,jiao'xue'cheng'guo
教学科研,jiao'xue'ke'yan
教学楼,jiao'xue'lou
教学资源,jiao'xue'zi'yuan
经典名著,jing'dian'ming'zhu
经济与管理学院,jing'ji'yu'guan'li'xue'yuan
精品课程,jing'pin'ke'cheng
科技处,ke'ji'chu
科技研究,ke'ji'yan'jiu
老操场,lao'cao'chang
黎大志,li'da'zhi
历史沿革,li'shi'yan'ge
离退休工作处,li'tui'xiu'gong'zuo'chu
联合办学,lian'he'ban'xue
美术学院,mei'shu'xue'yuan
媒体形象,mei'ti'xing'xiang
农业科技特派员,nong'ye'ke'ji'te'pai'yuan
求索,qiu'suo
人事处,ren'shi'chu
审计处,shen'ji'chu
生命科学学院,sheng'ming'ke'xue'xue'yuan
实验室,shi'yan'shi
十一五规划,shi'yi'wu'gui'hua
石子球,shi'zi'qiu
书目查询,shu'mu'cha'xun
数学与计算科学学院,shu'xue'yu'ji'suan'ke'xue'xue'yuan
数字图书,shu'zi'tu'shu
体育馆,ti'yu'guan
体育学院,ti'yu'xue'yuan
天鹅湖,tian'e'hu
土木建筑工程学院,tu'mu'jian'zhu'gong'cheng'xue'yuan
图书馆,tu'shu'guan
图书资料,tu'shu'zi'liao
团委,tuan'wei
外国语学院,wai'guo'yu'xue'yuan
外语楼,wai'yu'lou
网络服务,wang'luo'fu'wu
网络服务部,wang'luo'fu'wu'bu
网上办公,wang'shang'ban'gong
魏饴,wei'yi
文理学院,wen'li'xue'yuan
文史学院,wen'shi'xue'yuan
物理与电子科学学院,wu'li'yu'dian'zi'ke'xue'xue'yuan
武装部保卫处,wu'zhuang'bu'bao'wei'chu
现代教育技术中心,xian'dai'jiao'yu'ji'shu'zhong'xin
现任领导,xian'ren'ling'dao
校报,xiao'bao
校企县合作,xiao'qi'xian'he'zuo
校务信箱,xiao'wu'xin'xiang
校园风光,xiao'yuan'feng'guang
校园快讯,xiao'yuan'kuai'xun
校园文化,xiao'yuan'wen'hua
新书通报,xin'shu'tong'bao
新闻网,xin'wen'wang
宣传媒体,xuan'chuan'mei'ti
宣传统战部,xuan'chuan'tong'zhan'bu
学报编辑部,xue'bao'bian'ji'bu
学工在线,xue'gong'zai'xian
学科建设,xue'ke'jian'she
学生工作部,xue'sheng'gong'zuo'bu
学生会,xue'sheng'hui
学生社团,xue'sheng'she'tuan
学术交流,xue'shu'jiao'liu
学校介绍,xue'xiao'jie'shao
学校信箱,xue'xiao'xin'xiang
学院周历,xue'yuan'zhou'li
研究所,yan'jiu'suo
杨万柱,yang'wan'zhu
姚春梅,yao'chun'mei
音乐学院,yin'yue'xue'yuan
张大顺,zhang'da'shun
招生就业,zhao'sheng'jiu'ye
招生就业处,zhao'sheng'jiu'ye'chu
招生就业信息网,zhao'sheng'jiu'ye'xin'xi'wang
中南大学,zhong'nan'da'xue
中文楼,zhong'wen'lou
专家教授,zhuan'jia'jiao'shou
自学考试,zi'xue'kao'shi
资源环境与旅游学院,zi'yuan'huan'jing'yu'lv'you'xue'yuan
组织部,zu'zhi'bu
