把人,ba'ren
百脚,bai'jiao
宝贝搞子,bao'bei'gao'zi
标哈子,biao'ha'zi
别睬他,bie'cai'ta
钵头,bo'tou
不欢喜,bu'huan'xi
不恰,bu'qia
不晓丑,bu'xiao'chou
不晓搞子,bu'xiao'gao'zi
不用恰,bu'yong'qia
菜花蛇,cai'hua'she
猜须,cai'xu
臭虾儿,chou'xia'er
丛佩华,cong'pei'hua
大大,da'da
呆不入猴,dai'bu'ru'hou
登得这该,deng'de'zhei'gai
弟子,di'zi
嗲嗲,dia'dia
吊儿郎当,diao'er'lang'dang
躲猫儿行,duo'mao'er'xing
二宝,er'bao
番芋,fan'yu
噶旁边,ga'pang'bian
嘎去,ga'qu
该上去,gai'shang'qu
搞子,gao'zi
个曾,ge'ceng
哥儿,ge'er
个是的啊,ge'shi'de'a
个死人,ge'si'ren
跟我做客儿,gen'wo'zuo'ke'er
沟里,gou'li
乖乖,guai'guai
哈巴壳儿,ha'ba'ke'er
好耍子来,hao'shua'zi'lai
花鱼,hua'yu
昏子,hun'zi
叽哩儿,ji'li'er
甲甲,jia'jia
甲类,jia'lei
假么儿,jia'me'er
颈刚,jing'gang
困不着,kun'bu'zhao
困告,kun'gao
拉粑粑,la'ba'ba
拉场,la'chang
拉外,la'wai
拉喔,la'wo
赖皮,lai'pi
赖五,lai'wu
佬儿,lao'er
粮饭,liang'fan
廖上去,liao'shang'qu
蛮子,man'zi
么得魂得个,me'de'hun'de'ge
么得命,me'de'ming
么关系,me'guan'xi
么劲,me'jing
么事做,me'shi'zuo
咪子,mi'zi
馁标标人噶,nei'biao'biao'ren'ga
馁个曾,nei'ge'ceng
馁咋则么,nei'za'ze'me
你个晓噶,ni'ge'xiao'ga
爬海,pa'hai
爬灰,pa'hui
爬爬登儿,pa'pa'deng'er
派嘎子儿,pai'ga'zi'er
碰碰儿交易,peng'peng'er'jiao'yi
起房子,qi'fang'zi
恰恰你,qia'qia'ni
掐曲子,qia'qu'zi
牵丝,qian'si
翘卡儿,qiao'ka'er
热潮,re'chao
惹吃,re'chi
惹吃鬼,re'chi'gui
人噶,ren'ga
如东话,ru'dong'hua
如皋话,ru'gao'hua
如语,ru'yu
扫得么混,sao'de'me'hun
什内,shen'nei
耍子,shua'zi
松劲,song'jin
松磨娘子,song'mo'niang'zi
太搞子,tai'gao'zi
特哈来咯,te'ha'lai'ge
铁卷子,tie'juan'zi
厅神,ting'shen
土话,tu'hua
细搞子,xi'gao'zi
细孩儿,xi'hai'er
细卢股儿,xi'lu'gu'er
细细网儿,xi'xi'wang'er
瞎掐,xia'qia
胸门口,xiong'men'kou
丫头,ya'tou
眼儿花了,yan'er'hua'le
要马马儿,yao'ma'ma'er
意泛,yi'fan
永威,yong'wei
脏不邋遢,zang'bu'la'ta
