阿保机,a'bao'ji
白虎通四卷阙文一卷坿校勘补遗一卷坿考一卷汉班固撰淸庐文弨校并撰校勘,bai'hu'tong'si'juan'que'wen'yi'juan'fu'jiao'kan'bu'yi'yi'juan'fu'kao'yi'juan'han'ban'gu'zhuan'qing'lu'wen'chao'xiao'bing'zhuan'jiao'kan
白虎通义,bai'hu'tong'yi
白虎通义汉班固撰汉陈立疏证,bai'hu'tong'yi'han'ban'gu'zhuan'han'chen'li'shu'zheng
百家讲坛,bai'jia'jiang'tan
百家姓,bai'jia'xing
拜经楼藏书题跋记,bai'jing'lou'cang'shu'ti'ba'ji
拜经楼集外诗一卷坿珠楼遗稿一卷淸吴骞撰妾徐贞撰坿录据拜经楼丛书本排印,bai'jing'lou'ji'wai'shi'yi'juan'fu'zhu'lou'yi'gao'yi'juan'qing'wu'qian'zhuan'qie'xu'zhen'zhuan'fu'lu'ju'bai'jing'lou'cong'shu'ben'pai'yin
拜经楼集外诗一卷淸吴骞撰,bai'jing'lou'ji'wai'shi'yi'juan'qing'wu'qian'zhuan
拜经楼诗话四卷淸吴骞撰,bai'jing'lou'shi'hua'si'juan'qing'wu'qian'zhuan
拜经楼诗话四卷淸吴骞撰据艺海珠尘本排印,bai'jing'lou'shi'hua'si'juan'qing'wu'qian'zhuan'ju'yi'hai'zhu'chen'ben'pai'yin
拜经日记,bai'jing'ri'ji
白居易诗傅东华上海商务印书馆影印,bai'ju'yi'shi'fu'dong'hua'shang'hai'shang'wu'yin'shu'guan'ying'yin
白居易诗全集,bai'ju'yi'shi'quan'ji
百可漫志一卷明陈鼐撰,bai'ke'man'zhi'yi'juan'ming'chen'nai'zhuan
白鹿书院教规一卷宋朱熹撰宋饶鲁辑,bai'lu'shu'yuan'jiao'gui'yi'juan'song'zhu'xi'zhuan'song'rao'lu'ji
白鹿书院敎规一卷宋朱熹撰宋饶鲁辑据学海类编本排印,bai'lu'shu'yuan'jiao'gui'yi'juan'song'zhu'xi'zhuan'song'rao'lu'ji'ju'xue'hai'lei'bian'ben'pai'yin
白鹭洲主客说诗一卷淸毛奇龄撰,bai'lu'zhou'zhu'ke'shuo'shi'yi'juan'qing'mao'qi'ling'zhuan
白马王子,bai'ma'wang'zi
百年孤独,bai'nian'gu'du
百年回声,bai'nian'hui'sheng
百篇第一部,bai'pian'di'yi'bu
白沙先生至言,bai'sha'xian'sheng'zhi'yan
白沙语要一卷明陈献章撰景百陵学山本,bai'sha'yu'yao'yi'juan'ming'chen'xian'zhang'zhuan'jing'bai'ling'xue'shan'ben
白沙语要一卷明陈献章撰据百陵学山本影印,bai'sha'yu'yao'yi'juan'ming'chen'xian'zhang'zhuan'ju'bai'ling'xue'shan'ben'ying'yin
白石道人歌曲四卷别集一卷宋姜虁撰,bai'shi'dao'ren'ge'qu'si'juan'bie'ji'yi'juan'song'jiang'kui'zhuan
白石道人全集宋姜夔,bai'shi'dao'ren'quan'ji'song'jiang'kui
白石道人诗词评论一卷补遗一卷淸许增辑,bai'shi'dao'ren'shi'ci'ping'lun'yi'juan'bu'yi'yi'juan'qing'xu'zeng'ji
白石道人诗集二卷集外诗一卷附录一卷补遗一卷宋姜夔撰据榆园丛刻本排印,bai'shi'dao'ren'shi'ji'er'juan'ji'wai'shi'yi'juan'fu'lu'yi'juan'bu'yi'yi'juan'song'jiang'kui'zhuan'ju'yu'yuan'cong'ke'ben'pai'yin
白石道人诗集三卷集外诗一卷附录一卷附录补遗一卷宋姜虁撰,bai'shi'dao'ren'shi'ji'san'juan'ji'wai'shi'yi'juan'fu'lu'yi'juan'fu'lu'bu'yi'yi'juan'song'jiang'kui'zhuan
稗史集传一卷元徐显撰,bai'shi'ji'chuan'yi'juan'yuan'xu'xian'zhuan
拜石山房词钞四卷淸顾翰撰,bai'shi'shan'fang'ci'chao'si'juan'qing'gu'han'zhuan
白水质问一卷明徐榜撰,bai'shui'zhi'wen'yi'juan'ming'xu'bang'zhuan
白水质问一卷明徐榜撰据泾川丛书本排印,bai'shui'zhi'wen'yi'juan'ming'xu'bang'zhuan'ju'jing'chuan'cong'shu'ben'pai'yin
百宋一廛赋,bai'song'yi'chan'fu
