草金鱼,cao'jin'yu
长尾草金鱼,chang'wei'cao'jin'yu
长尾黑琉金金鱼,chang'wei'hei'liu'jin'jin'yu
长尾红白琉金金鱼,chang'wei'hong'bai'liu'jin'jin'yu
长尾五花琉金,chang'wei'wu'hua'liu'jin
长尾紫琉金,chang'wei'zi'liu'jin
蝶尾金鱼,die'wei'jin'yu
短尾琉金金鱼,duan'wei'liu'jin'jin'yu
鹅头红金鱼,e'tou'hong'jin'yu
鹤顶红金鱼,he'ding'hong'jin'yu
黑白短尾琉金,hei'bai'duan'wei'liu'jin
黑白狮,hei'bai'shi
红白短尾琉金,hong'bai'duan'wei'liu'jin
红白狮,hong'bai'shi
红顶五花狮,hong'ding'wu'hua'shi
红顶紫罗袍,hong'ding'zi'luo'pao
虎头金鱼,hu'tou'jin'yu
金头黑白狮,jin'tou'hei'bai'shi
琉金金鱼,liu'jin'jin'yu
龙睛金鱼,long'jing'jin'yu
拍鱼,pai'yu
拍鱼网,pai'yu'wang
三色头,san'se'tou
狮子头金鱼,shi'zi'tou'jin'yu
水泡金鱼,shui'pao'jin'yu
望天金鱼,wang'tian'jin'yu
武汉猫狮,wu'han'mao'shi
五花短尾琉金金鱼,wu'hua'duan'wei'liu'jin'jin'yu
五花琉金,wu'hua'liu'jin
五花狮,wu'hua'shi
乌云盖雪,wu'yun'gai'xue
燕尾草金鱼,yan'wei'cao'jin'yu
荧鳞短尾琉金,ying'lin'duan'wei'liu'jin
玉顶红白狮子头,yu'ding'hong'bai'shi'zi'tou
玉顶银狮,yu'ding'yin'shi
珍珠鳞金鱼,zhen'zhu'lin'jin'yu
