暗藏灯带,an'cang'deng'dai
台钻,tai'zuan
弹线分格,tan'xian'fen'ge
套方,tao'fang
套丝机,tao'si'ji
填嵌密实,tian'qian'mi'shi
图集,tu'ji
图纸会审,tu'zhi'hui'shen
外加剂,wai'jia'ji
外立面,wai'li'mian
外露排水管,wai'lu'pai'shui'guan
弯管器,wan'guan'qi
万用表,wan'yong'biao
卫生间防滑地砖铺砌,wei'sheng'jian'fang'hua'di'zhuan'pu'qi
卫生间隔断,wei'sheng'jian'ge'duan
卫生间洁具,wei'sheng'jian'jie'ju
污垢,wu'gou
细部装修,xi'bu'zhuang'xiu
细木工板,xi'mu'gong'ban
吸声板,xi'sheng'ban
现场办公室,xian'chang'ban'gong'shi
现场勘查资料,xian'chang'kan'cha'zi'liao
橡皮锤,xiang'pi'chui
小平锹,xiao'ping'qiao
楔形塞尺,xie'xing'sai'chi
悬臂现象,xuan'bi'xian'xiang
悬吊重物,xuan'diao'zhong'wu
压力泵,ya'li'beng
檐口,yan'kou
咬底,yao'di
仪,yi
隐蔽工程,yin'bi'gong'cheng
油脂,you'zhi
预留孔洞,yu'liu'kong'dong
预埋件,yu'mai'jian
雨棚,yu'peng
元盘电锯,yuan'pan'dian'ju
原水磨石,yuan'shui'mo'shi
云石切割机,yun'shi'qie'ge'ji
錾子,zan'zi
造型天花,zao'xing'tian'hua
皂液盒,zao'ye'he
兆欧表,zhao'ou'biao
折皱,zhe'zhou
质量评定,zhi'liang'ping'ding
直流氩弧焊机,zhi'liu'ya'hu'han'ji
纸面石膏板,zhi'mian'shi'gao'ban
中层灰,zhong'ceng'hui
柱面干挂石材,zhu'mian'gan'gua'shi'cai
柱内管线配置,zhu'nei'guan'xian'pei'zhi
砖铺切,zhuan'pu'qie
自攻螺钉,zi'gong'luo'ding
