八德,ba'de
百吉,bai'ji
北港村,bei'gang'cun
北湖,bei'hu
笨港,ben'gang
仓顶,cang'ding
长兴,chang'xing
慈湖,ci'hu
大福村,da'fu'cun
大冈村,da'gang'cun
大坑村,da'keng'cun
大林里,da'lin'li
大路下,da'lu'xia
大坡,da'po
打铁坑,da'tie'keng
大同村,da'tong'cun
大湾,da'wan
大溪镇,da'xi'zhen
大园,da'yuan
大庄,da'zhuang
东社村,dong'she'cun
富岗,fu'gang
高荣,gao'rong
高义,gao'yi
观音,guan'yin
龟山,gui'shan
过岭,guo'ling
红瓦屋,hong'wa'wu
后胡,hou'hu
后湖,hou'hu
后寮,hou'liao
葫芦坑,hu'lu'keng
佳志,jia'zhi
坑底,keng'di
坑尾村,keng'wei'cun
老饭店,lao'fan'dian
老坑,lao'keng
龙潭,long'tan
芦竹,lu'zhu
罗浮,luo'fu
马棱,ma'leng
南坑,nan'keng
南兴里,nan'xing'li
南岩,nan'yan
内坜,nei'li
平镇市,ping'zhen'shi
埔顶,pu'ding
埔心,pu'xin
埔子,pu'zi
嵌脚,qian'jiao
青埔,qing'pu
三湖,san'hu
三坑村,san'keng'cun
三块石,san'kuai'shi
三民,san'min
山子顶,shan'zi'ding
上湖,shang'hu
社庄,she'zhuang
深圳,shen'zhen
水头子,shui'tou'zi
四楼,si'lou
苏乐,su'le
桃园县,tao'yuan'xian
田心子,tian'xin'zi
通济桥,tong'ji'qiao
瓦窑,wa'yao
外社,wai'she
尾寮,wei'liao
五权村,wu'quan'cun
西埔,xi'pu
溪尾,xi'wei
新坡,xin'po
新屋,xin'wu
新庄子,xin'zhuang'zi
杨梅镇,yang'mei'zhen
移民新村,yi'min'xin'cun
永安港,yong'an'gang
员窗,yuan'chuang
月眉,yue'mei
中坜市,zhong'li'shi
竹园村,zhu'yuan'cun
