安息香科,an'xi'xiang'ke
凹叶厚朴,ao'ye'hou'pu
白豆杉,bai'dou'shan
柏科,bai'ke
百山祖冷杉,bai'shan'zu'leng'shan
半枫荷,ban'feng'he
瓣鳞花,ban'lin'hua
瓣鳞花科,ban'lin'hua'ke
蚌壳蕨科所有种,bang'ke'jue'ke'suo'you'zhong
报春花科,bao'chun'hua'ke
报春苣苔,bao'chun'ju'tai
宝华玉兰,bao'hua'yu'lan
北方黑三棱,bei'fang'hei'san'leng
蓖子三尖杉,bi'zi'san'jian'shan
柄翅果,bing'chi'guo
冰沼草,bing'zhao'cao
冰沼草科,bing'zhao'cao'ke
伯乐树科,bo'le'shu'ke
伯乐树钟萼木,bo'le'shu'zhong'e'mu
长白松,chang'bai'song
长柄双花木,chang'bing'shuang'hua'mu
长果安息香,chang'guo'an'xi'xiang
长果姜,chang'guo'jiang
长喙厚朴,chang'hui'hou'pu
长喙毛茛泽泻,chang'hui'mao'gen'ze'xie
长蕊木兰,chang'rui'mu'lan
长序榆,chang'xu'yu
朝鲜崖柏,chao'xian'ya'bai
秤锤树,cheng'chui'shu
翅果油树,chi'guo'you'shu
虫草冬虫夏草,chong'cao'dong'chong'xia'cao
川黄檗黄皮树,chuan'huang'bo'huang'pi'shu
川苔草科,chuan'tai'cao'ke
川藻石蔓,chuan'zao'shi'man
莼菜,chun'cai
唇形科,chun'xing'ke
茨藻科,ci'zao'ke
粗枝崖摩,cu'zhi'ya'mo
翠柏,cui'bai
大别山五针松,da'bie'shan'wu'zhen'song
大果木莲,da'guo'mu'lian
大果青扦,da'guo'qing'qian
大戟科,da'ji'ke
大叶木兰,da'ye'mu'lan
大叶木莲,da'ye'mu'lian
呆白菜崖白菜,dai'bai'cai'ya'bai'cai
丹霞梧桐,dan'xia'wu'tong
单性木兰,dan'xing'mu'lan
单叶贯众,dan'ye'guan'zhong
单座苣苔,dan'zuo'ju'tai
地枫皮,di'feng'pi
滇南风吹楠,dian'nan'feng'chui'nan
滇桐,dian'tong
丁茜,ding'qian
东京龙脑香,dong'jing'long'nao'xiang
东京桐,dong'jing'tong
董棕,dong'zong
豆科,dou'ke
独叶草,du'ye'cao
短芒披碱草,duan'mang'pi'jian'cao
短绒野大豆,duan'rong'ye'da'dou
椴树科,duan'shu'ke
对开蕨,dui'kai'jue
盾鳞狸藻,dun'lin'li'zao
多毛坡垒,duo'mao'po'lei
萼翅藤,e'chi'teng
峨眉含笑,e'mei'han'xiao
峨眉拟单性木兰,e'mei'ni'dan'xing'mu'lan
鹅掌楸,e'zhang'qiu
二回原始观音座莲,er'hui'yuan'shi'guan'yin'zuo'lian
发菜,fa'cai
法斗观音座莲,fa'dou'guan'yin'zuo'lian
梵净山冷杉,fan'jing'shan'leng'shan
防己科,fang'ji'ke
榧属所有种,fei'shu'suo'you'zhong
粉背叶人字果,fen'bei'ye'ren'zi'guo
辐花,fu'hua
辐花苣苔,fu'hua'ju'tai
福建柏,fu'jian'bai
富宁藤,fu'ning'teng
浮叶慈菇,fu'ye'ci'gu
高雄茨藻,gao'xiong'ci'zao
革苞菊,ge'bao'ju
格木,ge'mu
贡山三尖杉,gong'shan'san'jian'shan
珙桐,gong'tong
观音座莲科,guan'yin'zuo'lian'ke
广西火桐,guang'xi'huo'tong
广西青梅,guang'xi'qing'mei
光叶珙桐,guang'ye'gong'tong
光叶蕨,guang'ye'jue
贵州萍逢草,gui'zhou'ping'feng'cao
海南椴,hai'nan'duan
海南风吹楠,hai'nan'feng'chui'nan
海南石梓苦梓,hai'nan'shi'zi'ku'zi
海南梧桐,hai'nan'wu'tong
海南油杉,hai'nan'you'shan
海南紫荆木,hai'nan'zi'jing'mu
貉藻,hao'zao
禾本科,he'ben'ke
合果木,he'guo'mu
合柱金莲木,he'zhu'jin'lian'mu
黑黄檀版纳黑檀,hei'huang'tan'ban'na'hei'tan
黑三棱科,hei'san'leng'ke
亨利原始观音座莲,heng'li'yuan'shi'guan'yin'zuo'lian
红椿,hong'chun
红豆杉科,hong'dou'shan'ke
红豆杉属所有种,hong'dou'shan'shu'suo'you'zhong
红豆树,hong'dou'shu
红桧,hong'gui
红花绿绒蒿,hong'hua'lv'rong'hao
红松,hong'song
厚朴,hou'pu
厚叶木莲,hou'ye'mu'lian
蝴蝶树,hu'die'shu
虎耳草科,hu'er'cao'ke
胡黄连,hu'huang'lian
胡颓子科,hu'tui'zi'ke
画笔菊,hua'bi'ju
华盖木,hua'gai'mu
花蔺科,hua'lin'ke
花榈木花梨木,hua'lv'mu'hua'li'mu
桦木科,hua'mu'ke
华南五针松广东松,hua'nan'wu'zhen'song'guang'dong'song
华南锥,hua'nan'zhui
华山新麦草,hua'shan'xin'mai'cao
黄檗黄菠椤,huang'bo'huang'bo'luo
黄山梅,huang'shan'mei
黄杉属所有种,huang'shan'shu'suo'you'zhong
茴香砂仁,hui'xiang'sha'ren
夹竹桃科,jia'zhu'tao'ke
箭叶大油芒,jian'ye'da'you'mang
姜科,jiang'ke
降香降香檀,jiang'xiang'jiang'xiang'tan
金莲木科,jin'lian'mu'ke
金缕梅科,jin'lv'mei'ke
金平桦,jin'ping'hua
金钱松,jin'qian'song
金荞麦,jin'qiao'mai
金铁锁,jin'tie'suo
景东翅子树,jing'dong'chi'zi'shu
巨柏,ju'bai
菊科,ju'ke
榉树,ju'shu
口蘑科白蘑科,kou'mo'ke'bai'mo'ke
苦苣苔科,ku'ju'tai'ke
蓝果树科,lan'guo'shu'ke
狸藻科,li'zao'ke
楝科,lian'ke
连香树,lian'xiang'shu
连香树科,lian'xiang'shu'ke
蓼科,liao'ke
鳞毛蕨科,lin'mao'jue'ke
菱科,ling'ke
龙胆科,long'dan'ke
龙脑香科,long'nao'xiang'ke
龙棕,long'zong
鹿角蕨,lu'jiao'jue
鹿角蕨科,lu'jiao'jue'ke
卵叶桂,luan'ye'gui
萝摩科,luo'mo'ke
落叶木莲,luo'ye'mu'lian
马鞭草科,ma'bian'cao'ke
马尾树,ma'wei'shu
马尾树科,ma'wei'shu'ke
麦角菌科,mai'jiao'jun'ke
芒苞草,mang'bao'cao
芒苞草科,mang'bao'cao'ke
茅膏菜科,mao'gao'cai'ke
毛茛科,mao'gen'ke
毛果木莲,mao'guo'mu'lian
毛红椿,mao'hong'chun
毛披碱草,mao'pi'jian'cao
毛枝五针松,mao'zhi'wu'zhen'song
勐仑翅子树,meng'lun'chi'zi'shu
岷江柏木,min'jiang'bai'mu
闽楠,min'nan
木兰科,mu'lan'ke
木犀科,mu'xi'ke
楠木,nan'mu
内蒙古大麦,nei'meng'gu'da'mai
拟豆蔻,ni'dou'kou
拟高粱,ni'gao'liang
拟花蔺,ni'hua'lin
拟纤维茨藻,ni'xian'wei'ci'zao
念珠藻科,nian'zhu'zao'ke
平当树,ping'dang'shu
坡垒,po'lei
普通野生稻,pu'tong'ye'sheng'dao
普陀鹅耳枥,pu'tuo'e'er'li
普陀樟,pu'tuo'zhang
槭树科,qi'shu'ke
七指蕨,qi'zhi'jue
七指蕨科,qi'zhi'jue'ke
七子花,qi'zi'hua
茜草科,qian'cao'ke
千果榄仁,qian'guo'lan'ren
壳斗科,qiao'dou'ke
巧家五针松,qiao'jia'wu'zhen'song
茄科,qie'ke
秦岭冷杉,qin'ling'leng'shan
秦岭石蝴蝶,qin'ling'shi'hu'die
青皮青梅,qing'pi'qing'mei
忍冬科,ren'dong'ke
任豆任木,ren'dou'ren'mu
绒毛皂荚,rong'mao'zao'jia
肉豆蔻科,rou'dou'kou'ke
柔毛油杉,rou'mao'you'shan
瑞香科,rui'xiang'ke
润楠,run'nan
伞花木,san'hua'mu
三尖杉科,san'jian'shan'ke
三棱栎,san'leng'li
三蕊草,san'rui'cao
伞形科,san'xing'ke
沙芦草,sha'lu'cao
山豆根胡豆莲,shan'dou'gen'hu'dou'lian
珊瑚菜北沙参,shan'hu'cai'bei'sha'shen
扇蕨,shan'jue
杉科,shan'ke
山榄科,shan'lan'ke
山莨菪,shan'lang'dang
山铜材,shan'tong'cai
蛇根木,she'gen'mu
十齿花,shi'chi'hua
使君子科,shi'jun'zi'ke
石碌含笑,shi'lu'han'xiao
石竹科,shi'zhu'ke
水鳖科,shui'bie'ke
水菜花,shui'cai'hua
水韭科,shui'jiu'ke
水韭属所有种,shui'jiu'shu'suo'you'zhong
水蕨科,shui'jue'ke
水蕨属所有种,shui'jue'shu'suo'you'zhong
睡莲科,shui'lian'ke
水龙骨科,shui'long'gu'ke
水青树,shui'qing'shu
水曲柳,shui'qu'liu
水杉,shui'shan
水松,shui'song
四川红杉,si'chuan'hong'shan
四川狼尾草,si'chuan'lang'wei'cao
四数木,si'shu'mu
四数木科,si'shu'mu'ke
四药门花,si'yao'men'hua
松科,song'ke
松口蘑松茸,song'kou'mo'song'rong
苏铁蕨,su'tie'jue
苏铁科,su'tie'ke
苏铁属所有种,su'tie'shu'suo'you'zhong
蒜头果,suan'tou'guo
酸竹,suan'zhu
桫椤科所有种,suo'luo'ke'suo'you'zhong
太白红杉,tai'bai'hong'shan
台湾杉秃杉,tai'wan'shan'tu'shan
台湾水青冈,tai'wan'shui'qing'gang
台湾穗花杉,tai'wan'sui'hua'shan
台湾油杉,tai'wan'you'shan
藤枣,teng'zao
蹄盖蕨科,ti'gai'jue'ke
天目铁木,tian'mu'tie'mu
天台鹅耳枥,tian'tai'e'er'li
天星蕨,tian'xing'jue
天星蕨科,tian'xing'jue'ke
铁角蕨科,tie'jiao'jue'ke
铁青树科,tie'qing'shu'ke
土沉香,tu'chen'xiang
驼峰藤,tuo'feng'teng
望天树,wang'tian'shu
卫矛科,wei'mao'ke
无患子科,wu'huan'zi'ke
无芒披碱草,wu'mang'pi'jian'cao
乌毛蕨科,wu'mao'jue'ke
乌苏里狐尾藻,wu'su'li'hu'wei'zao
梧桐科,wu'tong'ke
无翼坡垒铁凌,wu'yi'po'lei'tie'ling
膝柄木,xi'bing'mu
西康玉兰,xi'kang'yu'lan
