安全线,an'quan'xian
安全用户,an'quan'yong'hu
暴风雨雪,bao'feng'yu'xue
爆炸品,bao'zha'pin
避难线,bi'nan'xian
编组站,bian'zu'zhan
标准用语,biao'zhun'yong'yu
车机联控标准,che'ji'lian'kong'biao'zhun
车站值班员,che'zhan'zhi'ban'yuan
乘务员,cheng'wu'yuan
穿越或占用正线调车,chuan'yue'huo'zhan'yong'zheng'xian'diao'che
电力机车,dian'li'ji'che
调车领导人,diao'che'ling'dao'ren
调度命令,diao'du'ming'ling
调度所,diao'du'suo
动车组,dong'che'zu
防溜措施,fang'liu'cuo'shi
供电,gong'dian
机车固定走行线,ji'che'gu'ding'zou'xing'xian
集团公司,ji'tuan'gong'si
列车编组,lie'che'bian'zu
林学新,lin'xue'xin
刘燕芬,liu'yan'fen
人力制动机,ren'li'zhi'dong'ji
棠溪站,tang'xi'zhan
铁路技术管理规程,tie'lu'ji'shu'guan'li'gui'cheng
铁路运输调度规则,tie'lu'yun'shu'diao'du'gui'ze
微机联锁,wei'ji'lian'suo
行车凭证,xing'che'ping'zheng
行车设备检查登记簿,xing'che'she'bei'jian'cha'deng'ji'bu
压缩气体,ya'suo'qi'ti
运输组织,yun'shu'zu'zhi
运转室,yun'zhuan'shi
闸瓦,zha'wa
重大事故,zhong'da'shi'gu
专用线,zhuan'yong'xian
追踪列车,zhui'zong'lie'che
自动闭塞,zi'dong'bi'se
