阿迪华,a'di'hua
阿努拉,a'nu'la
阿双全,a'shuang'quan
阿彦涛,a'yan'tao
白葆亭,bai'bao'ting
白迪瀚,bai'di'han
白家林,bai'jia'lin
白龙岩,bai'long'yan
白全福,bai'quan'fu
白晓芳,bai'xiao'fang
白英杰,bai'ying'jie
白玉,bai'yu
班德贵,ban'de'gui
班松麟,ban'song'lin
包长春,bao'chang'chun
宝寿华,bao'shou'hua
包文年,bao'wen'nian
毕学祥,bi'xue'xiang
边振新,bian'zhen'xin
蔡培生,cai'pei'sheng
蔡玉衡,cai'yu'heng
曹宝春,cao'bao'chun
曹鸿伟,cao'hong'wei
曹金星,cao'jin'xing
曹俊清,cao'jun'qing
曹庆波,cao'qing'bo
曹中民,cao'zhong'min
常宝,chang'bao
常葆臣,chang'bao'chen
常宝丰,chang'bao'feng
常宝华,chang'bao'hua
常宝霖,chang'bao'lin
常宝霆,chang'bao'ting
常福荃,chang'fu'quan
常贵田,chang'gui'tian
常连安,chang'lian'an
常亮,chang'liang
常佩业,chang'pei'ye
车文通,che'wen'tong
陈宝泰,chen'bao'tai
陈秉文,chen'bing'wen
陈东国,chen'dong'guo
陈冠义,chen'guan'yi
陈桂林,chen'gui'lin
陈桂鑫,chen'gui'xin
陈国华,chen'guo'hua
陈寒柏,chen'han'bai
陈进山,chen'jin'shan
陈君志,chen'jun'zhi
陈连仲,chen'lian'zhong
陈鸣志,chen'ming'zhi
陈庆,chen'qing
陈尚忠,chen'shang'zhong
陈世魁,chen'shi'kui
陈世智,chen'shi'zhi
陈树桐,chen'shu'tong
陈松波,chen'song'bo
陈文光,chen'wen'guang
陈文潇,chen'wen'xiao
陈文彦,chen'wen'yan
谌笑宇,chen'xiao'yu
陈学富,chen'xue'fu
陈永海,chen'yong'hai
陈永清,chen'yong'qing
陈涌泉,chen'yong'quan
陈永忠,chen'yong'zhong
陈幼新,chen'you'xin
陈雨亭,chen'yu'ting
陈治华,chen'zhi'hua
陈紫荃,chen'zi'quan
程光德,cheng'guang'de
崇寿峰,chong'shou'feng
仇君,chou'jun
春长隆,chun'chang'long
丛波,cong'bo
崔伯光,cui'bo'guang
崔长武,cui'chang'wu
崔怀禄,cui'huai'lu
崔金泉,cui'jin'quan
崔琦,cui'qi
